abstract-quality;['व्यक्तित्व', 'व्यक्तित्त्व'];व्यवहार के समस्त गुणों का नाम ही व्यक्तित्व है-वुडवर्ड
functional-matter;['शाकाहार', 'शाकाहारी', 'शाकाहारी जीव', 'शाकाहारी भोजन', 'शाकाहारियों', 'शाकाहारी सिद्धांत'];जीवन को ईश्वरीय बनाने का सबसे आसान तरीका - जैसा अन्न - वैसा मन।
functional-matter;['सह भोजन', 'entremet', 'entremets', 'साइड ऑर्डर', 'साइड डिश'];मुख्य पाठ्यक्रम के साथ भोजन की सेवा
functional-matter;['चीज़बर्गर', 'cheeseburger', 'cheeseburgers'];पनीर बर्गर जो मांसाहारी भी हो सकता है।
functional-matter;['मलेरियारोधी औषध', 'मलेरिया रोधी दवा', 'मलेरिया रोधी', 'मलेरिया रोधी दवाओं', 'मलेरियारोधी'];मलेरिया के उपचार में प्रयोग की जाने वाली औषधि
functional-matter;['लंच', 'दोपहर का भोजन', 'दोपहर का खाना', 'नहार', 'dejeuner', 'टिफ़िन', 'टिफिन'];भोजन, आमतौर पर दोपहर में परोसा जाता है
functional-matter;['गोबर', 'उपला', 'गोबर की खाद', 'गोबर खाद', 'गाय चिप', 'भैंस चिप'];गोबर शब्द का प्रयोग गाय, बैल, भैंस या भैंसा के मल के लिये प्राय: होता है। घास, भूसा, खली आदि जो कुछ चौपायों द्वारा खाया जाता है उसके पाचन में कितने ही रासायनिक परिवर्तन होते हैं तथा जो पदार्थ अपचित रह जाते हैं वे शरीर के अन्य अपद्रव्यों के साथ गोबर क
functional-matter;['गोएथाइट', 'goethite', 'gothite'];हैड्रोसाइड धातू पदार्थ
functional-matter;['चीज़', 'पनीर', 'चीज'];घोड़ी के दूध से बना चीज़ " कैसिओकैवलो" कहलाता है।
functional-matter;['तापानेड', 'ग्रीक तापानेड', 'tapenade'];एक प्रोवेनकल पकवान
functional-matter;['कृत्तिका तारागुच्छ', 'कृत्तिका', 'सुरैया', 'प्लीयडीज़'];कृत्तिका, जिसे प्लीयडीज़ भी कहते हैं, वृष तारामंडल में स्थित B श्रेणी के तारों का एक खुला तारागुच्छ है।
functional-matter;['अर्धचालक पदार्थ', 'अर्धचालक', 'अर्ध चालक', 'अर्धचालकता', 'सेमीकंडक्टर', 'semiconducting', 'semiconducting सामग्री', 'अर्द्ध कंडक्टर', 'अर्धचालक भौतिकी', 'अर्धचालक सामग्री'];अर्धचालक की
functional-matter;['मिठाई', 'डेज़र्ट', 'हलवा', 'afters', 'डेसर्ट'];बेशक जो भोजन का समापन करता है. आम तौर पर मीठा
functional-matter;['चीनी', 'शर्करा', 'शक्कर', 'खाँड', 'मिसरी', 'शकर', 'सकर', 'सुक्रोज', 'कार्बोहाइड्रेट्स', 'कार्बोहाईड्रेट', 'प्रांगजलीय', 'श्वेतसार', 'चीनी घन', 'चीनी व्यापार', 'परिष्कृत चीनी', 'सफेद चीनी'];ग्लूकोज और फ्रक्टोज मिलकर शक्कर(सुक्रॉज) अणु तैयार होता है।
functional-matter;['मक्खन'];डेयरी उत्पाद
functional-matter;['लाख', 'lac', 'लाह'];लाख कीड़ों का बचा हुआ स्राव
functional-matter;['विटामिन', 'पोषक'];शरीर के आवश्यक तथ्य।
functional-matter;['बेंज़ोडाइज़ेपाइन', 'बेन्ज़ोस', 'बेंजोडाइजेपाइन', 'benzodiazepines', 'बेंजोडायाजापिन'];एक मनोवैज्ञानिक दवाई
functional-matter;['नारंगी', 'सैत्रस *टाईण्ज्जीऱीणा', 'शाईट्ऱाश टॅण्ज्जॅऱेऍण क्कॅऍणॉऑ डॅण्टॅण्टॅऱीणाऱऍऍण्', 'tangerines', 'कीनू'];प्पाऊडॅ , क्कीणॉऑ की प्प्ऱाज्जाआटीञाआण्
functional-matter;['कुकी', 'बिस्कुट', 'कुकीज़'];सेंका हुआ भोजन
functional-matter;['विटामिन', 'पोषक'];शरीर के आवश्यक तथ्य।
functional-matter;['इलायची', 'इलायची उपज करने वाले पौधे', 'cardamum'];इलायची उत्प्न करने वाले पौधे
functional-matter;['इलायची', 'इलायची उपज करने वाले पौधे', 'cardamum'];इलायची उत्प्न करने वाले पौधे
functional-matter;['consomme', 'शोरवा'];बहुविकल्पी पृष्ठ
functional-matter;['कोका कोला', 'कोका-कोला', 'कोक', 'कोक की बोतल'];कार्बोनेटेड सॉफ्ट ड्रिंक
functional-matter;['जठराम्ल', 'गैस्ट्रिक अम्ल्', 'पेट का अम्ल', 'जठर रस', 'आमाशय रस', 'गैस्ट्रिक एसिड'];पेट मे गठित पाचन द्रव
functional-matter;['श्वेत प्रदर', 'लिकोरिया', 'leukorrhea', 'leucorrhea'];योनि शिथिल होने के प्रकार
functional-matter;['शराब', 'चुआने के क्रिया से बनाया हुआ पेय पदार्त', 'द्राक्षिरा', 'ब्यूटेनॉल', 'मद्यसार', 'आत्माओं', 'कड़ी शराब', 'आसुत आत्माओं', 'आसुत पेय', 'आसुत भावना', 'आसुत शराब', 'जॉन जौ का बीज', 'मदिरा', 'शराब पीना', 'ाराब'];शराब जो चुआने की क्रिया से बनाया जाता है
functional-matter;['लोबिया', 'लोभिया', 'लोभिया दाल', 'काले आंखवाले मटर', 'विग्ना unguiculata', 'cowpeas', 'काले आंखवाले सेम', 'लोबिया संयंत्र', 'विग्ना sinensis'];पौधों की प्रजापति
functional-matter;['ब्रायलर', 'broilers', 'विवाद करनेवाला'];पोल्ट्री
functional-matter;['सेब', 'सेव', 'malus domestica', 'ग्रीन एप्पल'];सेब पेड़ का फल
functional-matter;['जीवाश्म ईंधन', 'जीवाश्म ऊर्जा', 'तेल एवं गैस', 'तेल और गैस', 'हाइड्रोकार्बन ईंधन'];simply it is natural fuel that we get it from mining like coal,crude oils etc.
functional-matter;['प्लास्टिक'];प्लास्टिक असल में बहुलक (polymer) को ही कहा जाता है,जैसा कि पॉलीथिन(polythene).
functional-matter;['सागौन', 'टीकवुड', 'teakwood'];सदाबहार वृक्ष की एक प्रजाति
functional-matter;['दंतवल्क', 'दंत तामचीनी', 'दाँत तामचीनी'];दात के इनेमल को फ्लोरीन कठोर बनाता है।
functional-matter;['वाईट राईस', 'सफेद चावल', 'पॉलिश किए चावल'];एक प्रकार का चावल है।
functional-matter;['पिज्जा', 'पिज़्ज़ा', 'पिज़ा', 'pizza', 'पीत्जा', 'पीत्सा', 'जमे हुए पिज्जा'];विभिन्न टॉपिंग के साथ ओवन-बेक्ड ब्रेड की इतालवी डिश
functional-matter;['नींबू meringue पाई'];बहुविकल्पी पृष्ठ
functional-matter;['जैम', 'मुरब्बा', 'जेली', 'फलों को बरकरार रखता है'];बहुविकल्पी पृष्ठ
functional-matter;['करी पाउडर'];मसाला मिश्रण
functional-matter;['हशीश', 'हसीस', 'चरस', 'haschisch', 'गांजा', 'चरस तेल'];मादक पदार्थ
functional-matter;['लाख', 'lac', 'लाह'];लाख कीड़ों का बचा हुआ स्राव
functional-matter;['ब्राई', 'brie', 'ब्राई पनीर', 'ब्री'];फ्रेंच पनीर
functional-matter;['क्रीम पनीर', 'क्रीम चीज़'];दूध और क्रीम से बना एक नरम, आम तौर पर हल्का स्वाद वाला ताजा पनीर
functional-matter;['मदिरा', 'शराब्', 'मद्य', 'लिकर', 'सौहार्दपूर्ण'];मादक पेय, मीठा और स्वादयुक्त आसुत आत्मा
functional-matter;['कोशिकाद्रव्य', 'कोशिका द्रव', 'कोशिका द्रव्य', 'साइटोप्लाज्म', 'cytoplasm', 'cytol', 'cytoplasmic'];कोशिका दवय की खोज
functional-matter;['बिंबाणु', 'बिम्बाणु', 'प्लेटलेट्स', 'प्लेटेलेट', 'प्लेटेलेट्स', 'रक्त प्लेटलेट', 'प्लेटलेट', 'प्लेटलेट एकत्रीकरण', 'प्लेटलेट गिनती'];रक्त में उपस्थित अनियमित आकार की छोटी अनाभिकीय कोशिका
genetic-collective;['परिवार', 'ख़ानदान', 'बाल-बच्चे', 'परिवार इकाई', 'परिवार के रिश्तों प्रतिबिंबित', 'परिवारों', 'पारिवारिक संबंध'];Kalel famali
genetic-collective;['वंशावली', 'genealogist', 'genealogists', 'geneaology', 'परिवार के पेड़', 'वंश', 'वंशवृक्ष', 'वंशावलियों'];वंशावली विश्लेषण
geographical-object;['अटलांटिस'];पौराणिक द्वीप
geographical-object;['बोर्नियो', 'वरुण', 'वरुण द्वीप', 'bornéo', 'बोर्नेयो', 'ओरांगूटान', 'बोर्नियो द्वीप', 'बोर्नेओ'];इंडोनेशिया का द्वीप
geographical-object;['झील', 'सरोवर', 'झीलों', 'अल्पकालिक झील', 'आंतरायिक झील', 'ताजे पानी की झील', 'प्राकृतिक झील'];हिराकुद
geographical-object;['मारियाना द्वीपसमूह', 'ladrone आइलैंड्स', 'marianas', 'मैरियाना आइलैंड्स'];पश्चिमी उत्तर प्रशांत महासागर स्तिथ द्वीपसमूह
geographical-object;['सागर', 'समुद्री', 'सागरों', 'समुद्र'];खारे पानी का विशाल जलस्त्रोत
geographical-object;['सीन', 'सेन', 'सेन नदी', 'सीन नदी'];फ्रान्स की एक नदी
geographical-object;['द्वीपसमूह', 'द्वीप समूह', 'द्वीपसमूहों', 'archipelagos', 'द्वीप श्रृंखला'];द्वीपों की शृंखला
geographical-object;['ओशिआनिया', 'ओशीनिया', 'ओशिनिया', 'oceania', 'ओशिऍनिया', 'oceanica'];ऑस्ट्रेलिया और उसके आस पास वाले द्वीप को ओसीआनिया मैं सामिल किया जाता हैं।
geographical-object;['फ्योई', 'fiord', 'fjord', 'fjords'];खड़ी द़ाल या चट्टान मे जो लंबा और पतला द्वार, खाड़ी मेँ हिमनदि के प्रवह से बना हो।सर्वाधिक नार्वे मे बनते हैं
geographical-object;['अमेज़न नदी', 'अमेजन', 'अमेजॉन', 'आमेजन', 'आमेजन नदी', 'आमेज़ोन नदी', 'आमेजॉन', 'ऍमज़ॉन नदी', 'ऐमज़ॉन नदी', 'ऐमेंज़न नदी', 'अमेजन नदी'];दक्षिण अमेरिका की सबसे बड़ी नदी
geographical-object;['सुलावेसी', 'sulawesi', 'सुलावेसी द्वीप', 'सेलेबीज', 'सेलेवीज', 'सेलेबस'];इंडोनेशिया का द्वीप
geographical-object;['सुमात्रा', 'sumatra', 'सुमात्रा द्वीप'];इंडोनेशिया का द्वीप
geographical-object;['जलडमरू', 'जलसंधि', 'जलडमरूमध्य', 'जलसंयोगी', 'जलडमरु मध्य', 'जलडमरुमध्य', 'जलसन्धि'];जापेन जलसंधि प्रशांत महासागर को जोड़ने का कार्य करता हैं
geographical-object;['सेंट लॉरेंस नदी', 'सैंट लारेन्स् नदी', 'वेल्स आफ सैन्त लारेन्स नदी', 'सेंट लारेंस नदी'];पूर्वोत्तेर उत्तर अमेरिका में बादी नदी, सैंत लारेन्स खडी मे बहते हुए, अट्लंटिक महासागर में मिलते हे
geographical-object;['नया गिनी', 'न्यू गिनी', 'पापुआ', 'new guinea', 'नया गिनी द्वीप', 'न्यू जिनेआ'];इंडोनेशिया का द्वीप
geographical-object;['युकातान प्रायद्वीप', 'yucatan प्रायद्वीप'];दक्षिणपूर्वी मेक्सिको का एक प्रायद्वीप
geographical-object;['कमचातका प्रायद्वीप', 'kamchatka प्रायद्वीप'];रूस के पूर्व में एक प्रायद्वीप
geographical-object;['आनातोलिया', 'अनातोलिया', 'रूम', 'एशिया माइनर', 'आनातोलिया का पठार', 'एनाटोलिया', 'एनातोलिया', 'एशिया माईनर', 'ऐनाटोलिया', 'ऐनातोलिया', 'anatolia', 'anatolian पठार'];टर्की का एशियाई भाग
geographical-object;['एल्वे नदी', 'elbe', 'elbe नदी'];मध्य यूरोप की प्रमुख नदी
geographical-object;['फ़ारस की खाड़ी', 'खाड़ी', 'फारस की खाड़ी', 'ख़लीज फ़ारस', 'फ़ारसी खाड़ी', 'अरब की खाड़ी'];पश्चिम एशिया में अरब प्रायद्वीप एवं ईरान के बीच हिन्द महासागर का अंग
geographical-object;['प्रवेशिका', 'प्रवेश'];तटीय भूगोल शब्द
geographical-object;['एनैक क्राकाटाओ', 'क्राकाटोआ', 'krakatao', 'krakatau', 'krakatoa'];इंडोनेशिया का द्वीप
geographical-object;['मॉण्टसेराट', 'मोंट्सेराट', 'मॉन्ट्सेराट', 'montserrat', 'माँटसेराट', 'मोण्ट्सेराट', 'मॉन्स्टेरॉट'];यह उत्तर अमेरिका महाद्वीप में केरिबियन क्षेत्र में एक देश है।
geographical-object;['तिएर्रा देल फ़ुएगो', 'टिएरा डेल फ़ुएगो', 'tierra del fuego'];दक्षिण अमेरिका महाद्वीप के दक्षिणी कोने पर स्थित एक द्वीपसमूह
geographical-object;['बंगाल की खाड़ी', 'बंगाल की खाङी', 'बंगाल की खाडी', 'ख़लीज बंगाल', 'महोदधि'];दखिण एशिया में हिन्द महासागर का पूर्वोत्तर भाग
geographical-object;['जापान सागर', 'पूर्वी सागर', 'सी ऑफ जापान'];प्रशांत महासागर का समुद्री अंश
geographical-object;['गंगा', 'गंगा नदी', 'गँगा', 'जाह्नवी'];" गंगा भारतीय संस्कृति की पहचान---- " शिव की जटा से प्रकट हुई तेरी निर्मल धारा "
geographical-object;['सिन्धु नदी', 'सिंध नदी', 'सिंधु', 'सिन्ध नदी', 'सिन्धु', 'सिंध', 'सिन्ध', 'सिंधु नदी', 'दरयाऐसिंध', 'सिन्ध नाले', 'सिन्\u200dधु नदी'];विश्व की सबसे लंबी नदियों में से एक
geographical-object;['ब्रह्मपुत्र नदी', 'brahmaputra', 'ब्रह्मपुत्र', 'ब्रम्हपुत्र', 'बागमती नदी', 'सियांग नदी'];चीन, भारत और बांग्लादेश में नदी
geographical-object;['हडसन खाड़ी', 'हडसन की खाड़ी'];पूर्वोत्तर कनाडा में एक बड़े क्षेत्र में फैला खारे पानी का एक बड़ा जल निकाय
geographical-object;['ग्रेट ब्रिटेन', 'साँचा:infobox olympics ग्रेट ब्रिटेन', 'ग्रेटब्रिटेन', 'विलायत', 'ब्रिटेन'];साँचा विकिपीडिया
geographical-object;['नया कैलेडोनिया', 'न्यू कैलेडोनिया', 'new caledonia'];विकिमीडिया श्रेणी
geographical-object;['ऑस्ट्रेलेशिया', 'ऑस्ट्रेलिया और न्यूजीलैंड', 'आस्ट्रेलिया'];ओशिनिया का एक क्षेत्र
geographical-object;['उत्तरध्रुवीय महासागर', 'आर्कटिक महासागर', '84 अक्षांश उत्तर', '85 अक्षांश उत्तर', '86 अक्षांश उत्तर', '87 अक्षांश उत्तर', '88 अक्षांश उत्तर', '89 अक्षांश उत्तर', 'अर्कटिक महासागर', 'आर्कटिक सागर'];पृथ्वी के सबसे उत्तरी छोर पर स्थित महासागर
geographical-object;['प्रशान्त महासागर', 'प्रशान्त', 'प्रशांत महासागर', 'पसिफ़िक', 'प्रशांत'];विश्व का सबसे बड़ा तथा गहरा महासागर
geographical-object;['अण्टीगुआ', 'एंटीगा', 'antígua', 'एंटीगुआ'];वेस्ट इंडीज का एक द्वीप
geographical-object;['मुख्यभूमि', 'मूल भूमि', 'मुख्य भूमि', 'मुख्यभूमियाँ'];मुख्य भूमि
geographical-object;['पेलोपोनीज़', 'पेलोपोनीज', 'पेलोपोन्नेस', 'peloponnese', 'peloponnesian प्रायद्वीप', 'peloponnesus'];परंपरिक यूनानी क्षेत्र
geographical-object;['दक्षिणध्रुवीय महासागर', 'अंटार्क्टिक महासागर', 'अण्टार्कटिक महासागर', 'दक्षिणी महासागर', 'अंटार्कटिक महासागर'];अंटार्कटिका के चारों ओर स्तिथ महासागर
geographical-object;['डोवर जलसन्धि', 'डोबर जलसन्धि', 'calais के जलडमरूमध्य', 'pas डी कलैस', 'डोवर की जलसंयोगी'];अंग्रेजी चैनल के सबसे संकीर्ण हिस्से में स्ट्रेट
gestalt;['विषमकोण', 'समचतुर्भुज', 'सम चतुर्भुज', 'विषमलम्बाक्ष', 'rhombi'];सम चतुर्भुज का परिमाप = 4*भुजा
gestalt;['आयत', 'आयताकार', 'आयतों'];रेखा गणित में आयत एक ऐसा चतुर्भुज है जिसकी आमने सामने की भुजाएं समांतर होती हैं
gestalt;['हेक्साग्राम', 'षटभुज', 'छ्ः ग्राम्', 'hexagram', 'दो समभुज त्रिभुजों के परस्पर काटने से बनी हुई षड्रेखीय आकृति'];छः तरफ़ा बहुभुज
gestalt;['कर्ण'];समकोण ट्रिभुज का सबसे लंबा पहलू, समकोण के विपरीत पहलू
information-encoding-system;['निरूपण', 'वाग्मिता'];बहुविकल्पी पृष्ठ
information-object;['honours degree', 'ऑनर्स उपाधि', 'सम्मान', 'सम्मान की डिग्री'];variant undergraduate bachelor's degree
information-object;['कला स्नातक', 'बैचलर ऑफ आर्ट', 'कला की डिग्री के स्नातक', 'बी.ए डिग्री', 'artium baccalaurens', 'artium baccalaureus', 'b.a', 'ए.बी', 'बी.ए', 'बी.ए की डिग्री', 'बी ए', 'बीए ऑनर्स'];B.A.
information-object;['आत्मकथा', 'आपबीती'];किसी व्यक्ति द्वार अपने बारे में लिखी गयी पुस्तक
information-object;['द्वयोष्ठ्य व्यंजन', 'ओष्ठय - ओष्ठय', 'बिलाबियल', 'बिलाबियल व्यंजन'];दोनों होंठों से मुखर
information-object;['लहजा', 'उच्चारण', 'क्षेत्रीय उच्चारण', 'लहजों', 'उच्चारण निशान'];एक वशिष्ट व्यक्ति, स्थान या राष्ट्र के लिए अजीब उच्चरण करने का तरीका
information-object;['सर्वनाम', 'सर्वनाम और उसके भेद'];संज्ञा के स्थान पर आने वाले शब्द
information-object;['ब्रांड', 'व्यापारिक नाम', 'ब्रॉण्ड', 'काल्पनिक व्यावसायिक नाम', 'व्यापारिक चिन्ह', 'ब्रांड नाम', 'व्यापार नाम', 'marque', 'tradename', 'जहाज में तोप आदि लगाकर शत्रुओं के व्यापारी जहाज को पकड़ने का आज्ञा पत्र', 'नाम के ब्रांड', 'ब्रांड छवि', 'ब्रांड विपणन', 'ब्रांडों'];वह नाम जो व्यावसायिक प्रयोजनों के लिए एक कम्पनी द्वारा उपयोग किया जाता है
information-object;['सूचकाक्षर', 'संक्षिप्तीकरण', 'संक्षिप्त नाम', 'संक्षेपाक्षर', 'शब्दांश संक्षिप्त नाम', 'संक्षिप्त', 'संक्षिप्ताक्षर'];एक शब्द या मुहावरे का छोटा रूप
information-object;['ट्रैफिक लाइट', 'traffic light', 'ट्रैफ़िक लाइट', 'यातायात बत्ती', 'stoplight', 'ट्रेफिक - लाइटस', 'बंद प्रकाश', 'यातायात प्रकाश', 'यातायात रोशनी', 'यातायात संकेत', 'यातायात संकेतों', 'यातायात सिग्नल'];Traffic lights
information-object;['कार्यवृत्त', 'मिनट', 'लेनदेन'];बैठक की चर्चा की लिखित जानकारी
information-object;['एस.ओ.एस.', 'sos', 'मुसीबत का इशारा'];अंतरराष्ट्रीय मोर्स कोड संकट संकेत
information-object;['शिवलिंग', 'शिवलिङ्ग', 'lingam', 'शिव लिंग', 'lingams', 'sivalinga', 'sivalingam', 'शिव शिवलिंग', 'शिवलींग'];शिव देवों के देव माने जाते है
information-object;['ओमेगा', 'ómega', 'ω'];यूनानी वर्णमाला का अंतिम अक्षर
information-object;['टिकर प्रतीक', 'स्टॉक प्रतीक'];सार्वजनिक कारोबार वाले शेयरों या क्रिप्टोकरेंसी की पहचान करने के लिए उपयोग किया जाने वाला संक्षिप्त नाम
information-object;['स्वस्तिक', '卐', 'gammadion', 'hakenkreuz', 'svastika', 'swastikas'];भारतीय संस्कृति का मंगलकारी प्रतीक चिह्न
information-realization;['संचालन प्रणाली', 'प्रचालन तन्त्र', 'ऑपरेटिंग सिस्टम', 'आपरेटिंग सिस्टम', 'ऑपरेटिंग वातावरण', 'ऑपरेटिंग सिस्टम्स', 'प्रचालन तंत्र', 'प्रचालन प्रणाली'];अनुप्रयोग आदि का संग्रह और निर्देशों का संचालन करने वाली प्रणाली।
information-realization;['महाभारत', 'mahabharat', 'mahabharata', 'जय', 'भारत', 'mahabharatam', 'mahabharatum'];प्राचीन भारत के दो प्रमुख संस्कृत महाकाव्य में से एक
information-realization;['गीता', 'भगवद् गीता', 'भगवद्गीता', 'श्रीमद्भगवद्गीता', 'भगवदगीता', 'भगवद गीता', 'भगवद्\u200cगीता', 'भग्वद गीता', 'भग्वद्गीता', 'भाग्वत गीता', 'श्रीमदभागवतगीता', 'श्रीमद्भग्वदगीता', "'''श्रीमद्भगवद्गीता'''", 'कर्मण्येवाधिकारस्ते', 'भगवत गीता अध्याय एक', 'भगवतगीता', 'श्री मदभगवत गीता', 'श्री मदभागवत गीता', 'श्री मद्भागवत गीता', 'श्रीमदभगवतगीता', 'श्रीमद्भागवद्गीता', 'श्रीमद्\u200cभगवद्\u200cगीता', 'bhagavadgita', 'भगवद - गीता'];जीवन दर्शन का ज्ञान देता पवित्र हिन्दू ग्रन्थ
information-realization;['समादेश', 'व्यादेश', 'संघर्ष और विरत', 'संघर्ष और विरत आदेश', 'enjoining', 'enjoinment', 'अस्थायी निरोधक आदेश', 'आदिष्ट करना', 'निषेधाज्ञा', 'निषेधाज्ञा राहत', 'रोक', 'सुपर निषेधाज्ञा', 'सुरक्षात्मक आदेश', 'स्थायी निषेधाज्ञा'];कुछ करने से रोकने के लिए एक कानूनी आदेश
information-realization;['पाक कला पुस्तक', 'रसोई की किताब', 'cookbooks'];किचन रेफरेंस पब्लिकेशन, आमतौर पर खाना बनाने की विधियों का संग्रह।
information-realization;['वाद-विवाद', 'बहस', 'तर्क सिद्धांत', 'बहस मुबाहिसे का गिरोह', 'बहस टीम', 'भाषण और बहस', 'राजनीतिक बहस', 'विवाद'];Vyavsayik mahilaye parivar ke liye shRap ya vardan
information-realization;['आरेख', 'चित्र'];एक प्लान, चित्रकारी, स्केच या रूपरेखा जो किसी के काम करने का ढंग या भागों के संबंध दर्शाए
information-realization;['लाइसेंस', 'अनुज्ञा', 'परमिट', 'अनुदान लाइसेंस', 'लाइसेंस समझौते', 'लाइसेंस प्राप्त'];कुछ का उपयोग करने की अनुमति
information-realization;['विनियोग विधेयक', 'appropriations बिल'];सरकार द्वारा संचित निधि से रकम निकासी को मंजूरी दिलाने के लिए संसद में प्रस्तुत विधेयक विनियोग विधेयक कहलाता है।इसका प्रावधान संविधान के अनुच्छेद 114 में है। संविधान के अनुच्छेद 266 (1) में भारत की संचित निधि गठित करने का प्रावधान है। भारत सरकार की स
information-realization;['rondo', 'रोण्डो'];बहुविकल्पी पृष्ठ
information-realization;['सिस्टम सॉफ्टवेयर', 'तंत्र प्रोग्राम'];कंप्यूटर सॉफ्टवेयर जो एप्लिकेशन सॉफ्टवेयर को चलाने हेतु मंच प्रदान करता है।
information-realization;['मानचित्र प्रक्षेप', 'मानचित्र प्रक्षेपण'];मानचित्र प्रक्षेप की परिभाषा
information-realization;['देशी संगीत', 'देश और पश्चिमी', 'देश के पश्चिमी', 'अमेरिकी देश संगीत', 'क्लासिक देश संगीत', 'देश', 'देश और पश्चिमी संगीत', 'देश के संगीत', 'देश गायक', 'देश संगीत', 'देश संगीतकार', 'नए देश', 'सी और डब्ल्यू'];अमरीकी प्रसिद्ध गीत की शैली
information-realization;['सारांश', 'अमूर्त', 'सार', 'सारलेख'];किसी बात का मुख्य बिंदु या संक्षिप्त विवरण सार या सारांश कहलाता है।
information-realization;['देवनागरी', 'नागरी लिपि', 'नागरी', 'नागर', 'देवनागरी लिपि', 'देवनागरी लिपी', 'devanagari', 'नेपाली लिपि', 'हिंदी वर्णमाला', 'नगरी', 'devanagiri'];हिंदी, मराठी आदि भाषा को लिखी जाने वाली लिपि
information-realization;['मोर्स कोड', 'अंतरराष्ट्रीय मोर्स कोड', 'अंतर्राष्ट्रीय मोर्स कोड'];सन्देश भेजने की एक पद्धति है।
information-realization;['ऋग्वेद', 'ऋगवेद', 'ऋग्\u200dवेद', 'ॠग्वेद'];हिन्दू धर्मग्रंथ वेदों में सबसे प्राचीन ऋग्वेद धर्मग्रंथ दुनियाँ के प्राचीनतम
information-realization;['हस्तशिल्प', 'हस्तकला', 'दस्तकारी', 'कला और शिल्प', 'handcraft', 'handcrafts', 'handwork', 'शिल्प'];भारतीय हस्तकला
information-realization;['पत्र', 'चिट्टी', 'राजनीतिक संदेश'];गणपतिचाय आपल्या मित्रांना घरी बोलवले .
information-realization;['चेक', 'चॅक', 'बैंक चेक'];भुगतान की विधि
information-realization;['संगीत', 'फिर्मन', 'ब्राह्मणों को न्योता', 'संगीत श्री', 'सङ्गीत'];संगीत---- "संगीत को ही सारे जग ने, अपने सुख की भाषा माना"
information-realization;['वर्तनी जाँचक', 'वर्तनी जांचक', 'जादू चेकर', 'spellchecker', 'चेकर वर्तनी', 'जादू चेकर्स'];दस्तावेजों में वर्तनी की जांच करने वाला प्रोग्राम
information-realization;['हाइकु', 'haiku', 'हाइकु संग्रह', 'हाइकू', 'haikus'];जापानी कविता
information-realization;['एम.एस.-डॉस', 'एमएस-डॉस', 'ms-dos', 'माइक्रोसॉफ्ट डॉस', 'microsoft डिस्क ऑपरेटिंग सिस्टम'];एक x86 प्रचालन तन्त्र
information-realization;['डॉस', 'dos', 'डिस्क ऑपरेटिंग सिस्टम', 'डॉस संचालन प्रणाली', 'डिस्क प्रचालन तंत्र'];संचालन प्रणाली
information-realization;['डॉस', 'dos', 'डिस्क ऑपरेटिंग सिस्टम', 'डॉस संचालन प्रणाली', 'डिस्क प्रचालन तंत्र'];प्रचालन तन्त्र
information-realization;['कर्फ्यू', 'करफ्यू'];सड़कों या चौकों जैसे सार्वजनिक क्षेत्रों में प्रवेश पर राजनीतिक या पुलिस प्रतिबंध
information-realization;['आधुनिकतावाद', 'आधुनिकतावादी', 'आधुनिक आंदोलन', 'आधुनिकता', 'आधुनिकतावादियों'];दार्शनिक एवं कलात्मक आंदोलन
information-realization;['इंजील', 'गोस्पल', 'gospels', 'विहित gospels', 'विहित सुसमाचार', 'सुसमाचार'];पुस्तकें जो यीशु के जीवन व सीखों का वर्णन करते हैं
information-realization;['उपनिषद्', 'उपनिषद', 'उपनिषत्', 'उपनिषदो', 'उपनिषदों'];प्रमुख हिन्दू धर्मग्रंथो में से एक संकलन
information-realization;['अनुच्छेद', 'पैराग्राफ', 'पैरा'];इब्राहीम पटेल
information-realization;['क़ुरान', 'क़ुरआन', 'कुरान', 'क़ुरान शरीफ़', "क़ोर'आन", 'कुरआन', 'कुर॑आन', 'अल कुरान'];इस्लाम धर्म का पवित्र ग्रन्थ
information-realization;['प्लान', 'इंजीनियरिंग ड्राइंग', 'चित्र', 'वास्तुशिल्प योजना'];एक वस्तु का वर्णन करने के लिए प्रयुक्त चित्र या आरेख
information-realization;['h', 'आग कोड'];Fire safty
information-realization;['कम्प्यूटर-एडेड डिजाइन', 'कम्प्यूटर-साधित अभिकल्प', 'कंप्यूटर एडेड डिजाइन', 'सीएडी सॉफ्टवेयर'];कैड सॉफ्टवेयर
information-realization;['सुनम्य कलाएँ', 'प्लास्तिक की कला', 'अभिघटन कला', 'प्लास्टिक कलाकार', 'प्लास्टिक की कला'];भौतिक वस्तुओ के निर्माण और संशोधन के आधार पर कला के रूप का रूप
information-realization;['सैलिक क़ानून', 'सैलिक कानून', 'सैलिक न्याय', 'सैलिक विधि', 'salic कानून'];मध्यकालीन यूरोप के फ़्रैंक लोगों की न्यायिक व्यवस्था
information-realization;['बाइबिल', 'इंजील', 'बाइबल', 'धर्मग्रंथ', 'बाईबल', 'बाईबिल', 'ईसाई बाइबल', 'bibles', 'अच्छी किताब', 'ईसाई ग्रंथों', 'धार्मिक ग्रंथों', 'धार्मिक पाठ', 'पवित्र इंजील', 'पवित्र ग्रंथ', 'पवित्र ग्रंथों', 'पवित्र पाठ', 'पवित्र पुस्तक', 'लिखित'];ईसाईयों की धार्मिक ग्रंथ
information-realization;['gospel of mark', 'इंजील मार्क के अनुसार'];Gospel of Mark
