activity;['go', 'baduk', 'go-spelare', 'gote', 'hane', 'sten', 'wei-chi', 'weiqi', '⚆', '⚇', '⚈', '⚉', 'go spel'];Ett brädspel som ursprungligen kom från Kina.
biological-object;['stortå', 'stortån', 'hallux'];Den största av tårna på foten.
biological-object;['stjärt', 'bakdel', 'stuss', 'ända', 'rumpa', 'bak', 'arsle', 'arslet', 'gump', 'rompa', 'rump', 'rumpan', 'rumpor', 'röv', 'röven', 'stjärtar', 'sätesregion', 'arsel', 'bakdelen', 'aboral', 'anatomiska gäller läge', 'apikala', 'bakom', 'bakre', 'bakre ände', 'basala', 'bullar', 'distala', 'dorsolaterala', 'dorsoventral', 'glutealregionen', 'ipsilaterala', 'kaudala', 'kaudalt', 'keister', 'kontralaterala', 'laterala', 'medioklavikularlinjen', 'nater', 'plantar', 'posteriort', 'prat', 'proximala', 'skinkor', 'skinkorna', 'tooshie', 'tush', 'ventrala', 'ventrolaterala', 'villkor för anatomisk plats'];Den köttiga delen av den mänskliga kroppen som man sitter på.
biological-object;['örsnibb', 'örlob', 'öronlob', 'öronsnibb', 'örsnibben', 'örsnibbar'];Den nedre köttiga delen av det mänskliga örat.
biological-object;['ansikte', 'anlete', 'nuna', 'fjäs', 'ansikt', 'ansiktsdrag', 'fejs', 'ansiktsuttryck', 'nylle', 'ansiktet', 'mänskligt ansikte'];Den främre delen av huvudet omfattande ögonen, näsan, munnen och området runt omkring dessa.
biological-object;['bringa', 'bröst', 'bröstkorg'];Partiet av kroppen som sträcker sig från halsens bas till magens topp. thorax.
biological-object;['hjärta', 'hjärtat', 'hjärtan', 'hjärtats', 'hjärtats uppbyggnad', 'hjärtkammare', 'kammare', 'kardiogen', 'människohjärta', 'sinusarrest', 'vitier', 'vitium', 'vitium organicum cordis', 'hjärtats vänstra', 'hjärtkammaren', 'mänskliga hjärtat'];En muskel som pumpar blod genom kroppen.
biological-object;['skenben', 'skenbenet', 'smalben', 'tibia'];Det större och starkare av de två ben som finns i benet eller bakre extremiteten nedanför knäet.
biological-object;['handflata', 'tenar', 'tenar eminens', 'thenar'];Den inre och lätt konkava delen av människans hand som sträcker sig från handleden till fingrarnas början.
biological-object;['blad', 'löv', 'lövverk', 'bladverk', 'folium', 'kransställd', 'nerv', 'basala blad', 'epidermis', 'gälblad', 'mesofyll', 'abaxial', 'adaxial', 'axil', 'axils', 'basal blad', 'blad marginal', 'blad slida', 'bladet axil', 'crenate', 'huvudnerv', 'ludna', 'sammansatta blad'];Det huvudsakliga organet för fotosyntes och transpiration på träd och vissa större buskar, består vanligen av en platt skiva som fogas till grenarna med hjälp av en stjälk.
biological-object;['penis', 'lem', 'kuk', 'ballen', 'dase', 'kewk', 'kuken', 'manslem', 'penisar', 'penisen', 'petter-niklas', 'pick', 'pillesnopp', 'ståfralla', 'task', 'tissemand', 'åderpåle'];Det manliga könsorganet för parning och urinering, den rörformade delen av det manliga könsorganet
biological-object;['midja', 'liv', 'midjemått', 'midjan'];Partiet mellan bröstkorgen och höfterna på en människa.
biological-object;['öga', 'ögon', 'åderhinan', 'åderhinna', 'åderhinnan', 'ögonglob', 'ögongloben', 'ögonvrå', 'oculus', 'ögat', 'oculi', 'okuli', 'optik', 'optiska', 'sammansatta ögon'];Det ljuskänsliga organ som omvandlar ljus till elektriska signaler som skickas vidare till hjärnan och med hjälp av vilket djur kan se.
biological-object;['näsa', 'nos', 'näsan', 'luktorganet'];Det av ansiktets organ som används för att känna lukten av saker.
biological-object;['hammare', 'hammaren', 'malleus'];Ett ben i mellanörat, mellan trumhinnan och städet.
biological-object;['ansikte'];Den del av ett djur eller en människa som består av haka, mun och de primära känselorganen.
biological-object;['hals', 'collum', 'halsens muskler', 'halsmuskler', 'halsen', 'nack'];Den del av kroppen (som finns hos vissa djur däribland människan) som förenar huvudet och överkroppen.
biological-object;['tarm', 'mag-tarmkanalen', 'inälvor', 'tarmarna', 'tarmslemhinnan', 'tarmar', 'tarmkanal', 'gastrointestinala', 'tarmen', 'enterisk', 'gastrointestinal', 'matsmältningsorganen', 'tarmkanalen', 'tarmlumen', 'övre mag-tarmkanalen'];Ett djurs inre organ.
biological-object;['bröst', 'bröstkorg', 'bringa', 'thorax', 'bröstet', 'bröstkorgen', 'pectus'];Partiet av kroppen som sträcker sig från halsens bas till magens topp. thorax.
biological-object;['lår', 'lårregion', 'femur', 'låret'];Området mellan höften eller baken och knäet.
biological-object;['strupe', 'hals', 'halsar', 'halsen', 'svalget'];Den främre delen av halsen.
biological-object;['centrala nervsystemet', 'cns', 'centrala nervsystem', 'centralt nervsystem', 'systema nervosum centrale'];Den del av ryggradsdjurs nervsystem som omfattar hjärnan, hjärnstammen och ryggmärgen.
biological-object;['rygg', 'dorsum'];Baksidan av kroppen, i synnerhet den del som befinner sig mellan halsen och slutet av ryggraden och på motsatta sidan från bröst och buk.
biological-object;['haka', 'dubbelhaka', 'hakgrop', 'hakan'];Den nedre delen av ansiktet precis under munnen.
biological-object;['mage', 'buken', 'buk', 'abdominal', 'bukhåla', 'bukhålan', 'bukmuskler', 'magar', 'magmusklerna', 'mänskliga buken'];Den lägre delen av överkroppens framsida (eller motsvarande del på ett djur), begränsad uppåt av mellangärdet och nedåt av bäckenet. Innehåller tarmarna.
biological-object;['frukt', 'frukter', 'frukten', 'frökapsel'];En fullt utvecklad äggstock hos en växt, med eller utan andra delar av blomma eller skott förenade med den vid full mognad
biological-object;['långfinger', 'långfingret', 'digitus medius', 'digitus tertius', 'ge fingret'];Det mittersta och längsta fingret.
biological-object;['öra', 'örat', 'öron', 'det mänskliga örat', 'hörselgången', 'myringit', 'trumhinna', 'trumhinneinflammation', 'vaxpropp', 'öronsjukdomar', 'mänskliga örat'];Hörselorganet bestående av ytteröra, hörselgång, trumhinna, hammare, städ, stigbygel samt öronsnäckan.
biological-object;['kärna', 'endokarp', 'endokarpen'];Det träskal som omger fröämnet i några frukter, i synnerhet stenfrukter.
biological-object;['tandpulpa', 'pulpa', 'massa', 'tandpulpan'];Det mjuka centrum i en tand där blodkärl och nervändar återfinns.
biological-object;['bäcken', 'höft', 'bäckenben', 'bäckenbenet', 'pelvis', 'sittbenet', 'bäckengördeln', 'bäcken båge', 'bäckenet'];De utstickande delarna av bäckenet och lårbenets topp och den vävnad som täcker dessa.
biological-object;['bäcken', 'höft', 'bäckenben', 'bäckenbenet', 'pelvis', 'sittbenet', 'bäckengördeln', 'bäcken båge', 'bäckenet'];Den beniga strukturen hos de flesta vertebrater som är belägna vid basen av ryggraden.
biological-object;['tumme', 'pollex', 'tummen', 'motstående tumme', 'tummar'];Den kortaste och tjockaste av fingrarna som kan sättas mot de övriga för att skapa ett fast grepp.
biological-object;['ringfinger', 'ringfingret', 'digitus anularis', 'annualry'];Fingret mellan långfingret och lillfingret.
biological-object;['näsborre', 'näsborrar', 'främre naris', 'nare', 'nares', 'naricorns', 'näsborren'];En av de två öppningar som återfinns på näsan (eller på en fågels näbb). som används som passage för luft och andra gaser till näsans luftvägar.
biological-object;['huvud', 'skalle', 'caput', 'huvuden', 'huvudet', 'cefaliska'];Den del av ett djurs eller en människas kropp där hjärna, mun och de viktigare känselorganen finns.
biological-object;['rot', 'rothår', 'rotsystem', 'rottråd', 'rotdjup', 'rotzon', 'rotzonen', 'tillfälliga rötter'];Ett organ hos kärlväxter som absorberar och håller fast växten. det har vare sig blad eller blommor och återfinns vanligen under markytan.
biological-object;['lager', 'skikt'];En mängd av ett visst material fördelat relativt jämnt över en yta. ofta som del av en struktur bestående av flera lik- eller olikartade sådana.
chemical-object;['deuterium', 'd', 'tungt väte', 'väte-2', 'deuteron', 'deuteroner'];En isotop av väte där atomkärnan innehåller en neutron och en proton, istället för enbart en proton. Istället för den vanliga beteckningen 2H för isotopen, används vanligen symbolen D för isotopen.
chemical-object;['protein', 'äggviteämne', 'äggviteämnen', 'proteiner', 'proteinkemi', 'proteinkvalitet', 'proteinpulver', 'äggvite', 'polyprotein', 'proteinhaltiga', 'proteinhaltigt', 'proteinsyntes'];Förening inom en klass polymerer med hög molekylvikt, bestående av kedjor uppbyggda av ett antal olika alfa-aminosyror vilka hålls samman genom peptidbindningar.
cognitive-event;['stank', 'odör', 'dofta', 'dålig lukt', 'foetor', 'stinker'];En obehaglig lukt.
cognitive-event;['doft', 'arom', 'aromämne', 'vällukt', 'arom förening', 'doftande', 'dofter', 'luktämne', 'luktämnen'];En behaglig lukt.
cognitive-event;['avsmak', 'avsky', 'hat', 'äckel'];Extremt hat eller motvilja. känslan av fullständig avsmak.
cognitive-event;['avsmak', 'avsky', 'hat', 'äckel'];En känsla av starkt ogillande eller fientlighet.
cognitive-event;['ilska', 'vrede'];En känsla av mycket stark irritation.
cognitive-event;['sorg'];Mentalt lidande eller smärta framkallad av skada, förlust eller förtvivlan.
cognitive-event;['avsky', 'äckel', 'styggelse'];Extremt hat eller motvilja. känslan av fullständig avsmak.
cognitive-event;['vämjelse', 'äckel', 'avsky'];En känsla av extrem motvilja som åtföljs av illamående.
cognitive-event;['avsmak', 'avsky', 'hat', 'äckel'];Extremt hat eller motvilja. känslan av fullständig avsmak.
cognitive-event;['avsmak', 'avsky', 'hat', 'äckel'];En känsla av starkt ogillande eller fientlighet.
cognitive-event;['hopp', 'förhoppning'];Tron att ett önskemål kan uppfyllas i framtiden.
cognitive-event;['lukt', 'doft', 'stank', 'dofter', 'odör', 'lukt känsla', 'lukt uppfattning', 'lukten', 'obehaglig lukt'];Det som förnims med näsan.
cognitive-state;['koma', 'medvetslös', 'medvetslöshet', 'konstgjord koma', 'konstgjort koma', 'comatoseness'];Ett medvetslöst tillstånd från vilket man ej säkert vaknar upp, vanligen orsakat av någon form av trauma.
course;['bom', 'miss'];Misslyckande med att träffa.
course;['förändring', 'ändring'];Processen att bli annorlunda.
course;['början', 'inledning', 'start'];En aktivitets eller handlings initiala fas.
dependent-place;['förkastning', 'brott', 'klyfta', 'skreva', 'spricka', 'förkastningsbrant', 'förkastningsspricka', 'förkastningslinje', 'förkastningsplan', 'förkastningsrörelse', 'hängvägg', 'liggvägg', 'förkastningar', 'faultline', 'fel', 'fel zon', 'fraktur', 'geologisk fel', 'jordbävning fel', 'seismisk fel', 'seismiska fel', 'skiljelinjer', 'spröd deformation', 'strejk-slip', 'strejk slip fel'];En spricka eller sprickzon längs vilken det skett relativa förflyttningar av sidorna parallellt med sprickan
dependent-place;['gylf', 'flyga fram'];Det blixtlås eller de knappar som finns på framsidan av ett par byxor.
dependent-place;['snö'];Material som består av små iskristaller.
dependent-place;['korsning', 'vägkorsning', 'vägskäl', 'plankorsning', 'trafikkorsning', 'vägkorsningar', 'bevakad järnvägsövergång', 'plankorsningar', '⛶', 'korsningen', 'carrefour', 'crossway', 'gaffel'];Ett förgrening av en väg eller stig där delar upp sig i två.
dependent-place;['centrum', 'mittpunkt', 'mitt', 'mittpunkten'];Den mittersta delen som klart kan särskiljas från den omgivande delen.
dependent-place;['orkanens öga', 'öga', 'eyewall'];Den centrala del av en cyklon runt vilken vindarna rör sig
dependent-place;['skyltfönster'];En öppning i, vanligen täckt av glas, i en affär som låter människor se affären och dess varor från utsidan.
dependent-place;['höger'];En riktning eller sida som utgör motsatsen till vänster. När en person håller ut sina händer med handflatorna bort från personen i fråga, så bildar pekfinger och tumme inte ett "L" på denna sida.
dependent-place;['vik'];En djup undangömd håla eller vrå i en klippa eller brant bergssida, eller en liten rak dal som sträcker sig in i ett berg eller ner längs en bergssida.
ecological-collective;['världen', 'mänsklighet', 'värld', 'människosläkt', 'världens', 'människor', 'mänskligheten', 'i världen', 'mänskliga rasen'];Alla mänskliga varelser.
ecological-collective;['världen', 'mänsklighet', 'värld', 'människosläkt', 'världens', 'människor', 'mänskligheten', 'i världen', 'mänskliga rasen'];Jorden med alla dess invånare och alla saker på den.
ecological-collective;['växt', 'flora', 'växtarter', 'växtliv', 'vegetation', 'plantae', 'växter', 'archaeplastida', 'floran', 'floristisk', 'när uppträdde växter', 'sveriges flora', 'växten', 'växtriket', 'växtvärlden', 'floror'];De växter som återfinns inom ett givet område eller inom en given miljö.
ecological-collective;['växt', 'flora', 'växtarter', 'växtliv', 'vegetation', 'plantae', 'växter', 'archaeplastida', 'floran', 'floristisk', 'när uppträdde växter', 'sveriges flora', 'växten', 'växtriket', 'växtvärlden', 'floror'];En levande organism som typiskt syntetiserar sin föda från oorganiska ämnen, som har cellväggar av cellulosa, som reagerar långsamt och ofta oåterkalleligt på stimulus, som saknar specialiserade sinnesorgan och nervsystem, och som saknar rörelseförmåga
ecological-collective;['växt', 'flora', 'växtarter', 'växtliv', 'vegetation', 'plantae', 'växter', 'archaeplastida', 'floran', 'floristisk', 'när uppträdde växter', 'sveriges flora', 'växten', 'växtriket', 'växtvärlden', 'floror'];Den växtlighet som kännetecknar en given geografisk region eller omgivning.
ecological-collective;['skog', 'wälder', 'timmer', 'trä', 'virke', 'skogen', 'skoglig', 'skogsvegetation', 'tempererade skogsmiljöer', 'örtrik granskog', 'barrskog', 'barrskogar', 'skogar'];Ett vegetationssamhälle som domineras av träd och sly, vilka växer så tätt att trädtopparna överskuggar eller berör varandra, vilket leder till varierande grader av skugga på marken under träden.
event;['vilt', 'viltkött'];Kött från djur som vanligen lever vilt.
event;['tävling', 'konkurrens', 'tävlan', 'tävlingar', 'tävla', 'tävlingarna', 'idrottstävling', 'konkurrent', 'konkurrenter'];Den samtidiga efterfrågan från två eller flera organismer eller arter efter en viktig gemensam resurs som är en faktisk eller potentiell bristvara.
event;['bröllop', 'vigsel', 'brudlopp', 'bröllopp', 'bröllopsdag', 'bröllopssvit', 'brölopp', 'vigselceremonier', 'borgerlig vigsel', 'bröllopet', 'bröllops', 'hymeneals', 'åtagande ceremoni'];En ceremoni som firar inledningen av ett äktenskap under vilken de kontrahenter som skall gifta sig utbyter löften.
event;['muande', 'mu', 'moo'];Ljud frambringat av en ko.
event;['skall', 'bark'];Det korta, högljudda, explosiva ljud som en hund ger i från sig.
event;['havsström', 'oceanströmning', 'havsströmmar', 'oceanström', 'havsströmmarna', 'havströmmar', 'marin ström', 'oceanisk ström'];En nettotransport av havsvatten längs en definierbar väg.
functional-matter;['cider', 'lingoncider', 'päroncider', 'äppelcider', 'cyder'];En alkoholhaltig dryck som huvudsakligen är tillverkad av fruktsaft från äpplesorter speciellt odlade för denna tillverkning.
functional-matter;['blodpropp', 'tromb', 'blodproppar', 'trombos', 'tromboser', 'tromber'];En klump av blod som bildas av blodplättar och andra element. som bildas i ett blodkärl i en levande organism.
functional-matter;['spott', 'saliv', 'spottloska'];Utsöndring från salivkörtlarna, som återfinns i munnen och kan spottas ut.
functional-matter;['snöflinga'];En ansamling av iskristaller som faller från himlen.
functional-matter;['spets', 'spetsar', 'baby irish', 'bisette', 'flätspets', 'formslagsspets', 'granatspets', 'spetstillverkning'];En genombruten, mönstrad tunn textil, tillverkad genom sömnad eller knyppling.
functional-matter;['recept', 'förskrivningsrätt', 'receptbelagt läkemedel', 'receptbelagd', 'receptbelagt', 'receptbelagda läkemedel', 'etiska läkemedel'];En nedskriven beskrivning av en läkare angivande medicin och dosering.
functional-matter;['pålägg', 'smörgåspålägg', 'fyllning'];Mat avsedd att ätas på eller mellan bröd, och som tillsammans med brödet samt vanligen smör eller margarin utgör en smörgås.
functional-matter;['naturgas', 'fossilgas', 'naturgas egenskaper', 'naturgas i europa', 'naturgasbolag'];Ett naturligt bänsle som innehåller metan och andra kolväten, och som förekommer i vissa geologiska formationer.
functional-matter;['hamburgare', 'burgare', 'fiskburgare', 'hamburgerrestaurang', 'handburgare', 'kycklingburgare', 'köttsemla', 'ostburgare', 'beefburger'];En varm smörgås som typiskt består av en nötfärsbiff som placeras inuti en bulle tillsammans med grönsaker och smaksättare.
functional-matter;['gasohol'];En blandning av 80% till 90% bensin med 20% till 10% etylalkohol, för användning i förbränningsmotorer.
functional-matter;['sockerkaka', 'socker kaka', 'sockerkaksbottnar'];En lätt, mjuk bakad dessert (vanligen med lager av grädde och sylt) som typiskt görs av mjöl, socker, bakpulver och ägg.
functional-matter;['sand', 'grovsand', 'mellansand', 'finsand', 'kvartssand', 'sandjord'];Ett löst material som består av små mineralpartiklar, eller sten och mineralpartiklar som kan urskiljas med blotta ögat. kornen varierar från sfäriska till kantiga, med en diameter från 1/16 till 2 millimeter.
functional-matter;['smaktillsats', 'krydda', 'smakförstärkare', 'kondiment', 'kryddor'];Något som används för att förhöja smaken på mat. salt eller peppar exempelvis.
functional-matter;['bröllopstårta', 'bröllopspirog', 'kakor bröllop'];En tårta ofta i flera lager som skärs upp ceremoniellt av brudparet vid deras bröllop.
functional-matter;['cocktail', 'drinkar'];En sorts blandad dryck, vanligen bestående av två eller flera sorter alkohol och smaksättare.
functional-matter;['oblat', 'kex', 'oblater', 'nattvardsbröd', 'rån'];En tunn, spröd, flat, torr och söt kaka, ofta med mönstrad yta.
functional-matter;['livsmedel', 'födoämne', 'livsmedelsprodukt'];Ett ämne som kan användas eller förberedas för att användas som mat.
functional-matter;['cider', 'äppelcider', 'äpplecider', 'hård cider', 'hårda cider'];En alkoholhaltig dryck som huvudsakligen är tillverkad av fruktsaft från äpplesorter speciellt odlade för denna tillverkning.
functional-matter;['marsipan', 'marsipangris'];Konfekt bestående av mandelmassa och socker.
functional-matter;['läder', 'djurskin', 'hästläder', 'kärnläder', 'narvsida', 'smorläder', 'svinläder', 'lädervaror'];Berett eller garvat skinn från ett djur, vanligen med pälsen borttagen.
functional-matter;['sorbet', 'scherbet', 'sherbat'];En form av fryst dessert gjord av socker och fruktpuréer och som skiljer sig från glass genom avsaknaden av mjölkprodukter och genom att den ej vispats luftig.
functional-matter;['is', 'is skörd'];Det täta ämne som bildas genom att vatten fryser till fast tillstånd. det förekommer ofta i form av sexhörniga kristaller.
functional-matter;['dryck', 'dricka', 'drycker', 'blurra', 'drickbart'];Varje vätska avsedd att drickas.
functional-matter;['klorofyll', 'bladgrönt', 'e140i', 'e 140i', 'klorofyll a', 'klorofyll b', 'klorofyll c', 'klorofyll d', 'e140', 'e 140', 'klorofyller'];Ett grönt pigment som förekommer i alger och högre växter, som absorberar ljusenergi och sålunda spelar en väsentlig roll i fotosyntesen.
functional-matter;['melon'];En frukt av någon av de arter av familjen Cucurbitaceae som har relativt hårt, oätligt skal och rikhaltigt med sött fruktkött. Frukterna kan variera i storlek men är vanligen inte mindre än en decimeter i diameter.
functional-matter;['böna', 'bönor', 'ätbara bönor'];Ett gemensamt namn för stora ätbara frön från flera olika släkten av Fabaceae.
functional-matter;['näringsämne', 'mat', 'föda', 'näringsämnen', 'nutrient', 'näring', 'närings', 'macronutrient', 'makronäringsämnen'];Ett ämne som kan förtäras och användas av organismen som en källa till näring och energi.
functional-matter;['omelett'];En maträtt med vispade ägg som tillagas i en stekpanna utan omrörning, vänds för att bakas på båda sidor, och som ibland fylls eller toppas med ost, oliver eller andra matvaror.
functional-matter;['hamburgare', 'köttfärs'];En typ av platt nötfärsbiff som typiskt placeras inuti en bulle tillsammans med grönsaker och smaksättare.
functional-matter;['lageröl', 'lager', 'vienna lager', 'lagering', 'wien lager'];Ett ljust underjäst öl.
functional-matter;['tofu', 'bönost', 'bomullstofu', 'bönkvark', 'doufu', 'kinugoshi tofu', 'silkestofu', 'sojabönsost', 'tou-fu', 'beancurd'];En proteinrik matvara tillverkad av stelnad sojamjölk som fåtts att koagulera med hjälp av magnesiumsulfat.
functional-matter;['kostfiber', 'fiber', 'kostfibrer', 'grovfoder', 'lösliga fibrer'];De växtdelar som passerar genom människans matsmältningssystem utan att brytas ned.
functional-matter;['mjukglass', 'fryst vaniljsås'];En form av halvflytande glass som spritsas ut i strutar eller bägare.
functional-matter;['sprit', 'spritdryck', 'brännvin', 'starkvaror', 'likör', 'starksprit', 'spirituosa', 'spritdrycker', 'destillerad dryck', 'destillerad sprit', 'hård dryck', 'john barleycorn', 'starka drycker'];Alkoholhaltig dryck som framställts genom destillation, oavsett alkoholhalt.
functional-matter;['sprit', 'spritdryck', 'brännvin', 'starkvaror', 'likör', 'starksprit', 'spirituosa', 'spritdrycker', 'destillerad dryck', 'destillerad sprit', 'hård dryck', 'john barleycorn', 'starka drycker'];Alkoholhaltiga drycker med mer än 20% alkohol.
functional-matter;['teblad', 'te', 'te stall'];Den dryck som görs genom att låta torkade blad och knoppar dra i hett vatten.
functional-matter;['saft', 'squash'];En koncentrerad dryck framställd genom att koka fruktsaft med socker i avsikt att förlänga hållbarheten, eventuellt med tillsats av konserveringsmedel. Innan konsumtion spädes drycken med vatten.
functional-matter;['ale', 'öl'];En alkoholhaltig dryck som vanligen jäses av malt av korn, med humle eller annan tillsats för att ge en bitter smak.
functional-matter;['vin', 'viner', 'ryska viner', 'vinhandlare', 'vinifering', 'vintillverkare', 'fina viner', 'vino'];En alkoholhaltig dryck som tillverkas genom att jäsa druvsaft.
functional-matter;['bröd', 'brö', 'brödbit', 'brödlimpa', 'brödskiva', 'matbröd', 'staff of life', 'syrat bröd'];Ett vanligt födoämne tillverkat huvudsakligen av mjöl, vatten och jäst, och framställt genom knådning och bakande av en deg.
functional-matter;['glass', 'frusen ko-juice', 'glace', 'glasstånd', 'gräddglass', 'vaniljglass'];En kall dessert (gjord av vatten, grädde och mjölk, kombinerat med smaksättare, emulgeringsmedel och socker) som är populär när det är varmt.
functional-matter;['pannbiff', 'hamburgare', 'panbiff', 'pannbiffar', 'salisbury biff'];En varm smörgås som typiskt består av en nötfärsbiff som placeras inuti en bulle tillsammans med grönsaker och smaksättare.
functional-matter;['pizza', 'pizzaugn', 'pan-pizza', 'pizzor', 'bussola', 'calzone', 'capricciosa', 'kebabpizza', 'margherita', 'pan pizza', 'panpizza', 'pepperonipizza', 'pizzans historia', 'quattro stagioni', 'vesuvio', 'fryst pizza', 'pizza pie'];Ett ugnsbakat platt bröd täckt med tomatsås och andra tillbehör.
functional-matter;['tobak'];Blad från vissa sorter av tobaksplantan som odlats och skördats för att tillverka cigaretter, cigarrer, snus, piptobak eller tuggtobak.
functional-matter;['sten', 'bergart', 'berg', 'bergarter', 'djupbergart', 'felsisk', 'gångbergart', 'mafisk', 'stenmeteorit', 'ytbergart', 'stenar', 'rock'];Små vanligen oregelbundna stycken av mineral, cirka 20–200 mm i diameter.
functional-matter;['ägg', 'hönsägg', 'äggproduktion', 'kokt ägg', 'fisk ägg', 'kyckling ägg'];Ägg från tamfåglar, vanligen höns, betraktat som mat.
functional-matter;['kärnmjölk'];Den syrliga vätska som blir kvar efter att smör har avskiljts från grädde.
functional-matter;['toast', 'rostat bröd', 'grillmacka', 'rostbröd', 'rostis', 'rostmackor', 'varm macka'];Bröd som har tillagats med torr värme (vanligen i en brödrost). en vanlig frukosträtt.
functional-matter;['pannbiff', 'hamburgare', 'biff', 'patty'];En typ av platt nötfärsbiff som typiskt placeras inuti en bulle tillsammans med grönsaker och smaksättare.
functional-matter;['jordärtskocka', 'helianthus tuberosus', 'sunchoke'];Helianthus tuberosus, en sorts solros som odlas som en perenn växt.
functional-matter;['frukost', 'frukke', 'frukostbord', 'frulle', 'morgonmål'];Dagens första måltid, som vanligen äts på morgonen.
functional-matter;['kyckling', 'kycklingar', 'poulet', 'tamhöns', 'volaille'];Köttet av tamhöns (Gallus gallus domesticus).
functional-matter;['vilt', 'viltkött'];Kött från djur som vanligen lever vilt.
functional-matter;['kräk', 'spya', 'barf', 'kräkningen'];Materia uppstött från magen genom munnen.
functional-matter;['radioaktivt nedfall', 'nedfall', 'radioaktivt stoftnedfall', 'stoftnedfall', 'radioaktivt regn', 'radioaktivt stoft'];Det nedfall av luftburna fasta eller flytande partiklar till marken, som sker när hastigheten vid vilken de faller på grund av gravitationen överstiger den hos varje rörelse uppåt i luften som omger dem.
functional-matter;['timmer', 'virke', 'trä', 'leveransvirke', 'sågtimmer', 'kubb', 'dimensionell virke'];Trä i synnerhet betraktat som byggnadsmaterial.
functional-matter;['citronsaft'];Fruktsaft från citroner.
functional-matter;['is', 'is skörd'];Det täta ämne som bildas genom att vatten fryser till fast tillstånd. det förekommer ofta i form av sexhörniga kristaller.
functional-matter;['ved', 'vedeldning', 'brasved', 'vedträn', 'energived', 'vedträ', 'brännved'];Trä som används för uppvärmning.
genetic-collective;['vit', 'den vita rasen', 'europid', 'europida', 'europider', 'kaukasoid', 'kaukasoida', 'kaukasoider', 'vita personer', 'vita människor', 'vita', 'vita rasen', 'kaukaser ras', 'kaukasier', 'kaukasisk ras'];En ljushylld kaukasisk person.
genetic-collective;['familj', 'hushåll', 'regnsbågsfamilj', 'familjeenhet', 'familjen', 'familjer', 'familjerelationer'];En grupp bestående av föräldrar, avkomma och andra som är nära besläktade eller förbundna med dem.
genetic-collective;['äktenskap', 'giftermål', 'äkta par', 'gift par', 'gifta sig', 'man och hustru', 'var gift par', 'äktenskapsmål'];En förening av två personer (vanligtvis en man och en kvinna) som medför rättsliga förpliktelser och är avsedd att vara i livet.
geographical-object;['ö', 'öar', 'ön', 'kontinental ö', 'tropisk ö'];En landmassa, särskilt en som är mindre än en kontinent, som är helt omgiven av vatten.
geographical-object;['vattenväg', 'farled', 'farvateen', 'vattenled', 'vattenvägar', 'segelbar'];En flod, kanal eller annan farbart vattendrag som används för resor eller transport.
geographical-object;['vadställe', 'vad', 'övergångsställe', 'vadställen', 'floden ford', 'ford'];Ett grunt parti av en flod där det är möjligt att gå över.
geographical-object;['persiska viken', 'röda havet', 'arabiska viken', 'iranska viken', 'persiska golfen', 'persiska gulfen'];Ett långsmalt havsparti mellan Afrika och den Arabiska halvön.
geographical-object;['antarktis', 'antarktisk', 'antarktiska regionen'];En kontinent som huvudsakligen ligger innanför södra polcirklen, över sydpolen men inte med själva polen i mitten.
geographical-object;['atlanten', 'atlantiska havet', 'atlantiska oceanen', 'nordatlanten', 'norra atlanten', 'sydatlanten', 'stora västerhavet', 'stora västra oceanen', 'atlantisk', 'atlantkusten', 'nordiska havet', 'transatlantisk'];Den norra delen av Atlanten, utgående från ekvatorn norrut till Norra ishavet.
geographical-object;['grönland', 'gronland', 'kalaallit nunaat', 'grönländare', 'grönlänningar', 'lista över grönlands kommuner efter folkmängd'];En självstyrande ö som tillhör Danmarks territorium.
geographical-object;['hokkaido', 'yezo', 'ezochi', 'ezoti', 'hokkaidou', 'hokkaidō', 'mosir', 'ezo'];Den nordligaste av de fyra japanska huvudöarna och en av Japans prefekturer.
geographical-object;['mark', 'land', 'backe', 'grund', 'fast mark', 'jorden', 'landmassa', 'marken', 'terra firma', 'torra land'];En geografisk del av jordens yta inklusive alla dess attribut, som består av dess geologi, avlagringar på ytan, topografi, hydrologi, jordmåner, flora och fauna, tillsammans med resultaten av forntida och nutida mänsklig aktivitet i den måtto som dessa utgör en väsentlig påverkan på nuvarande och framtida bruk av marken.
gestalt;['nonagon', 'niohörning', 'enneagon', 'regelbunden enneagon', 'regelbunden niohörning', 'regelbunden nonagon'];En polygon med nio sidor.
gestalt;['dekagon', 'tiohörning', 'regelbunden dekagon', 'regelbunden tiohörning', 'decagon'];En polygon med tio sidor.
gestalt;['skiva'];Ett avskuret stycke vars tjocklek är liten i jämförelse med dess längd och bredd eller dess diameter.
information-object;['preposition'];Ett ord som fungerar som markör av den grammatiska roll som det nominala uttryck som följer efter bär.
information-object;['etymologi', 'etymolog', 'etymologier', 'etymologiska', 'etymologiskt'];Vetenskapen om ords ursprung och historiska utveckling.
information-object;['lexem', 'lexemes'];Den fundamentala enheten i ett ordförråd.
information-object;['egennamn', 'namn'];Varje ord eller fras som utpekar en viss person, plats, klass eller sak.
information-object;['personligt pronomen', 'personliga pronomen', 'personliga pronomina'];Ett pronomen som syftar på en tidigare nämnd person.
information-object;['kommatecken', 'komma', ','];Ett skiljetecken som används för att åtskilja nära knutna delar av en mening.
