abstract-region;['бисёръузва', 'бисёрузва', 'полином'];Бисёръузва́
agentive-physical-object;['бактериофагҳо', 'бактериофаг'];Бактериофа́ги ё фа́гҳо
agentive-physical-object;['парранда', 'паранда', 'парвозкунанда', 'aves'];Парандаҳо яке аз машҳуртарини синфи олами ҳайвонот мебошанд.
agentive-physical-object;['печак'];Печак -,, ки инчунин лаблоб, ашақа низ ном мебаранд, рустаниест аз хонадони печакиҳо.
agentive-physical-object;['карафс', 'apium graveolens'];Карафс ё карафш
agentive-physical-object;['шалғам'];Шалғам бехгиёҳи хӯрокии турбмонанд, ки мазаи тунду тезе дорад.
agentive-physical-object;['зардчӯба', 'зарчӯба'];Зардчӯба, зарчӯба, ҷадвор
agentive-physical-object;['аспи пржевалский'];ÁСПИ ПРЖЕВАЛСКИЙ, як навъ ҳайвони тоқсум.
agentive-physical-object;['архар', 'ғулча'];Архар, ғулча - як навъ ҳайвони ҷуфтсумро гӯянд.
agentive-physical-object;['гӯсфанд', 'ovis aries'];Гӯсфанд - барра ҳайвони хонагӣ мансуби ҷуфтсумҳо.
agentive-physical-object;['чойкаҳак'];Чойкаҳак– Hypericum perforatum.
agentive-physical-object;['барра'];Барра, ҳамал — бачаи гӯсфанд.
amount-of-matter;['баббит'];Баббит — хӯлаҳои антифриксионии дар асоси қалъагӣ ё сурб тайёршуда.
amount-of-matter;['қаҳва'];Қаҳва
amount-of-matter;['европий', 'eu'];Европий
amount-of-matter;['руҳ', 'рӯй', 'zn'];Рӯй
amount-of-matter;['германий', 'г', 'ge'];Герма́ний, Ge — унсури кимиёии гурӯҳи IV ҷадвали Менделеев, рақами тартибиаш 32, массаи ат.
amount-of-matter;['теллур', 'te'];Теллу́р — элементи кимиёвии гуруҳи 16-уми системаи даврӣ мансуб аст.
amount-of-matter;['об', 'h₂o'];Об – манбаи ҳаёт мебошад.
amount-of-matter;['аргон', 'árgon', 'ar'];Aргон — элементи гурӯҳи 18 системаи даврии элементҳои химиявӣ даври сеюми ҷадвали даврии элементҳои химиявии Менделеев мебошад.
amount-of-matter;['криптон', 'kripton', 'kr'];Криптон
amount-of-matter;['атсетилен', 'асетилен'];АТСЕТИЛЀН — карбогидриди беҳад . гази беранг, бӯи пасти эфирӣ дорад. ҳарорати гудозиш –81,8°С, ҳарорати ҷӯшиш –83,8°С, зичиаш 1,17 кг/м3 . дар атсетон ҳал мешавад.
amount-of-matter;['бензол'];Бензол — як навъ пайвасти органикӣ карбогидриди ароматии содатарин. моеъи беранг, зудбухор. бӯйи хос дорад.
amount-of-matter;['неон', 'neon', 'ne'];Неон
amount-of-matter;['атсеталдегид'];Атсеталдегит — пайвасти органикӣ, моеи беранг, бӯйи тез дорад. ҳарорати ҷӯшишаш 20,8°С, ҳарорати гудозиш –124°С, зичиаш – 783 кг/м3.
amount-of-matter;['хлор', 'cl'];Хлор
amount-of-matter;['нитроген', 'азот', 'n'];Азот Дар забони тоҷикӣ бештар номи нитроген дар истифода аст.
amount-of-matter;['ҳемоглобин', 'гемоглобин'];Гемоглобин - сафедаи хун, ки дар хуҷайраҳои сурхи хун эритроситхо ҷойгир шудааст ва сурхии хун аз он вобаста аст.
amount-of-matter;['аспарагин'];Аспарагин,(H2NOCCH2CH(NH2) COOH, амиди кислотаи аспарагин. массаи мол.
amount-of-matter;['технетсий', 'технеций', "tehneci'", 'tc'];Технетсий – элементи гуруҳи ҳафтум, даври панҷуми системаи даврии элементҳои кимиёвӣ, рақами атомиаш – 43 мебошад.
amount-of-matter;['нафт', 'нефт'];Нафт, нефт — моеи равғанмонанди сӯзандаест, ки бӯи махсус дорад ва дар қабати таҳшинии замин паҳн шудааст.
amount-of-matter;['церий', 'серий', 'ce'];Серий
amount-of-matter;['мис', 'cu'];Мис Мис дар қатори оҳан, тило, нуқра, қалъагӣ, қурғошим, симоб аз қадимтарин металлест, ки инсон 10 ҳаз.сол муқаддам онро мешинохт ва 9 ҳаз.сол пеш дар Шарқи Наздик асри халколит эълон шуд.
amount-of-matter;['гадолиний', 'gd'];Гадоли́ний, Gd — унсури кимиёӣ аз гурӯҳи III ҷадвали даврии Менделеев. рақами тартибиаш 64, массаи атомиаш 157,26.
amount-of-matter;['нуклеозидҳо'];Нуклеозидҳо
amount-of-matter;['самарий', 'sm'];Самарий
amount-of-matter;['гафний', 'ҳафний', 'hf'];Ҳафний
amount-of-matter;['осмий', 'osmium'];О́смий
amount-of-matter;['хром', 'cr'];Хром — унсури кимиёии зергурӯҳи 6-уми гурӯҳи 4-и ҷадвали даврии элементҳои кимиёии Д. И. Менделеев рақами атомӣ — 24, массаи атомӣ — 51,9.
amount-of-matter;['манган', 'mn'];Манган
amount-of-matter;['кобалт', 'co'];Кобалт КОБАЛТ, Co, элементи химиявии гурӯҳи VIII системаи даврии Менделеев, рақами ат.
amount-of-matter;['тантал', 'ta'];Тантал
amount-of-matter;['никел', 'ni'];Никел
amount-of-matter;['каҳрабо', 'кахрабо', 'қаҳрабо'];Каҳрабо зифти минералгаштаи дарахтони сузанбарги давраҳои геологии неоген ва палеоген.
amount-of-matter;['висмут', 'бисмут'];Висмут
amount-of-matter;['иридий'];Ири́дий
amount-of-matter;['волфрам', 'вольфрам', 'w'];Волфра́м
amount-of-matter;['платина', 'pt'];Платина
amount-of-matter;['симоб'];Симоб
amount-of-matter;['уран', 'u'];Уран
amount-of-matter;['адреналин'];Адреналин
amount-of-matter;['гази идеалӣ'];Гази ормонӣ, ё гази идеалӣ — модели назариявии газ, газест, ки дар он зарраҳо ё квазизарраҳо таъсири мутақобила надоранд ё онро ба ҳисоб нагирифтан ҳам мумкин аст.
amount-of-matter;['магний', 'mg'];Магний МАГНИЙ, Mg, элементи химиявии гурӯҳи II системаи даврии Менделеев, рақами ат.
amount-of-matter;['калий', 'k'];Калий
amount-of-matter;['титан', 'ti'];Титан
amount-of-matter;['сирконий', 'zr', 'тсирконий'];Сирконий
amount-of-matter;['сурма', 'сурьма', 'sb'];Сурма
amount-of-matter;['тербий', 'tb'];Тербий
amount-of-matter;['фосфор', 'p'];Фосфор
amount-of-matter;['атсетилхолин'];АТСЕТИЛХОЛЍН (лот.
amount-of-matter;['оксиген', 'o'];Оксиген
amount-of-matter;['йод', 'иод', 'i'];Йод Й —, I., элементи химиявии гурӯҳи VII системаи даврии Менделеев, рақами атом 53, массаи атоми 126, 904, мансуби галогенҳо.
amount-of-matter;['бром', 'br'];Бром
amount-of-matter;['ҳидроген', 'гидроген', 'h'];Онро инунин гидроген низ меноманд.
amount-of-matter;['фтор', 'flüor', 'f'];Фтор
amount-of-matter;['кислотаи дезоксирибонуклеат', 'днк', 'кдн'];Кислотаи дезоксирибонуклеат
amount-of-matter;['нуклеотидҳо'];Нуклеотидҳо
amount-of-matter;['ҳепорин', 'гепарин'];Ҳепорин
amount-of-matter;['молибден', 'mo'];Молибден аз калимаи юнонии «molybdоs» гирифта шуда, маънояш сурб мебошад.
amount-of-matter;['гамма-глобулин'];Гамма-глобулин — унсури сафедаи зардоби хун.
amount-of-matter;['актиний', 'ac'];Актиний Ac — элементи химиявии радиоактиви гурӯҳи III ҷадвали даврии Менделеев, рақами ат.
amount-of-matter;['франсий', 'франcий'];Франcий
amount-of-matter;['радон', 'radon'];Радон
amount-of-matter;['сезий', 'цезий', 'cs'];Сезий
amount-of-matter;['стронсий', 'стронцӣ', 'sr'];Стронсий
amount-of-matter;['полоний'];Полоний
amount-of-matter;['эйнштейний', "e'nshte'ni'"];Эйнштейний
amount-of-matter;['нобелий'];Нобелий
amount-of-matter;['менделевий'];Менделевий
amount-of-matter;['лоуренсий', "lourensi'"];Лоуренсий
amount-of-matter;['плутоний', 'pu'];Плутоний
amount-of-matter;['резерфордий'];Резерфордий
amount-of-matter;['берклий', 'bk'];Бе́рклий
amount-of-matter;['калифорний'];Калифорний
amount-of-matter;['фермий'];Фермий
amount-of-matter;['америтсий', 'америcий', 'америций', 'am'];Амери́тсий
amount-of-matter;['америтсий', 'америcий', 'америций', 'am'];Америcий
amount-of-matter;['нептуний'];Нептуний
amount-of-matter;['кюрий', 'cm'];Кюрий
amount-of-matter;['рений', 're'];Рений аз калимаи лотинии «Rhenus» гирифта шуда, маънояш «Рейн» аст.
amount-of-matter;['рутений', 'рутенӣ', 'ru'];Рутений
amount-of-matter;['галлий', 'галій', 'ga'];Галлий
amount-of-matter;['индий', 'индиум', 'in'];Индий
amount-of-matter;['протактиний'];Протактиний
amount-of-matter;['алюминий', 'al'];Алюминий — А1, элементи химиявии гурӯҳи III ҷадвали даврии Менделеев.
amount-of-matter;['қалъ', 'қалъагӣ', 'sn'];Қалъагӣ
amount-of-matter;['иттрий', 'иттрӣ', 'y'];Иттрий
amount-of-matter;['натрий', 'na'];Натрий
amount-of-matter;['фруктоза'];Фруктоза, қанди мева, леулоза, моносахарид. кристалли беранги ширин, дар об нағз ҳал мешавад.
amount-of-matter;['галактоза'];Галакто́за — моносахаридест аз гурӯҳи гексозаҳо.
amount-of-matter;['палладий', 'pd'];Палладий
amount-of-matter;['кадмий', 'кадмӣ', 'cd'];Кадмий ба гурўҳи металлҳои рангаи камёб дохил мешавад.
amount-of-matter;['ниобий', 'cb', 'nb'];Ниобий металли камёб, сафеди хокистарранг, душворгудоз, устувор, вазнин буда, дар ҳарорати 2468°С гудохта шуда, дар ҳарорати 4742°С меҷӯшад.
amount-of-matter;['таллий'];Таллий
amount-of-matter;['сурб', 'pb'];Сурб
amount-of-matter;['сезий', 'цезий', 'cs'];Сезий
amount-of-matter;['стронсий', 'стронцӣ', 'sr'];Стронсий
amount-of-matter;['литий', 'литӣ', 'li'];Литий == Инҷоро ҳам бингаред == Ҷадвали даврии элементҳои химиявӣ Ли́тий
amount-of-matter;['барий', 'ba'];Ба́рий — унсури зергурӯҳи асосии гурӯҳи дуюм, даври шашум ҷадвали даврии Д. И. Менделеев, бо бо рақами атомии 56.
amount-of-matter;['рубидий', 'рубидӣй', 'rb'];Рубидий
amount-of-matter;['прометий', 'pm'];Прометий, Рm, элементи химиявии радиоактивии гуруҳи III системаи даврии Менделеев. рақами ат.
amount-of-matter;['тулий', 'tm'];Тулий
amount-of-matter;['иттербий', 'итербий', 'yb'];Иттербий
amount-of-matter;['ванадий', "vanadi'", 'v'];Ванадий
amount-of-matter;['торий', 'торій'];Торий
amount-of-matter;['нуқра', 'ag'];Нуқра
amount-of-matter;['зар', 'тило', 'тилло'];Тило
amount-of-matter;['празеодим', 'pr'];Празеодим
amount-of-matter;['силитсий', 'силисий', 'si'];Силитсий
amount-of-matter;['селен', 'se'];Селен лот.
amount-of-matter;['фенол'];Фено́л C6H5OH — намояндаи содатарин синфи фенолҳо.
amount-of-matter;['сиборгий'];Сиборгий
amount-of-matter;['дубний', "dubni'"];Дубний
amount-of-matter;['диспрозий', 'dy'];Диспрозий
amount-of-matter;['гольмий', 'ҳолмий', 'ho'];Ҳолмий
amount-of-matter;['эрбий', 'er'];Эрбий
amount-of-matter;["lyuteci'", 'лютесий', 'лютеций', 'lu'];Лютесий
amount-of-matter;['бор', 'b'];Бор
amount-of-matter;['гелий', 'ҳелий', 'he'];Гелий Ин унсур дар адабиёти таълимӣ бо номи ҳелий маълум аст.
amount-of-matter;['арсен', 'as'];Арсен
amount-of-matter;['бензин'];Бензин — як навъ сӯзишворӣ. омехтаи карбогидридҳои сохташон гуногун.
amount-of-matter;['родий', 'rh'];Родий
amount-of-matter;['калсий', 'ca'];Калсий Калсий аз калимаи лотинии «калкс» гирифта шуда, маънояш оҳак мебошад.
amount-of-matter;['шир'];Шир - ин моеи хӯрокӣ мебошад, ки дар пистони ширхурон тавлид мешавад.
amount-of-matter;['навшодир'];Навшодир – моддаи сахти маълум ва монанди шӯра ва намак сафед аст.
amount-of-matter;['лантан', 'la'];Лантан
amount-of-matter;['скандий', "skandi'", 'sc'];Ска́ндий
amount-of-matter;['неодим', 'nd'];Неодим
amount-of-matter;['карбон', 'углерод', 'c'];Карбон КАРБОН
amount-of-matter;['сулфур', 'гӯгирд', 's', 'кибрит', 'олтингӯгирд'];Сулфур ва ё Гӯгирд бо намоди шимиёии S ном як унсури шимиёӣ аст, ки дар гурӯҳи шашум ва давраи сеюми аз ҷадвали тановуби унсурҳо ҷой гирифтааст.
amount-of-matter;['биринҷӣ', 'бронза'];Биринҷӣ — хӯлаи мис ва унсурҳои гуногуни кимиёӣ: қалъагӣ, алюминий, бериллий, сурб, кадмий, хром ва ғ.
amount-of-matter;['антитоксинҳо'];Антитоксинҳо — як навъ сафедаҳои махсус, ки заҳри микроорганизмҳо, рустанӣ ва ҳайвонот -ро безарар мегардонанд.
amount-of-matter;['карбогидратҳо', 'ангиштоб', 'ангиштобҳо'];Карбогидратҳо, ангиштобҳо — гурӯҳи пайвастҳои органикӣ, ки сохт ва хосиятҳои химиявиашон ба қандҳо наздиканд.
amount-of-matter;['атсетилселлюлоза'];АТСЕТИЛСЕЛЛЮЛÓЗА — атсетати селлюлоза, эфири атсетати селлюлоза [(С6Н7O2(OСOСН3)3]n.
amount-of-matter;['радий'];Радий
amount-of-matter;['лантаноидҳо'];Лантаноидҳо - элементҳои химия.
amount-of-matter;['алдегид'];Альдегиды – пайвастагии органикие, ки дар молекулааш гурўҳи функсионалӣ – CHO дорад ва формулаи умумиаш RCHO ё CnH2nO
amount-of-matter;['протеинҳо дар реҷаи ғизо'];Протеинҳо дар реҷаи ғизо - Протеинҳо маводи мағзии аслии ҳар салули зинда ҳастанд.
amount-of-matter;['ҳолуженҳо', 'галогенҳо'];Ҳолужен,
amount-of-matter;['газҳои наҷиб', 'газҳои асил', 'газҳои инертӣ'];Газҳои наҷиб, газҳои инертӣ, газҳои нодир, газҳои асил, аргоноидҳо — унсурҳои кимиёии гурӯҳчаи асосии гурӯҳи VIII-и Ҷадвали даврии Менделеев: ҳелий He, неон Ne, аргон Ar, криптон Kr, ксенон Ke ва радон Rn.
amount-of-matter;['унсури кимиёӣ', 'унсурҳои кимёӣ', 'элементҳои кимёӣ'];Элементҳои кимёӣ - ҳоло дар ҷадвали даврии Дмитрий Иванович Менделеев такрибан 118 элемент ҷойгир буда ба 114 тои он номгузори шудааст.
amount-of-matter;['мум'];Мум — моддаҳои равғанмонанди ҳайвонот ё рустанӣ, ки асосан аз эфирҳои мураккаби кислотаҳои одии равған ва спиртҳои калонмолекула таркиб ёфтаанд.
amount-of-matter;['аминокислота', 'аминокислотаҳо'];Аминокислотаҳо — синфи пайвастҳои органикӣ, ки дар таркибашон гурӯҳи карбоксил ва аминогурӯҳ мавҷуд аст.
amount-of-matter;['кока-кола', 'coca-cola'];Кока-Кола - Кока-Кола нӯшобаи колаи газдори пуртарафдоре аст, ки дар пеш аз 200 кишвар ба фуруш мерасад.
amount-of-matter;['капучино', 'копучину', 'cappuccino'];Капучи́но
amount-of-matter;['шароб', 'бода', 'май', 'хамр'];Бода, май, шароб
amount-of-matter;['напалм', 'napalm'];Напалм
amount-of-matter;['коняк'];Коняк, Konyak, Kanyak, нушокии зури спирти.
amount-of-matter;['ботлоқ', 'бутлокзор'];Калонтарин бутлокзор дар минтакаи Сибири гарби ҷойгир буда 78 млн га за заминро ишгол мекунад.
amount-of-matter;['шир'];Шир - ин моеи хӯрокӣ мебошад, ки дар пистони ширхурон тавлид мешавад.
amount-of-matter;['алкалоидҳо'];Алкалоидҳо — навъе аз пайвастҳои органикии нитрогендори наботӣ, ки хосияти асосӣ дошта, таъсири физиологӣ мерасонанд.
amount-of-matter;['равған'];Равған моеест равон ва ё ғафс, дар об ҳал нашаванда, ки аз ҳайвонот ва наботот ҳосил мешаввад.
amount-of-matter;['ликёр'];Ликёр
amount-of-matter;['модда'];Модда
amount-of-matter;['атмосфера', 'atmosferă'];АТМОСФЀРА
amount-of-matter;['ангудон', 'ров', 'ferula assa-foetida', 'анҷудон'];Ангнудон, анҷудон, анғӯза, гандабӯ, каврак
amount-of-matter;['итонул'];Итонул ё Итил Алкул як таркиби шимиёйи аташгир ва би бӯ аст ки дар нӯшиданиҳойи алкули ёфт мешавад.
amount-of-matter;['гелиосфера'];Гелиосфера — фазои атрофи Офтоб ки дар он боди офтобӣ нисбат ба фазои байниситоравӣ бартарӣ дорад.
biological-object;['диафрагма'];Диафрагма, дар биология девораи пайю мушаки байни қафаси сина ва шиками ҳайвонҳои ширхӯр ва одам.
biological-object;['банд', 'мафсил'];Банд, мафсил
biological-object;['навда', 'шох', 'шоха'];Навда — яке аз узвҳои асосии рустаниҳои дараҷаи олист, ки аз поя, барг ва муғча иборат аст.
biological-object;['клитор'];Клитор — як олати ҷенси ҳаст ки дар ҳейвоноти пестондори моди воҷуд дорад.
biological-object;['ангушт'];Ангушт, қисми интиҳоии дасту пои одам ва ҳайвонот, ки аз ҷиҳати сохт ва таҳаввулаш онро ба боли баъзе моҳиҳо шабоҳат медиҳанд.
biological-object;['аъзо', 'андом', 'узв'];Аъзо
biological-object;['бачадон', 'заҳдон', 'раҳим'];Бачадон, заҳдон, раҳим,
biological-object;['мағзча', 'магзча'];Мағзча - ё майнача, як қисми мағзи сари ҳайвонҳои мӯҳрадор ва одам.
biological-object;['кома', 'гамета'];Кома, гамета
biological-object;['забон'];Забон - андоме аз бадан аст ки дарӯни даҳон аст ва бо он метавон суxан гуфт ва ҳамчунин мазаи ғазо ро чашид.
biological-object;['пӯст', 'чарм'];Пӯст — он чи рӯйи бадани одам ва ҳайвонотро пӯшондааст
biological-object;['шикампарда'];Шикампарда, пардае, ки ҷавфи шикам ва дохили онро мепӯшонад.
biological-object;['чарм'];Чарм — пӯсти даббоғӣ шудаи ҳайвонот, ки барои дӯхтани пойафзору либосу кулоҳ ва ғайра истифода мекунанд
biological-object;['гангли', 'гонгилюн'];Гонгилюн
biological-object;['бластомерҳо'];Бластомерҳо
biological-object;['апоневроз'];Апоневроз — лавҳаи паҳни бофтаҳои пайвандӣ, ки аз нахҳои устувори коллагенӣ ва чандир таркиб ёфтааст.
biological-object;['ҷалидия'];Ҷалидия, булӯраки чашм, ҷисми дутарафа барҷастаи шаффофест, ки дар паси гавҳараки чашм ҷойгир шудааст.
biological-object;['лейкосит'];Лейкоситхо - ҳуҷайраҳои беранги хун, ки дар организм вазифаи санитари ё безароргардониро ичро мекунанд
biological-object;['кишмиш', 'мавиз'];Кишмиш гурухи навҳои ангури майда ва бедона.
biological-object;['шуш'];Шуш — узви нафаскашӣ. дар сандуқи сина ҷойгир аст.
biological-object;['пистон', 'сина'];Пистон ё Сина — узви берунаи занона, ки тариқи он инсон шир мехӯрад.
biological-object;['анус', 'мақъад'];Анус - сурохии макад.
biological-object;['фарҷ', 'вулва'];Вулва,
biological-object;['себ'];Себ ، дарахтест,ки он мева медиҳад.
biological-object;['дандон'];Дарди дандон дораму дандон ба дандон мезанам, Тоқати анбур надорам, сар ба сандон мезанам.Вақте лабҳо ба табассум боз мешаванд, дандонҳои ҷилодору булӯрине, ки дар моварои он ду лаъл маскан гузидаанд, зебоии сурат ва латофати ҳуснро фузунӣ мебахшанд.
biological-object;['зону'];Зону — банде, ки устухони сонро бо устухони соқ мепайвандад
biological-object;['нохун'];Нохун ии қисми бадан буда дар ангуштон месабзад.
biological-object;['ҷигар'];ҷигар - кбд, кабид, узви ҳайвону одамро гӯянд.
biological-object;['кер'];Ин мақола оиди калимаи «кер».
biological-object;['муҳра', 'мӯҳра'];Муҳра, устухонҳое, ки дар якҷоягӣ сутунмуҳраро ба вуҷуд меоваранд.
biological-object;['рибосомаҳо', 'рибосомахо'];Рибосомаҳо - шаклан нимдоираи андозаашон 15,0-35,0 нм буда, аз ду ҳисса иборатанд.
biological-object;['узвҳои таносул', 'аъзои таносул'];Узвҳои таносул, аъзои ҷинсӣ — узвҳои афзоиши организмҳои бисёрҳуҷайраи зинда, ки вазифаи афзоиши ҷинсии онҳоро иҷро мекунад.
biological-object;['гул', 'гулҳо'];Гул, шукуфа аъзои афзоиши ҷинсии пушидатухмҳо ё рустаниҳои гулдор. навдаи кӯтоҳшудаест, ки дар он магаспрофиллаҳои модина ба мевабаргхо ва микропрофиллаҳои нарина ба гардбаргҳо табдил ёфтаанд.
biological-object;['ғалсама'];Ғалсама - узви нафаскашии ҳайвоноти оби, ки оксигени дар об халшударо нафас мегиранд
biological-object;['устухон'];Устухон — моддаи сахт дар бадани инсону ҳайвон, ки устувории андом ва ҷузъҳои онро таъмин мекунад
biological-object;['мағзи сар'];Мағз сар
biological-object;['панҷа', 'даст'];Даст қисми бадани одам, ки чун меҳнат хизмат мекунад.
biological-object;['панҷа', 'даст'];Панҷа — қисми интиҳои дасту пойи одам.
biological-object;['гардгирак'];Гардгирак
biological-object;['ҳуҷайра', 'клетка'];Ҳуҷайра — воҳиди хурдтарини сохт, вазифа ва пайдоиши организмҳои зинда мебошад.
biological-object;['кӯррӯда', 'курруда'];Кӯррӯда рӯдаест, ки ба халтачаи дарозиаш 3-8 см монанд буда, дар қисми рост поёнтар аз даромадгоҳи рӯдаи борик ба рӯдаи ғавс ҷой гирифтааст.
biological-object;['зигота'];Зигота аз калимаи юнони буда маънояш якшави ё пайвастшави мебошад, хучайрае, ки ҳангоми афзоиши чинсии растанихо ва ҳайвонот дар натичаи бордоршави яъне якшавии ду хучайраи чинсҳои мухталиф хосил мегардад.
biological-object;['пой'];Пой - ин узви инсон буда барои роҳ гаштан хизмат мерасонад.
biological-object;['рӯй', 'руй', 'рух', 'рухсор', 'сурат', 'чеҳра'];‌‍ Рӯй, чеҳра, рухсор сурат ва ё рух, қисми пеши сарӯй Ҳудуди болоии рӯй аз канори мӯйи сар, ҳудуди поёнӣ аз канори ҷоғи поён, ҳудудҳои чапу рост аз гӯшаҳои чапу рости ҷоғи поён ва бехи суфраҳои гӯш мегузарад.
biological-object;['дил'];Дил — узви марказии гардиши хуни одам ва ҳайвон, ки харакати хунро дар рагҳо таъмин менамояд.
biological-object;['аорта'];Аорта - шохраг раги калонтарин ва кутохтарин ба хисоб меравад.
biological-object;['барг'];Барг — яке аз узвҳои рустаниҳои дараҷаи олӣ.
biological-object;['сперматазоид'];Сперматазоид - нутфа ҳуҷайраи ҷинсии нарина, ки хеле эхсос аст ва кобили ҳаракат буда боиси бордоршави мегардад.
biological-object;['антеридий'];Антери́дий
biological-object;['чашм'];Чашм яке аз узвҳои бадани инсон ва ҳайвон, ки дар сар қарор гирифтааст ва барои дидани чизҳо хизмат мекунад, узви биниш, дида.
biological-object;['бинӣ', 'димоғ', 'бини'];Бинӣ, димоғ - узви шомма, ҳиссаи аввали роҳи болои нафас.
biological-object;['узвҳои пешоб', 'системаи шошаю таносул'];Узвҳои пешоб — силсилаи узвҳое, ки дар кори ҳосил ва аз организм хориҷ кардани шоша иштирок мекунанд.
biological-object;['гардан'];Гардан — он қисми бадан, ки сарро бо тан мепайвандад.
biological-object;['дум'];Дум — як қисми тани ҳайвон мебошад.
biological-object;['аъзои рудиментӣ'];АЪЗÓИ РУДИМЕНТӢ, рудиментҳо, узвҳое, ки дар раванди инкишофи таърихии организм аҳаммияти асосии худро гум кардаанд.
biological-object;['узвҳои таносули занона'];Ба узвҳои таносули занон тухмдонҳо, найчаҳои бачадон, маҳбал мансубанд.
biological-object;['узвҳои таносули мардона'];Узвҳои таносули мардона ва занона вобаста ба ҷойгирӣ берунӣ ва дарунӣ мешаванд. вазифаи онҳо идомаи насл аст.
biological-object;['мева', 'мевахо'];Мева - ин ҳосили дарахт ва ё буттаест, ки дар як сол як ё ду бор мешавад.
biological-object;['гӯш'];Гӯш — узви мураккаби ҳайвонот ва инсон барои ҳис кардани лаппишҳои садоӣ.
biological-object;['сутунмӯҳра', 'сутунмуҳра'];Сутунмуҳра - бахши аслии устухонбандии инсон дар нимтанаи болоӣ аст.
biological-object;['реша'];Реша — решаи дарахтон сабзида истода ба кабатҳои чуқури хок шоха ронда, ғафс мешавад ва танаи хеле вазнину боҳашамати шохҳои сербаргро мустаҳкам нигоҳ медорад.
causal-role;['роҳи ҳал'];</noinclude> {{#if:форсӣ| {{#аif: | }}
causal-role;['ҳепорин', 'гепарин'];Ҳепорин
causal-role;['фенол'];Фено́л C6H5OH — намояндаи содатарин синфи фенолҳо.
causal-role;['гандзудоӣ', 'дезинфексия'];Гандзудоӣ — амалест, ки бо мақсади пешгирии бемориҳои гузаранда ва маҳв кардани ангезандаи онҳо сурат мегирад.
chemical-object;['ҳемоглобин', 'гемоглобин'];Гемоглобин - сафедаи хун, ки дар хуҷайраҳои сурхи хун эритроситхо ҷойгир шудааст ва сурхии хун аз он вобаста аст.
chemical-object;['гамма-глобулин'];Гамма-глобулин — унсури сафедаи зардоби хун.
chemical-object;['антитоксинҳо'];Антитоксинҳо — як навъ сафедаҳои махсус, ки заҳри микроорганизмҳо, рустанӣ ва ҳайвонот -ро безарар мегардонанд.
chemical-object;['ион'];Ион
chemical-object;['протеинҳо дар реҷаи ғизо'];Протеинҳо дар реҷаи ғизо - Протеинҳо маводи мағзии аслии ҳар салули зинда ҳастанд.
classification-system;['html', 'hypertext markup language'];HTML – забони нишонагузорӣ, ки барои сохтани Веб-саҳифаҳо истифода шуда, метавонанд дар браузер инъикос гарданд.
classification-system;['сомонаи парванда', 'системаи файлӣ', 'системи парванда', 'системи файл'];Сомонаи парванда, системи файлбандӣ, системи файл
classification-system;['тақвим', 'гоҳшуморӣ'];Тақвим — Системаи ташкили рӯзҳо барои мақсадҳои иҷтимои, динӣ, тиҷоратӣ ё маъмурӣ.
classification-system;['фазо-замон', 'фазо ва вақт', 'фазозамон'];Фазо-замон
classification-system;['гоҳшумори ҳиҷри қамарӣ', 'гоҳшумории ҳиҷрӣ', 'гоҳшумори исломӣ', 'тақвими исломӣ', 'тақвими ҳиҷри қамарӣ', 'ҳиҷри қамарӣ'];Гоҳшумори Ҳиҷри қамарӣ, Тақвими Ҳиҷри қамарӣ ё, ки Тақвими қамарӣ ва Исломӣ аст, ки дар кишварҳои мусулмон қарор дорад.
classification-system;['гоҳшумори мелодӣ', 'солшумории мелодӣ', 'солшумории грегорианӣ', 'солшумории григорианӣ', 'тақвими григорӣ', 'тақвими мелодӣ'];Тақвими Григорий — солшумори бо решаи масеҳӣ аст, ки ҳамакнун дар бештар кишварҳои ҷаҳон истифода мешавад.
cognitive-event;['иёлат'];Иёлот олмонӣ: Staat русӣ: Штат- воҳиди маъмурӣ - ҳудудии ИМА, Мексика, Бразилия, Ҳиндустон ва як қатор мамолики дигар.
cognitive-event;['хулқ'];Хулқ ё ҳолат як вазъияти ҳаяҷонӣ аст, ки аз ҳаяҷон мутафовит аст, камтар марбут ба мавриди хоссе аст, шиддати он камтар аст ва камтар эҳтимол дорад, ки ба далели муҳаррики берунӣ ба вуҷуд омада бошад.
cognitive-event;['иштиҳо'];Иштиҳо — майлу хоҳиш ба истеъмоли хӯрок.
cognitive-event;['ҳасадат'];Ҳасадат ва ё бахилӣ - умуман ишора дорад ба навъи тарзи фикр, ё навъи эҳсос ва ё навъи рафтор ки дар замоне иттифоқ меафтад, ки шахсе тасвир мекунад тавассути шахси дигаре мавриди ҳамла қарор гирифтааст.
cognitive-event;['ғурур'];Ғурур
cognitive-event;['империализм'];Империализм
cognitive-event;['инзивоталабӣ', 'изолятсионизм'];Инзивоталабӣ, изолятсионизм
cognitive-event;['филия'];Филия
cognitive-event;['баҳогузорӣ'];БАҲОГУЗОРӢ дар педагогика, натиҷаи назорати фаъолияти таълимӣ ва баҳодиҳӣ ба дониш, маҳорат, малака ва рафтори хонандагон.
cognitive-event;['ҳаяҷон'];Ҳаяҷон дар равоншиносӣ ҳаяҷонҳо маъмулан ба эҳсосҳо ва вокунишҳое атфӣ ишора доранд
