abstract-region;['बहुपदी'];बहुपदी
spatial-feature;['एव्हरेस्ट', 'एवरेस्ट', 'माउंट एव्हरेस्ट', 'सगरमाथा', 'सागरमाथा'];समुद्रसपाटीपासून 8,848 मीटर (29,029 फूट) उंच असलेल्या पृथ्वीच्या उंच डोंगरावर, नेपाळ आणि चीनच्या दरम्यान हिमालय पर्वतराजीचा भाग
subject;['खगोलशास्त्र', 'अवकाशविज्ञान', 'खगोल शास्त्र'];खगोलीय वस्तू आणि घटनांचा वैज्ञानिक अभ्यास
subject;['पक्षीशास्त्र', 'पक्षिशास्त्र'];पक्षांबद्दलचा अभ्यास आणि निरीक्षण
subject;['धातूशास्त्र', 'धातुशास्त्र', 'धातुविज्ञान'];पदार्थविज्ञानाची ती शाखा जी धातूंच्या भौतिक व रासायनिक गुणधर्मांचा अभ्यास करते.
subject;['मानसशास्त्र'];मानसशास्त्र चाचण्याचे उपयोग
subject;['समाजशास्त्र'];मानवी समाज आणि त्याची उत्पत्ती, विकास, संस्था आणि संस्था यांचा वैज्ञानिक अभ्यास
subject;['राज्यशास्त्र'];भारतीय संविधान
taxonomic-collective;['टॅक्सॉन'];एक किंवा अधिक जीवांचा समूह, जो वर्गीकरणज्ञ एक घटक असल्याचे मानले
taxonomic-collective;['charales'];विकिपीडिया वर्ग
temporal-region;['१ जुलै', 'जुल १', 'जुलै १'];दिनांक
temporal-region;['जानेवारी १', 'जानेवारी ०१', '१ जानेवारी'];दिनांक
temporal-region;['फेब्रुवारी २', '२ फेब्रुवारी'];दिनांक
temporal-region;['नोव्हेंबर १', 'ऑल सेंट्स डे', '१ नोव्हेंबर'];दिनांक
temporal-region;['डिसेंबर २५', 'नाताळ', 'ख्रिसमस', 'युलेटाइड', '२५ डिसेंबर'];येशू ख्रिस्ताचा जन्मदिवस म्हणून साजरा होणारा सण
temporal-region;['डिसेंबर २५', 'नाताळ', 'ख्रिसमस', 'युलेटाइड', '२५ डिसेंबर'];दिनांक
temporal-region;['मार्च १९', '१९ मार्च'];दिनांक
temporal-region;['एप्रिल १४', '१४ एप्रिल'];दिनांक
temporal-region;['ऑक्टोबर २४', '२४ ऑक्टोबर'];दिनांक
temporal-region;['धार्मिक महोत्सव'];त्या धर्मातील अनुयायांनी विशेष महत्त्वपूर्ण वेळ
temporal-region;['ऑक्टोबर १२', '१२ ऑक्टोबर'];दिनांक
temporal-region;['जुलै ४', '४ जुलै'];दिनांक
temporal-region;['दशक', 'दशके'];10 वर्षांचा काळ
temporal-region;['सार्वजनिक सुट्टी'];सामान्यतः कायद्याने स्थापन केलेला सण आणि बहुतेक लोकांसाठी वर्षभरात एक गैर-दिवस असतो
temporal-region;['मे २४', '२४ मे'];दिनांक
temporal-region;['सप्टेंबर १७', '१७ सप्टेंबर'];दिनांक
temporal-region;['मारियाचे स्वर्गारोहण', 'मारियेचे असम्पशन', 'मारियेचे स्वर्गारोहण'];मेरीचे सदेह स्वर्गात जाणे
temporal-region;['ऑगस्ट १', '१ ऑगस्ट'];दिनांक
temporal-region;['जून १४', '१४ जून'];दिनांक
temporal-region;['जून २९', '२९ जून'];दिनांक
temporal-region;['सप्टेंबर २९', '२९ सप्टेंबर'];दिनांक
temporal-region;['जून २१', 'जुन २१', '२१ जून'];दिनांक
temporal-region;['१ मे', 'मे १'];दिनांक
temporal-region;['पावसाळा'];माझा प्रिय ऋतू
temporal-region;['मार्च २', '२ मार्च'];दिनांक
temporal-region;['फेब्रुवारी २९', '२९ फेब्रुवारी'];दिनांक
temporal-region;['जून २३', '२३ जून'];दिनांक
temporal-region;['सोमवार'];सोमवार हा आठवड्यातील एक वार आहे. व तसेच महादेवाचा वार सोमवार आहे.
temporal-region;['जानेवारी ६', 'एपिफनी', '६ जानेवारी'];सुनिल खामकर
temporal-region;['जानेवारी ६', 'एपिफनी', '६ जानेवारी'];दिनांक
text;['तेरीज पत्रक', 'तेरीज', 'ट्रायल बॅलंस'];खातेवाहीतील सर्व खात्यांच्या शिल्लक रकमेची यादी
