abstract-region;['операнд', 'operand'];Операнд — ик вашталтылше але тутыш, тудын шотышто оператор ыштыкым шукта.
geographical-object;['янцзы'];Янцзы, Китайыште Чанцзян гай палыме — Азийыште эн кужу, тӱняште кумшо кужутан эҥер.
geographical-object;['кечывалвел тептеҥыз'];Кечывалвел тептеҥыз — Тӱнямбал тептеҥызын эн кечывалвел вӱдла, 60° кечывалвел лопкыт деч кечывалвелне верланыше да Антарктидым авалтыше.
geographical-object;['ниагаре вӱдшуҥгалтыш'];Кышкар:Географик аҥа/МножественныйКышкар:Географик аҥа/ЕдиничныйКышкар:Географик аҥа/ЕдиничныйКышкар:Географик аҥа/ЕдиничныйКышкар:Географик аҥа/ЕдиничныйКышкар:Географик аҥа/Единичный К:Википедий:Ссылка на Викисклад непосредственно в статье Ниагаре вӱдшуҥгалтыш — вӱдшуҥгалтыш тӱшка Ниагаре эҥерыште.
geographical-object;['нил'];Нил эҥер (арабла النيل an-nīl, англичанла Nile, Кышкар:Lang-egy, коптла Кышкар:Coptic (p(h)iaro) — эн кугу эҥер Африкыште.
gestalt;['квадрат'];Квадра́т — виклук, кудын кажне велже иктӧр.
gestalt;['трапеций'];Трапе́ций — ныллук, кудыжын кок ваштарешла кийыше велже иккоклан улыт, кокытшо - уке.
gestalt;['шукылук'];Шукылук - пÿчкыш-влак гыч шогышо геометрий фигур: тидын годым йыгыре улшо пÿчкыш-влак ик вияшыште огыт кий, а йыгыре огыл улшо пÿчкыш-влак икте-весышт гоч огыт эрте.
gestalt;['ромб'];Ромб — чыла велже тӧр улшо параллелограмм.
gestalt;['виклук'];Виклук - параллелограмм, тушто кажне лукшо вияш улеш.
gestalt;['параллелограмм'];Параллелогра́мм — ныллук, тудын ваштарешла велже-влак икте-весыштлан мужырын параллельлын улыт.
gestalt;['вияшлукан кумлук'];Вияшлукан кумлук — кумлук, кудыжын ик лукшо вияш.
gestalt;['гипотенузо'];Гипотенуза — вияш луклан ваштареш кийыше вияшлукан кумлукын велже.
information-encoding-system;['мурпаша', 'поэзий'];Мурпаша — почеламут дене возымо сылнымут паша.
information-object;['файл'];Файл — компьютершарнышыште ик тичмаш семын кужу жап аралалтше лӱман информаций.
information-object;['кылдамга'];Кылдамга — пайдаланышылан объектыш шуаш йӧнештарыше изи сӱрет сынан интерфейсэлемент.
information-object;['алмашлӱм', 'псевдоним'];Алмашлӱм, тыгак шоялӱм, шояк лӱм — палыме айдемын чын лӱм олмеш кучылтмо лӱмжӧ.
information-object;['олмештышмут', 'олмештыш мут'];Олмештышмут — ойлончышто лӱммут, палымут але чотмут олмеш кучылталтше ойлымаш ужаш.
information-object;['ә'];Ә, ә — кириллик тиште.
information-object;['шрифт'];Шрифт — ик кугытан, стилян але атрибутан тиште тӱшка.
information-object;['тӱҥалтыш код', 'тӱҥалтышкод'];Тӱҥалтыш код — кугу кӱкшытан йылме дене ыштыме, лудын кертме программлыме код.
information-object;['h'];H, h — латин тиште.
information-object;['z'];Z, z — латин тиште.
information-object;['тукымлӱм'];Тукымлӱм, тыгак ешлӱм — тукым гыч тукымыш куснышо еш лӱм, айдемын ачаж але аваж деч куснышо да лӱмжӧ пелен ешарен каласыме мут.
information-object;['омоним'];Омоним - икгай возалтше да йоҥгалтше, но тӱрлӧ значениян мут.
information-realization;['оператор'];Лектышым налашлан вашталтылше-влак шотышто пашам ыштыше тӱҥ але шапашлыме тиште.
information-realization;['утилите'];Утилите — компьютервирус дене кучедалмше, шарнышым виктарыше, файл-влакым архивлыше да моло тыглай сомылым шуктышо полыш программе.
information-realization;['компиляций'];Компиляций
information-realization;['драйвер'];Драйвер (англичанла driver, мн. ч.
information-realization;['программе'];Программе — рашемдыме лектышыш шуашлан кучылталтше почела кайыше машин команде-влак.
information-realization;['ascii', 'аски', 'эски'];ASCII – информацийым ваш-ваш вашталтыме шотышто америкысе стандартле код.
information-realization;['операционло системе', 'os', 'ос'];Операционло системе (англичанла operating system, OS, рушла операцио́нная систе́ма, сокр.
information-realization;['программе вораҥдыш', 'software', 'пв'];Программе вораҥдыш — кужу жап аралалтше компьютершарнышын чыла явалаштыже улшо программе тӱшкалык.
information-realization;['юмоҥа'];Юмоҥа (таҥ.
information-realization;['книга', 'кнага'];Книга — тӱрлӧ печатлыме продукций-влак гыч иктыже: палемдыме жапыште печать гоч лектын шогышо огыл типографский але кид дене серыме текстан але сӱретан информацийым пуртымо да нылле кандаш лаштык деч утла кугытан лийын шогышо брошюроватлыме кагаз лаштык але тетрадь-влак гыч лийын шогышо шукыж годым пеҥгыде коман изданий.
information-realization;['шочмо нерген таныккагаз', 'шочмо нерген свидетельстве'];Шочмо нерген таныккагаз - йоча шочмым регистрацийыш пуртымо нерген пеҥгыдемыше кагаз.
information-realization;['опер', 'operă', 'музыкальная драма', 'опера', 'опере', 'сем драма'];Опер — театрыште ончыкташлан возымо музыкально-драматический произведений. театрысе тыгай представлений.
information-realization;['диаграмме'];Диагра́мме рушла диаграмма — изображение, рисунок, чертёж
information-realization;['чынвозыш', 'орфографий'];Чынвозыш -- йылмышанчын ужашыже.
information-realization;['кантата'];Кантата (итальянла cantata, лат.
information-realization;['позиционло чотрадам системе'];Позиционло чотрадам системе — чотрадам системе, кушто ик цифрак тӱрлӧ чот ыҥым налын кертеш. тыгодым цифрым возымаште цифрын чот ыҥже айлыме вер деч шога.
information-realization;['мӱзикыл'];Мӱзикыл – сценыште шындыме музык произведений.
information-realization;['компьютер программе', 'application software', 'компьютер пеленлык'];Компьютер программе — пайдаланыше дене вашкылым кучаш да палемдыме сомылым шукташ ямдылыме программе.
information-realization;['браузер', 'ончыктышо'];Браузер — компьютер дене пайдаланышылан вотресурсым ончаш, файл-влакым налын опташ да т.м.
information-realization;['логик диск', 'логикдиск'];Логик диск — таҥга дискыште С, В, Е да т.м.
information-realization;['энциклопедий'];Энциклопедий — айдемылан палыме шинчымашым радам дене погымаш.
information-realization;['ю'];Юн ончыктымашыже пеш кумда.
information-realization;['электрон таблице', 'электронтаблице'];Электрон таблице — компьютерыште ыҥпале-влакым таблице калыпыште пашалаш кучылталтше программе.
information-realization;['машин код', 'машин йылме'];Машин код — процессорын вик шуктымо йылмыже.
information-realization;['игыпрограмме', 'функций', 'игыпроцедур', 'процедур'];Игыпрограмме — программын тӱрлӧ йыжыҥла гыч шуко гана тудын деке шуаш лийше, шкевуя ыҥан ужашыже.
information-realization;['муро'];Муро — марий калык ойпогынэн поян да кумдан шарлыше жанрже.
information-realization;['макрос'];Макрос — посна программе, макрорегистраторын уникал лӱм дене палемдыме команде да/але полдыш темдыштме почелалык.
information-realization;['чапмуро', 'гимн'];Чапмуро — кугыжанышын, республикын, кундемын але посна классын символ шотеш ойырен налме торжественный муро.
information-realization;['графике интерфейс'];Графике интерфейс — пайдаланышылан интерфейсэлемент-влакым график ойып семын мониторышто ончыктышо шкешотан интерфейс.
information-realization;['ю'];Юн ончыктымашыже пеш кумда.
information-realization;['оҥартышмут', 'оҥартыш мут'];Оҥартышмут — ужмым, колмым да шижмым оҥарен ончыктышо ойлымаш ужаш.
information-realization;['сылнысӱрет'];Сылнысӱрет
information-realization;['чынвозышым тергыше системе', 'спелл-чекер', 'спеллер', 'чын возымым тергыше программе', 'чын возымым тергыше системе'];Чынвозышым тергыше системе — тиде компьютер программе.
information-realization;['модернизм'];Модернизм
information-realization;['цифр кодлымаш', 'кокытан кодлымаш'];Цифр кодлымаш — информацийым бит-влакын почелалыкышт гоч ончыктымаш.
information-realization;['гипертекст'];Гипертекст — тамгалымаш йылме дене чумырымо/калыплыме гиперушыкан/гиперкылверан текст.
information-realization;['коран'];Коран — мусульман-влакын шнуй кнагаже.
information-realization;['документ'];Документ — компьютер программыште ямдылыме текст, ойып, сӱрет, презентаций, чертёж да т.м.
intentional-collective;['мер'];Мер — общине, обществе, айдеме-влакым ушышо формо.
language;['программлымаш йылме', 'программлымашйылме'];Компьютер ден айдеме коклаште кылым ышташлан лӱмын ыштыме тиштысистеме. ыҥпале-влакым да нуным шотлышо машиныште пашалыме алгоритм-влакым возен ончыкташлан кучылталтеш.
language;['блок-схеме'];Блок-схеме — алгоритм але процесс-влакым ончыктышо схеме-шамычын кумдан шарлыше типышт, тушто паша ошкыл-влак умдо дене ушымо тӱрлӧ калыпан блок дене ончыкталтыт.
language;['идиш йылме'];Идиш йылме — индоевропысо йылме.
language;['финн-угор йылме-влак'];Финн-угор йылме-влак — урал йылме ешыште йылме тӱшка, финн-юлысо да угор тӱшкемыш шеледалтеш.
language;['алтай йылме-влак'];Алта́й йылме-влак — Азийыште да Эрвел Европышто шарлыше йылме еш.
language;['почеламут'];Почеламут — ритмике дене келшышын возымо поэт произведений.
language;['кугу кӱкшытан программлымаш йылме'];Кугу кӱкшытан программлымаш йылме — айдемылан йӧнанрак лудашыже да кучылташыже алгоритмым возен ончыкташ ыштыме программлымаш йылме.
language;['грузин йылме'];Грузин йылме — картвел йылме тӱшкасе йылме, Грузийын официал йылмыже, Кавказыште икмыняр калыкын литератур йылмылан шотлалтеш.
language;['фарер йылме'];Фарер йылме — индоевропысо йылме.
language;['норвег йылме'];Норвег йылме — индоевропысо йылме.
language;['датчан йылме', 'da', 'dan'];Датчан йылме — индоевропысо йылме.
language;['исланд йылме'];Исланд йылме — индоевропысо йылме.
language;['швед йылме'];Швед йылме — индоевропысо йылме.
language;['болгар йылме'];Болгар йылме — индоевропысо йылме.
language;['ойлончо'];Ойло‘нчо -- рашлык, йылмылончыш да ойсем шотышто тичмаш мут ушем, айдеме ойлымышыжын иктыкше.
language;['тюрк йылме-влак', 'тӱрк йылме-влак'];Тюрк йылме-влак — Алтай йылме-влак радам гыч йылме тӱшка.
language;['йылме'];Йылме — информацийым аралаш да вончештарылаш кучылталтше тиштысистеме.
language;['туреч йылме', 'турко йылме'];Турко йылме — тюрк йылме.
language;['румын йылме'];Румын йылме — индоевропысо йылме.
language;['муткылдыш'];Муткы‘лдыш -- йылмылончыш да шонымаш почеш кылдалтше кок але икмыняр мут гыч ушем.
language;['англичан йылме', 'аҥгличан йылме', 'аҥглычан йылме'];Англичан йылме — индоевропысо йылме.
language;['таджик йылме'];Таджик йылме ---
language;['латин йылме'];Латин йылме — пытыше индоевропысо йылме.
language;['корей йылме'];Корей йылме - кугужаныш йылме Йӱдвел да Кечывалвел Корейыште.
language;['индонезийысе йылме', 'индонезийский язык'];Индонезийысе йылме (индон.
language;['индоевропысо йылме-влак'];Индоевро́пысо йылме-влак -- тÿняште эн шарлыме йылме еш.
language;['коми йылме'];Ко́ми йы́лме — чыла коми калыкын иктешле лӱмжӧ.
language;['акрет грек йылме'];Акре́т грек йылме — индоевропысо ешын йылмыже, грек йылмын кугезыже, грек ойкуменын мландыштыже мемнан курым деч ончыч 2 тӱжемше ий гыч тӱҥалын, мемнан курымын V курым марте шарлен да кучылталтын.
language;['грек йылме'];Грек йылме — шкевуя индойывропысо йылме-влакын укш.
language;['фарси йылме', 'перс йылме'];Фарси́ йылме, тыгак перс йылме — иран йылме тӱшкан эн кугу йылмыже.
language;['окситан йылме'];Окситан йылме — индоевропысо йылме.
language;['эстон йылме'];Эстон йылме — урал йылме.
language;['финн йылме', 'финляндий'];Финн йылме — урал йылме.
language;['венгр йылме', 'веҥгр йылме'];Венгр йылме — финн-угор йылме.
language;['латыш йылме'];Латыш йылме — индоевропысо йылме.
language;['испан йылме'];Испан йылме — индоевропысо йылме.
language;['поляк йылме', 'полӓк йылме'];Поляк йылме — индоевропысо йылме.
language;['чех йылме'];Чех йылме — индоевропысо йылме.
language;['белорус йылме'];Белорус йылме — индоевропысо йылме.
language;['словак йылме'];Словак йылме — индоевропысо йылме.
language;['украин йылме'];Украин йылме — индоевропысо йылме.
language;['руш йылме'];Руш йылме — индоевропысо йылме.
language;['немыч йылме'];Немыч йылме — индоевропысо йылме.
language;['нидерланд йылме'];Нидерланд йылме — индоевропысо йылме.
locative-role;['флоренций'];Флоренций (итальянла Firenze, лат.
locative-role;['каунас', 'kaunas'];Каунас — ола Литваште.
locative-role;['дели', 'délhi'];Дели — кок эн кугу ола Индийыште, ушем кумдык.
locative-role;['шэньян', 'мукден', 'шеньян'];Шэньян — ола Китайыште, Ляонин провинцийын рӱдолаже.
locative-role;['салоники'];Салоники але Фессалоники — кок кугу ола Грецийыште.
locative-role;['харьков'];Харьков - ола Украиныште.
locative-role;['халеб', 'алеппо'];Халеб (арабла حَلَبُ Халеб, армянла Հալեպ Халеб, грекла Αλέππο, Βέροια, лат.
locative-role;['севастополь'];Севастополь - ола Украиныште, Крым пелотрошто.
locative-role;['хошимин', 'хо ши мин ола'];Хошимин — Вьетнам ола.
locative-role;['марсель'];Марсель - ола Францийыште, кок эн кугу ола Францийыште.
locative-role;['пусан', 'busán'];Пусан (кор.
locative-role;['лос-анджелес'];Лос-Анджелес — эн кугу ола Калифорнийыште.
locative-role;['женева', 'женеве'];Женеве (французла Genève, немычла Genf, лат.
locative-role;['омск', 'omsk'];Омск — ола Российыште, Омск велын кучем рӱдыжӧ.
locative-role;['пермь', 'perm', 'молотов'];Пермь — ола Российыште, Пермь мландын рӱдыжӧ.
locative-role;['волгоград', 'сарытын', 'сталинград', 'царицын'];Волгоград — ола, тошто руш лӱм - Царицын.
locative-role;['санкт-петербург', 'ленинград', 'петроград'];Санкт-Петербург — ола, Российысе Федерал кӱлешан ола.
locative-role;['вероно', 'verona'];Вероно — ола Италийыште.
locative-role;['гданьск', 'данциг'];Гданьск — ола Польшышто.
locative-role;['орлеан', 'orlèans'];Орлеан — ола Францийыште, Орлеане эртык велын рӱдыжӧ.
locative-role;['кёльн', 'кӧльн'];Кёльн (немычла Köln. акрет лӱм лат.
locative-role;['монако онлык', 'монако'];Мона́ко О‘нлык але Мона́ко — Европо кечывалвелне Мландепокшел теҥыз серыште верланыше карлик кугыжаныш.
locative-role;['олык'];Олык — шке семын шочшо да ӱдымӧ шукияш шудо дене айлалтше мланде кумдык.
locative-role;['скандинавий'];Скандинавий — Йӱдвел Европо тӱвыра, эртык да этно-йылмын кундем.
locative-role;['сербий'];Сербий — Европысо эл.
locative-role;['тяньцзинь'];Тяньцзинь — ола Китайыште.
locative-role;['кумдык'];Кумдык — тӧрӱмбалын мынярлыкым ончыктышо койыш.
locative-role;['гавань'];Гавань — карап-влаклан шогалаш йӧнештарыме вер.
locative-role;['литва'];Литва — Европыcо эл.
locative-role;['ялта', 'jalta', 'ялте'];Ялте — ола Украиныште, Крым Автоном Республикыште.
locative-role;['владивосток', 'vladivostok'];Владивосток — ола Российыште, Теҥызсер мландын рӱдыжӧ.
locative-role;['ростов-на-дону', 'дон ӱмбалне ростов'];Ростов-на-Дону — ола Российыште, Ростов велын кучем рӱдыжӧ, Кечывалвел федерал йырвелын рӱдыжӧ.
locative-role;['ял'];Ял — эн изи илымвер.
locative-role;['шӱгарла'];Шӱгарла — колышо айдеме-влакым тойымо вер.
locative-role;['сивыр', 'сибирь'];Сивыр — кугу географик кундем йӱдвел-эрвел Евразийыште.
locative-role;['сарагосо', 'zaragoza'];Сарагосо - ола Испанийыште.
locative-role;['краков'];Краков (полякла Kraków, полное официал лӱм — Краков рӱдоласе королев ола (полякла Stołeczne Królewskie Miasto Kraków, лат.
locative-role;['донецк'];Донецк — ола Украиныште, Донецк велын рӱдолаже.
locative-role;['угарман', 'горький', 'нижний новгород'];Угарман — ола Российыште, Угарман велын рӱдыжӧ, Юлсер федерал йырвелын рӱдыжӧ.
locative-role;['дюссельдорф', 'dússeldorf'];Дюссельдорф — ола Немыч Элыште, Йӱдвел Рейн — Вестфалий мландын рӱдолаже.
locative-role;['сан-паулу', 'sâo paulo'];Сан-Паулу — Бразилийын кечывалвел-эрвел ужашыштыже кугу ола, Сан-Паулу штатын рӱдӧ олаже.
locative-role;['шагат ӱштӧ', 'шагат ӱшто'];Шагат ӱштӧ-влак — Мландын регион-влак, кушто икгай верысе жап налме.
locative-role;['йӱдвел', 'йÿдвел', 'север'];Йӱдвел — ныл тӱня вел-влак гыч икте.
locative-role;['турин'];Турин — ола Италийыште, Пьемонт велын рӱдолаже.
locative-role;['chicago'];Chicago — УАШ-ыште ола.
locative-role;['самарканд', 'samarkand'];Самарканд — ола Узбекистаныште, Самарканд велын рӱдолаже.
locative-role;['мюнхен', 'мӱнхен'];Мюнхен — ола Немыч Элыште, Баварий эрыкан мландын рӱдолаже.
locative-role;['милан'];Милан — ола Италийыште, Кампаний велын рӱдолаже.
locative-role;['палермо', 'palermo'];Палермо (грекла Πάνορμος, итальянла Palermo, Кышкар:Lang-scn, лат.
locative-role;['вӱдкундем', 'эҥер вӱдкундем'];Вӱдкундем — эҥер, ер йыр улшо да тыгак тушко йоген пурышо изеҥерла кумдык.
locative-role;['рио-де-жанейро', 'rio de janeiro'];Рио-де-Жанейро — Бразилийыште ола.
locative-role;['вӱдкундем', 'эҥер вӱдкундем'];Вӱдкундем — эҥер, ер йыр улшо да тыгак тушко йоген пурышо изеҥерла кумдык.
locative-role;['тель-авив'];Тель-Авив-Яффе — кок эн кугу ола Израильыште.
locative-role;['стамбул', 'византий', 'константинополь', 'у рим'];Стамбул але Истанбул — Йӱдвел-касвел Турцийыште ола да Стамбул ильын чыла кундемже.
locative-role;['нью-йорк', 'у йорк'];Нью-Йорк — УАШ-ыште ола.
locative-role;['карачи', 'karāchi'];Карачи — Кечывалвел Пакистаныште ола да Синдын чыла кундемже.
locative-role;['филадельфий'];Филадельфий — ола Пенсильванийыште, УАШ. Калыкчот 1,5 млн.
locative-role;['венеций'];Венеций — ола Италийыште, Венето регионын рӱдолаже.
locative-role;['кейптаун', 'капстад'];Кейптаун — кок эн кугу ола КАРыште, Касвел Кап провинцийын рӱдолаже.
locative-role;['сахара', 'сахаре', 'sáhara'];Сахаре — тӱняште эн шокшо пустынь, Антарктиде ден Арктике деч кумшо эн кугу пустынь.
method;['демократий'];Демократий — кугыжаныш вуйлатымашын тугай формыжо, кунам власть пӱтынь калык масса кидыште.
non-agentive-physical-object;['панаме канал'];Панаме канал — Панаме элыште верланыше 77,1 километран карап канал, Атлантик тептеҥызым да Тыныс тептеҥызым ушна.
non-agentive-physical-object;['йӱштышӧрлык'];Йӱштышӧрлык — кочкыш продуктым йӱкшыктарен аралыме аппарат.
non-agentive-physical-object;['тоннель', 'tunel'];Тоннель — мланде йымач кайыше корно.
non-agentive-physical-object;['шондан', 'туалет'];Шондан' але Туалет — тӱгӧ лекме вер.
non-agentive-physical-object;['пыжаш'];Пыжаш — янлыкын игым лукташ ыштыме верже, шуэнрак тудо шылме вер семынат кучылталтеш.
non-physical-collection;['ыҥпале'];Ыҥпале — компьютерлан пашалашыже келшен толшо калып сынан информаций.
non-physical-collection;['индуизм'];Индуизм – Тӱняште тын.
non-physical-collection;['мутвундо'];Мутву‘ндо -- мутын ончыктымашыжым шымлыше йылмышанчын ужашыже.
non-physical-collection;['умыл'];У‘мыл -- настам тӱрлӧ палык почеш ойырен лукшо але иктешлыше шонымаш але шонымаш радамлык.
non-physical-collection;['юмынйӱла'];Юмынйӱла — Юмылан ӱшанымаш негызеш тӱняужмаш.
non-physical-collection;['тотемизм'];Тотемизм — южо калыкын культ арверлан шотлалтше янлык, кушкыл, ӱзгар.
non-physical-collection;['ыҥ'];Ыҥ — пале да тиде палым умылымаш кокласе кыл.
non-physical-collection;['христианлык'];Христианлык — тӱнямбал монотеист тын.
non-physical-place;['шӱгар пӧрт'];Шӱгар пӧрт — ик ешын але тукымын шӱгарже вач пӧрт.
non-physical-place;['скорпион'];Скорпион — кандашымше зодиак тамга.
non-physical-place;['ӱдыр'];Ӱдыр — кудымшо зодиак тамга.
non-physical-place;['ирказа'];Ирказа — луымшо зодиак тамга.
non-physical-place;['йыгыр'];Йыгыр — кумшо зодиак тамга.
non-physical-place;['кол'];Кол — латкокымшо зодиак тамга.
organized-collection;['ыҥпале'];Ыҥпале — компьютерлан пашалашыже келшен толшо калып сынан информаций.
organized-collection;['кнагагудо', 'книгагудо'];Книгагудо — книгам, журналым, газетым да монь чумырен аралыше да нуным лудшылан кучылташ йӧным ыштыше тӧнеж.
organized-collection;['матрице'];Матрице — прямоугольник семын шогышо
parameter;['ультракӱчык толкын'];Ультракӱчык толкын — Радиотолкын диапазон.
parameter;['кече лекмаш'];Кече лекмаш — Кечын каватӱр ӱмбак лекмыже.
parameter;['кече шичмаш'];Кече шичмаш — Кечын каватӱр йымак шылмыже.
parameter;['герц', 'мгц'];Герц — угычтаралтше процесс-влакын чӱчкыдылыкыштым шотлымаш единице.
phenomenon;['эмен улмылык'];Эме́н у́лмылык -- эменын тӱрлӧ койыш-влакше.
phenomenon;['экран авалтыш', 'экран кертмаш'];Экран авалтыш — Монитор экранын кугытшым пиксель дене висымаш.
phenomenon;['шеннонын формулжо'];Шеннонын формулжо — тӱрлӧ лийынкертшашлык годым I информацийын чотшым шотлымо формул: I= -i=1Npilog2pi, тушто pi - i событийын лийынкертшашлыкше, N – лийшаш событийын чотшо.
phenomenon;['кече'];Кече — Кечын лекмыже гыч шичмыже марте жап.
phenomenon;['лум'];Лум — кава гыч велыше пачката ий кристалл-влак.
phenomenon;['шолем', 'град'];Шолем — йырйьюжын осадке. ияҥше южвӱд.
phenomenon;['тӱлымаш'];Тӱлымаш — айдемын, янлыкын да кушкылын шке гай организмым ышташ моштымашыже.
phenomenon;['южвӱд'];Южвӱд — йыръюж вишкыде, пеҥгыде але пар вӱд.
phenomenon;['тулэҥер татыл', 'электрический заряд'];Тулэҥер татыл -
physical-body;['хромосом'];Хромосом — илпарчакын рӱдыштыжӧ улшо, шӱртӧ гай койшо йӧр. клеткын да организм-влакын урлык ойыртемыштым рашемда.
physical-body;['пермион'];Пермио́н — кызытсе шанче почеш: эменым чоҥышо тӱҥлык пырче-влак.
physical-body;['мланде'];Мланде (лат.
physical-body;['кава меҥге', 'кӱртньӧ меҥге', 'тул меҥге', 'ший меҥге', 'шордышӱдыр', 'шӧртньӧ меҥге'];Кава Меҥге, — Йӱдвел полушарий каван шичмашдыме шӱдыржӧ, Шордышӱдырын ик чолга шӱдыржӧ.
physical-object;['рӱдӧ процессор', 'рӱдыпроцессор', 'тӱҥ процессор'];Рӱдӧ процессор, рушла центра́льный проце́ссор — компьютерын тӱҥ паша ужашыже. тудо программе почеш пуалтше арифметик да логик операций-влакым ышта, шотлен лукшо процессым виктара да компьютерын чыла явалан пашажым ваш келыштара.
physical-object;['компьютер вапш', 'компучыр вапш', 'компьютер вот', 'компьютервот'];Компьютер вапш — ыҥпале-влакым вончештарылмаш канал-шамыч дене кылдалтше компьютер тӱшка.
physical-object;['тӧрза'];Тӧрза — интерфейсэлемент, рашемдыме программе дене пашам ыштыме экранын ужашыже.
physical-object;['вашкылтӧрза'];Вашкылтӧрза — информацийым лукташ да пайдаланыше деч вашмутым налаш кучылталтше интерфейсэлемент, тӧрза.
physical-object;['принтер'];Принтер (англичанла print — печать. син.
physical-object;['таҥга диск', 'hdd'];Таҥга диск — ик рӱдыштӧ верланыше магнитдискла гыч шогышо информацийым аралыше явала. утларакшым компьютерлаште ыҥпале-влакын тӱҥ аралышыжлан шотлалтеш.
physical-object;['тӱжвалявала', 'тӱжвал явала'];Шотлышо системын тӱҥ блокшо деч конструкций почеш ойырымо техник вораҥдышын ужашыже.
physical-object;['интерфейс'];Интерфейс — пайдаланыше ден компьютер кокласе вашкыл да диалог йӧн тӱшка.
physical-object;['эшя', 'эре шарныше явала'];Эре шарныше явала, ЭШЯ — вашталдыме ыҥпале-влакын чумырыштым аралаш кучылталтше энергийэрыкан шарныш.
physical-object;['кэш-шарныш', 'кэш'];КЭШ-шарныш — шотлымашын кокла лектышыжым аралашлан кучылталтше пеш кугу писылыкан шарныш.
physical-object;['модем'];Модем — телекоммуникаций линий-влак дене сигналым вончештарылаш кучылталтше, компьютер дене ушалтше тӱжвал- але кӧргыявала.
physical-object;['электрокыл', 'связист', 'электросвязь'];Электрокыл — радиотолкын, оптик-волокна кабель але электровоштыр гоч электро сигнал йӧн дене информаций колтымаш.
physical-object;['коньки'];Коньки — кӱртньӧ лезвий дене ушымо ката.
physical-object;['унагудо'];Унагудо — ӧрдыж гыч толшо-влаклан малашышт лӱмын чоҥымо пӧрт.
physical-object;['тӱнямбал эҥыремышвот'];Тӱнямбал эҥыремышвот але тыглайрак вот — интернетыште ваш-кылдалтше гипер-лаштыкын радамлыкше.
physical-object;['шупшыктымаш йӧн', 'транспорт йӧн'];Шупшыктымаш йӧн — ик вер гыч весыш наҥгайыме, шупшыктымо йӧнештарыш-влак.
physical-object;['вашкӱзӧ'];Вашкӱзӧ — пӱчмаш верч ӱзгар.
physical-object;['тоштер'];Тоштер — тӧнеж, эртымгорно да тӱвыра предметым пога, просвещений шотышто пашам ышта.
physical-object;['микрофон'];Микрофо́н (грек.
physical-object;['монитор', 'дисплей'];Монитор (лат.
physical-object;['монча', 'sauna'];Монча — изи лӱмын ыштыме пӧрт, кушто мушкылташ да выньык дене кыралташ лиеш.
physical-object;['тӧрза'];Тӧрза — рож пырдыжте, керек-могай темымаш дене.
physical-object;['синагого'];Синагого — еврей-влакын кумалме черкышт.
physical-object;['полдышоҥа', 'клавиатур'];Полдышоҥа — палемдыме радам почеш полдыш-влакым вераҥдыме явала. полдышым темдалмаш компьютерыш тиштым але команде-влакым пурташ йӧным ышта.
physical-object;['йӱштышӧрлык'];Йӱштышӧрлык — кочкыш продуктым йӱкшыктарен аралыме аппарат.
physical-object;['стадион'];Стадион — спорт ыштыме ден таҥасымаш-влакым эртараш йӧнештарыме вер.
physical-object;['верысе вапш', 'lan', 'верысе вот', 'локал вот', 'локалвот'];Верысе вапш — цифр ыҥпалым вончештарылше, ик але икмыняр автономло кугу писылыкан канал дене ушымо лишне верланыше тӱжвалявала ден компьютер-влакын тӱшкашт.
physical-object;['интеграл микросхеме'];Интеграл микросхеме
physical-object;['тӱканорва', 'троллейбус'];Троллейбус але Тӱканорва — мер транспорт.
physical-object;['погымплате'];Погымплате — электрон компонет-влакым пижыкташлан да ушашлан кучылтмо пластин.
physical-object;['компакт-диск', 'cd-диск'];Компакт-диск — информацийым оптике аралыше, тушто информацийым возымо да лудмо процесс лазер полшымо дене шукталтеш.
physical-object;['орава', 'тыртыш'];Орава але южгунам Тыртыш — йыргешке гай ӱмбач койышо ыштендыш, шке рӱдыж йыр пӧрдеш.
physical-object;['лывырге магнитдиск', 'дискет', 'лывырге дискет'];Лывырге магнитдиск — информацийым аралыше пластик тыртыш явала. тыртышын кок могырышкыжат магнит варшым шӱрымӧ, тыгайымак аудио- ден видеокассетылаштат кучылтыт.
physical-object;['башне'];Башне — кӱкшӧ да аҥысыр архитектурный сооружений.
physical-object;['кинотеатр'];Кинотеатр — кинофильмым ончыктымо вер.
physical-object;['шайбе', 'хоккей шайбе'];Хоккей шайбе — Шайбан хоккей модмашыште кучылтмо спорт арвер.
physical-object;['вӱдорва'];Вӱдорва — вӱд волымашын энергийжым таза вийыш савырыме машина.
physical-object;['системшай', 'системе шай'];Системшай — тӱжвалявала ден рӱдӧ процессор але тӱжвалявала ден компьютерын оперативле шарнышыже коклаште ыҥпале-влакым вончештарылаш кучылталтше шай.
physical-object;['полдыш', 'кнопко'];Полдыш — техникысе полдышла койшо да тыгаяк функцийым шуктышо интерфейсэлемент.
physical-object;['шарныш'];Шарныш — информацийым аралаше явала.
physical-object;['танк'];Танк — гусенице йӧн дене кудалше, бронироватлыме сар машина, тӱҥ саркуралжылан топ шотлалтеш.
physical-object;['аппарат вораҥдыш'];Аппарат вораҥдыш — компьютерын электрон да механике ужаш тӱшкалыкше.
physical-object;['com1 да сом2'];COM1 да СОМ2, Почела порт, рушла После́довательный порт
physical-object;['метрополитен', 'метро'];Метрополитен — мланде йымалне али мланде ӱмбалне оласе мер транспорт.
