abstract-region;['operando', 'operand'];Un operando es omne argumento que es le objecto de un operation mathematic.
dependent-place;['cava'];Un cava es un objecto geographic.
dependent-place;['passo de montania'];Un passo de montania o simplemente passo es un objecto geographic.
dependent-place;['troposphera', 'troposfera'];Le troposphera es le plus basse parte del atmosphera del Terra ubi le numero le plus grande de phenomenos de tempore appare, como le nubes, pluvia, nive e le vento.
dependent-place;['nucleo atomic'];Le nucleo atomic es le parte central de un atomo, ubi se concentra practicamente le totalitate de su massa.
dependent-place;['angulo'];Un angulo es le spatio formate per le intersection de duo lineas recta.
ecological-collective;['planta', 'plantae', 'plantas'];Plantas es le organismos vivente in le regno Plantae, le nomine latin de plantas.
ecological-collective;['foreste', 'wälder', 'silva', 'foresta'];Le foreste es un ecosystema componite de arbores, alsi de arbustos e animales.
event;['marathon'];Le Marathon es un sport olympic.
event;['tsunami'];Un tsunami es un serie de undas maritime generate per qualcunque disturbation brusc in grande scala que occurre in le oceanos.
event;['avalanche'];Un avalanche, avalancha o lavina, es le glissata e decadentia de un grande quantitate de nive per le latere de un montania verso valle.
event;['kentucky derby'];Le Kentucky Derby es un cursa de cavallos que es currite a le prime sabbato de maio a Louisville, Kentucky.
event;['jocos olympic', 'ludos olympico'];Le Jocos Olympic esseva festivitates religiose, cultural e sportive celebrate in Grecia e esseva restablite in su aspecto sportive in 1894 per Pierre de Coubertin.
functional-matter;['caffe'];Caffe es le bibita que es facite per infunder le granas del planta caffe, que habe un substantia stimulante, caffeina.
functional-matter;['germanium', 'г', 'ge'];Germanium es un elemento chimic de symbolo Ge e numero atomic 32.
functional-matter;['vitro'];Vitro es un material solide amorphe e.
functional-matter;['saliva'];Saliva es un liquido que excepte aqua contine enzymas, muco e sales.
functional-matter;['farina'];Le farina es definite principalmente como le pulvere producite per le molitura fin de cereales.
functional-matter;['yogurt'];Yogurt es un alimento facite per le fermentation bacterial de lacte.
functional-matter;['petroleo'];Petroleo es un substantia liquide, natural, fossile, trovate in le subsolo, usate pro energia e pro synthetisar multe productos industrial.
functional-matter;['cupro', 'cu'];Cupro es un elemento chimic con le symbolo Cu e numero atomic 29.
functional-matter;['quarz'];Quarz es un mineral con le formula chimic SiO2.
functional-matter;['bolus'];Consiste in le administration intravenose de un medicamento a un velocitate rapide, ma controlate (e.g.
functional-matter;['methanol'];Methanol, etiam appellate alcohol methylic, es un composito organic.
functional-matter;['sablo', 'arena'];Sablo, o arena, es un material dulce, dur, movente e granular, un del substantias natural le plus commun sur Terra.
functional-matter;['zirconium', 'zr'];Zirconium es un elemento chimic de symbolo Zr e numero atomic 40.
functional-matter;['pechblende', 'uraninite'];Piceblenda, blenda picee, o uraninite es un mineral radioactive e ric de uranium.
functional-matter;['gastronomia'];Le gastronomia es le scientia et arte que studia le relation inter humanos con lor alimentation e lor ambiente.
functional-matter;['marmelada'];Marmelada es le nomine traditional de un crema a base de fructos bullite con sucro, sin que le pecias de fructo remane visibile in le producto final.
functional-matter;['cesium', 'cs'];Cesium es un elemento chimic de symbolo Cs e numero atomic 55.
functional-matter;['cesium', 'cs'];Cesium es un elemento chimic de symbolo Cs e numero atomic 55.
functional-matter;['argento', 'ag'];Argento es un elemento chimic con le symbolo Ag e numero atomic 47.
functional-matter;['caseo'];Le caseo es un alimento solide facite del lacte de vaccas, capras, oves, o altere mammales.
functional-matter;['beton'];Beton es un importante material pro construer edificios et altere constructiones.
functional-matter;['semiconductor'];Un semiconductor es un material que ha un conductivitate electric inter que de un conductor, tal como cupro, e un insulator, tal como vitro.
functional-matter;['explosivo'];Un explosivo es un substantia reactive que contine un grande amonta de energia potential le qual pote producer un explosion.
functional-matter;['vaccino'];Un vaccino es un preparation biologic que provide active immunitate acquirite contra un particular maladia infectiose.
functional-matter;['melle'];Melle es un alimento producite per apes pro lor proprie nutrition e anque utilisate per humanos.
functional-matter;['hostia'];Le hostia designa in multe ecclesias christian le pan le qual es usate in le eucharistia.
functional-matter;['sucro'];Le sucro o sāccharo, es un classe de dulce substantias crystallin edibile, specialmente sucrosa, fructosa, e lactosa.
functional-matter;['lacte'];Le lacte es le fluido nutriente que le glandulas mammari del mammales secreta.
functional-matter;['butyro'];Butyro es un grassia comestibile e extendibile que es producite del crema de lacte o de substantias vegetal, per exemplo de arachides.
functional-matter;['patata', 'solanum tuberosum', 'planta de patata'];Le patata es un planta del familia Solanaceae.
functional-matter;['hormon'];Patrono:Mover === Le titulo essera movite ad "Hormone". ===
functional-matter;['glacie'];Glacie es le forma solide de aqua.
functional-matter;['bibita', 'biberage'];Un bibita, biberage o bibitura es un liquido que pote esser consumite per humanos.
functional-matter;['vitamina'];Vitaminas es combinationes chimic, que le organismo non necessita como portator de energia, sed por altere functiones de importantia vital, sed que del altere latere le metabolismo non pote bastante synthetisar.
functional-matter;['specie'];Species son partes de plantas fresc, desiccate o laborate e que son utilisate como condimento o ingrediente aromatic in le preparation de alimentos e bibitas de omne typo a causa de lor contentos natural de substantias aromatisante e aromatic.
functional-matter;['faba'];Faba es le nomine commun pro le granas sovente reniforme de plantas ex le familia de leguminosas.
functional-matter;['vitamina'];Vitaminas es combinationes chimic, que le organismo non necessita como portator de energia, sed por altere functiones de importantia vital, sed que del altere latere le metabolismo non pote bastante synthetisar.
functional-matter;['plasma del sanguine', 'plasma'];Le plasma es un liquido pallide que forma parte del sanguine.
functional-matter;['legumine', 'vegetal'];Vegetales es tote le partes del plantas que es mangiate per humanos como alimentos.
functional-matter;['vino'];Le vino es un bibita alcoholisate obtenite per le fermentation de uva.
functional-matter;['farina'];Le farina es definite principalmente como le pulvere producite per le molitura fin de cereales.
functional-matter;['pan'];Le pan es un alimento basic que forma parte del dieta traditional de europa, oriente proxime, india e le americas.
functional-matter;['gelato'];Gelato es un dessert dulce e frigide, que es facite a base de lacte con ovo, sucro et altere ingredientes como fructos, species, chocolate o altere aromas.
functional-matter;['pomo'];Un pomo esse un fructo pomaceose del arbore del pomo, specie Malus domestica in le familia rosate Rosaceae.
functional-matter;['combustibile fossile'];Combustibiles fossile es combustibiles formate per processos natural tal como decomposition anaerobic de inhumate morte organismos.
functional-matter;['plastico'];Un material de plastico es alicun de un extension large de synthetic o semi-synthetic solidos organic usate in le manufactura de productos industrial.
functional-matter;['pizza'];Pizza es un typo de alimento que esseva create in Italia.
functional-matter;['whisky'];Whisky es un bibitura alcoholic que es distillate de malt fermentate.
functional-matter;['chocolate'];Le chocolate es un delicatessa facite de cacao, le qual es ganiate ex fabas de cacao, le nucleo del fructo del Theobroma cacao.
functional-matter;['hydromel'];Le hydromel es un bibita alcoholic producite per le fermentation de melle.
functional-matter;['petra', 'rocca'];In geologia, rocca es un aggregato naturalmente occurrente e solide de un o plus minerales o mineraloides.
functional-matter;['lacte'];Le lacte es le fluido nutriente que le glandulas mammari del mammales secreta.
functional-matter;['magma'];Magma es le petra fundite e calide in partes del mantello terrestre superior e del crusta terrestre inferior.
functional-matter;['carta de joco'];Un carta de joco es un objecto rectangular in forma de lamina que pote esser usate insimul con altere de un mesme gruppo in un joco de cartas.
functional-matter;['ovo'];Le ovo es un producto natural que esseva un alimento importante desde le initio del historia de humanitate pro su valor nutritional, specialmente per su contento de proteina de alte qualitate.
functional-matter;['vino rosate', 'vino rosé'];Vino rosé o simplemente rosé, francese pro rosee, es un legier vino rosee producite secundo methodos differente.
functional-matter;['mustarda'];Mustarda es un condimento facite del semines de un del species de planta appellate mustarda: o Sinapis alba o Brassica nigra o Brassica juncea.
functional-matter;['caviar'];Caviar es un alimento constituite de ovos salate del familia Acipenseridae.
functional-matter;['coton'];Le coton, es un fibra vegetal que cresce circum le granos del cotoniero, un arbusto del familia Malvaceae.
functional-matter;['galena'];Galena es un mineral con le formula PbS. Chimicamente illo es un sulfido de plumbo.
functional-matter;['mineral'];Un mineral es un naturalmente-occurrente substantia que es solide e inorganic, representabile per un formula chimic, usualmente abiogenic, e ha un ordinate structura atomic.
functional-matter;['glacie sic'];Glacie sic es le forma solide de dioxydo de carbon.
functional-matter;['texito'];Texito o textile es un producto de materia flexibile fabricate ex filos de animal, planta o mineral.
functional-matter;['droga'];Un droga esse qualcunque substantia que, si inhalate, injectate, fumate, consumite oralmente, absorbite per medio de un emplastro adhesive sur le pelle, o solute sub le lingua, provoca in le corpore un temporanee alteration physiologic, e sovente psychologic.
functional-matter;['medicamento'];Un medicamento es ulle substantia medicinal e su associationes o combinationes destinate a su utilisation in le personas o in le animales, que se presenta dotate de proprietates pro prevenir, diagnosticar, tractar, alleviar o curar maladias o pro affectar functiones corporal o le stato mental.
functional-matter;['arte culinari', 'culinari', 'culinaria'];Le arte culinari o culinaria es le arte de preparation de alimentos.
functional-matter;['carne'];Carne es un termino usate generalmente pro le texito del humanos e del animales.
functional-matter;['ligno'];Ligno es un texito dur e fibrose trovate in multe plantas.
functional-matter;['arte culinari', 'culinari', 'culinaria'];Le arte culinari o culinaria es le arte de preparation de alimentos.
functional-matter;['plachetta'];Le plachettas es parve cellulas que circula in le sanguine pro prevenir e cessar le fluxo de sanguine foras del vasculos, e promover le coagulation del sanguine in un vulnere.
functional-matter;['glacie'];Glacie es le forma solide de aqua.
functional-matter;['plasma del sanguine', 'plasma'];Le plasma es un liquido pallide que forma parte del sanguine.
functional-matter;['gefilte fish'];Gefilte fish es un alimento judee facite de un mixtura de pisce molite, como carpa, si-appellate "pisce blanc," o Esox.
functional-matter;['sal de cocina', 'sal', 'sal de tabula'];Sal de cocina o sal de tabula, in general simplemente sal, es le sal utilisate, inter altere, in le cocina como condimento pro le consumption human.
genetic-collective;['familia'];Le familia es un nucleo social representate per duo o plus individuos qui vive normalmente in le mesme habitation e qui es normalmente cognate inter illes.
geographical-object;['atlantida', 'atlantis'];Atlantida o Atlantis es un pais legendari, ubicate in un insula o peninsula, que se suppone esser destructite per un disastre natural.
geographical-object;['zodiaco'];In astronomia le zodiaco es un circulo de dece-tres divisiones de longitude celestial, que se centra in le ecliptic, le sentiero apparente del Sol trans le sphera celestial durante le curso del anno.
geographical-object;['laco'];Un laco es un objecto geographic.
geographical-object;['laguna'];Un laguna es un objecto geographic.
geographical-object;['america del sud'];America del Sud es un parte de America, cuje territorio es situate inter le Oceano Atlantic e le Oceano Pacific, e le major parte in le Hemispherio Sud.
geographical-object;['mar'];Un mar es un quantitate de aqua que coperi un gran parte del superficie del Terra.
geographical-object;['republica de china', 'taiwan'];Taiwan, officialmente nominate Republica de China, es un stato in Asia del Est.
geographical-object;['grande lacos'];Le Grande Lacos es un collection de lacos de aqua dulce situate in America del Nord del nord-est, sur le frontiera de Canada e le Statos Unite.
geographical-object;['bermuda'];Bermuda es un territorio britannic de ultramar e un archipelago, situate in le Atlantico septentrional, con un population de 63 779 habitantes.
geographical-object;['antillas nederlandese', 'antillas hollandese'];Usque 2010, le Antillas Nederlandese esseva un parte autonome del Regno del Pais Basse in le Mar Caribe.
geographical-object;['insulas canari', 'canarias', 'communitate autonome canarias'];Le Insulas Canari, o simplemente le Canarias, son un archipelago atlantic que constitue un communitate autonome de Espania.
geographical-object;['malvinas', 'insulas falkland', 'falklands', 'falcaterra', 'falkland', 'falkland / malvinas', 'insulas falkland - malvinas', 'insulas malvinas'];Le insulas dicite in lingua anglese the Falklands e in lingua espaniol las Malvinas son un archipelago in le Oceano Atlantic meridional, collocate 483 km ab le costas de Argentina, 1 080 km a west de Georgia del Sud e 940 km a nord de Antarctica.
geographical-object;['insulas hawai', 'archipelago hawaii', 'archipelago hawai'];Insulas Hawaii es un archipelago de 8 insulas major, atollos, numerose insulas plus parve, e montanias marin ultramar in le nord del Oceano Pacific, que se extende circa 2400km del insula de Hawaiʻi in le sud, al atollo Kure in le nord.
geographical-object;['insula'];Insula in geographia es un portion de terra circumjacete per aqua de un mar o de un laco o de un fluvio.
geographical-object;['oceano', 'mar'];Le oceano es un corpore major de aqua salate, e un componente principal del hydrosphera.
geographical-object;['oceania'];Oceania es un continente insular del Terra.
geographical-object;['balkanes'];Le Balkanes, Balcanes, o Peninsula Balcanic, son un del tres “peninsulas” de Europa Meridional, sed iste appellation traditional es interdum contestate per le absentia de un isthmo, preferente alicun geographos le termino “region”.
geographical-object;['mar caspie', 'caspio', 'mar caspian'];Le Mar Caspie, o simplemente Caspio, es le plus grande corpore de aqua clausurate sur le Terra per area, e illo es variemente classificate como le plus grande laco in le mundo o un ver mar.
geographical-object;['fiord'];Un fiord o fjord es un objecto geographic.
geographical-object;['congo', 'fluvio congo'];Le Congo es un fluvio in Africa e es le plus profunde fluvio in le mundo, con profunditates mesurate in excesso de 230 m.
geographical-object;['rheno', 'fluvio rheno', 'rhine'];Le Rheno es un fluvio del Europa occidental.
geographical-object;['fluvio mississippi'];Le Fluvio Mississippi es le plus grande systema fluvial in America del Nord.
geographical-object;['fluvio jalne'];Fluvio Jalne es un fluvio in China.
geographical-object;['fluvio amazon', 'amazon'];Le Fluvio Amazon in America del Sud es le secunde plus longe fluvio in le mundo e le grandissime per fluxo de aqua, con un medie discarga plus grande que le sequente septe plus grande fluvios combinate.
geographical-object;['stricto'];Un stricto es un objecto geographic.
geographical-object;['nove guinea'];Nove Guinea es le insula le secunde plus grande del mundo, post Groenlandia.
geographical-object;['peninsula arabica', 'peninsula arabic', 'arabia'];Peninsula Arabic, etiam Arabia, es un peninsula in Asia.
geographical-object;['peninsula de yucatán', 'peninsula de yucatan'];Le Peninsula de Yucatán es un peninsula, situate in le sud-est de America del Nord, que separa le Golfo de Mexico del Mar Caribe.
geographical-object;['peninsula iberic'];Le Peninsula Iberic es un peninsula al sud-west de Europa.
geographical-object;['elba', 'fluvio elba'];Le Elba o Elbe es un fluvio in Europa central.
geographical-object;['fluvio volga'];Le Fluvio Volga es le plus longe fluvio in Europa. illo es anque le plus grande fluvio in Europa in terminos de discarga e bassino.
geographical-object;['mar morte'];Le Mar Morte, anque appellate le Mar Sal, es un laco salin que avicina Jordania al est e Israel e Cisjordania al west.
geographical-object;['mar nigre'];Le Mar Nigre es un mar limitate per Europa, Anatolia, e le Caucaso e es connectite ultimatemente al Oceano Atlantic via le Mares Mediterranee e Egee e varie strictos.
geographical-object;['mar baltic'];Le Mar Baltic es un mar mediterranee salmastre situate in Europa del nord, ab 53°N a 66°N latitude e ab 20°E a 26°E longitude.
geographical-object;['krakatoa', 'krakatau'];Krakatoa es un insula vulcanic in le Mar Sunda inter Java e Sumatra in Indonesia, plus famose pro su eruption grandissime in 1883. le nomine es alsi usate pro le archipelago de quatro insulas del qual le insula Krakatoa proprie es le plus meridional.
geographical-object;['cascada', 'fervenza'];Un cascada es un objecto geographic.
geographical-object;['capo'];Un capo es un objecto geographic.
geographical-object;['ruhr', 'fluvio ruhr'];Le Ruhr es un fluvio in le pais federal Rhenania del Nord-Westfalia in Germania.
geographical-object;['silva', 'foreste pluvial'];Le foreste pluvial es un typo de ecosystema de foreste humide del Terra.
geographical-object;['zambezi'];Le Zambezi es le quarte grande fluvio in Africa, e le plus grande fluente al Oceano Indian.
geographical-object;['fluvio niger', 'niger'];Le Fluvio Niger es le fluvio principal de Africa del west, con un longitude de circa 4180 kilometros.
geographical-object;['insulas baleares'];Le Insulas Baleares es un communitate autonome espaniol.
geographical-object;['mar caribe', 'mar caribbean'];Le Mar Caribe es un parte del Oceano Atlantic.
geographical-object;['le manica'];Le Manica es un bracio del Atlantico que separa le insula de Grande Britannia ab Francia septentrional e junge le Mar del Nord al Atlantico.
geographical-object;['golfo de mexico'];Le Golfo de Mexico es un bassino maritime situate inter le litorales de Mexico, le Statos Unite de America e Cuba.
geographical-object;['mar del nord'];Le Mar del Nord es un mar marginal del Oceano Atlantic locate inter Grande Britannia, Scandinavia, Germania, le Paises Basse, e Belgio.
geographical-object;['fluvio ganges', 'ganges'];Le Ganges, o Ganga, es un fluvio que borda India e Bangladesh.
geographical-object;['peninsula corean', 'corea', 'peninsula corea', 'corea del sud', 'peninsula de corea'];Le Peninsula Corean es un peninsula in Asia, que es governate per duo nationes: Republica Corean o Corea del Sud e Republica Popular Democratic Corean o Corea del Nord.
geographical-object;['fluvio indo', 'fluvio indus'];Le Fluvio Indo es un fluvio major que flue per Pakistan, e anque flue per China e India.
geographical-object;['antarctica'];Antarctica es un continente in le qual se trova le Polo Sud.
geographical-object;['jungla'];Un jungla es un objecto geographic.
geographical-object;['mar de marmara'];Le Mar de Marmara, alsi cognoscite in le contexto del antiquitate hellenic como le Propontis, es le mar, completemente intra le frontieras actual del Turchia, que junge le Mar Nigre al Mar Egee.
geographical-object;['capri', 'insula capri', 'insula de capri'];Capri es un insula in Italia, in le Baia de Neapole.
geographical-object;['grande britannia'];Grande Britannia es un insula in Europa del nord-west con tres paises – Anglaterra, Scotia, Galles.
geographical-object;['chios', 'insula chios'];Le insula Chios es un insula grec in le Mar Egee locate proxime al costas de Turchia.
geographical-object;['martinique', 'martinica'];Martinique es un departimento de ultramar de Francia.
geographical-object;['sancte martin', 'sint maarten'];Sancte Martin es un insula in le Mar Caribe.
geographical-object;['oahu'];O'ahu o Oahu es le tertie plus grande del insulas hawaian, le archipelago de Polynesia le plus al nord que contine alcunos del plus grande insulas polynesian.
geographical-object;['guadeloupe'];Guadeloupe es un departimento de ultramar de Francia.
geographical-object;['steppa'];Un steppa es un objecto geographic.
geographical-object;['oceano arctic'];Le Oceano Arctic, o Oceano Glacial Arctic se constitue del mares inter le Polo Nord e le Circulo Arctic.
geographical-object;['america', 'american'];America es un continente.
geographical-object;['insula de man'];Le Insula de Man es un insula in le Mar de Irlanda approximativemente equidistante de Irlanda, Scotia, Anglaterra e Galles que coperi circa 572 km².
geographical-object;['oceano atlantic', 'atlantico'];Le Oceano Atlantic es le secunde oceano del Terra per grandor, con un superficie de inter 82 000 000 e 106 000 000 km².
geographical-object;['laco huron'];Laco Huron es un del Grande Lacos de America del Nord, connexe a Laco Michigan per le Stricto de Mackinac.
geographical-object;['danubio', 'fluvio danubio'];Le Danubio es un fluvio in Europa Central, e illo es le secunde plus longe fluvio in le continente, sequente le Volga.
geographical-object;['laco michigan'];Le Laco Michigan es un del Grande Lacos de America del Nord e le sol Grande Laco situate solmente in le Statos Unite.
geographical-object;['laco erie'];Le Laco Erie es un del Grande Lacos de America del Nord que vicina a Ontario al nord e Ohio, Pennsylvania e New York al sud.
geographical-object;['eurasia'];Eurasia es, secundo alcun geographos, le continente composite de Asia e Europa.
geographical-object;['laco superior'];Le Laco Superior es le plus grande del Grande Lacos de America del Nord.
geographical-object;['groenlandia'];Groenlandia es un parte autonome del regno de Danmark.
geographical-object;['selandia'];Selandia (danese: Sjælland) es le insula le plus grande de Danmark (7.031 km2, 2,51 mio.
geographical-object;['laco victoria'];Laco Victoria es un del lacos del Grande Lacos de Africa.
geographical-object;['oceano pacific', 'pacifico'];Le Oceano Pacific, que se extende super un superficie de 180 000 000 km², es le oceano le plus vaste del globo terrestre.
geographical-object;['honshu'];Honshu es un del quatro insulas principal de Japon, e etiam le plus grande de illos.
geographical-object;['fluvio yangtze'];Le Fluvio Azur, Yangtze o Chang Jiang es le plus longe fluvio in Asia, e le tertie le plus longe del mundo.
geographical-object;['luzon', 'insula luzon'];Luzon es le maxima insula de Philippinas e moderna etiam le collection de insulas synonimo o regione que cum Visayas e Mindanao compone Philippinas.
geographical-object;['laco ontario'];Le Laco Ontario es le plus oriental del Grande Lacos de America del Nord.
geographical-object;['oceano antarctic', 'oceano austral'];Le Oceano Antarctic o Oceano Austral es le area de aqua que circumfere Antarctica.
geographical-object;['indias occidental'];Le Indias Occidental es un gruppo de insulas circumjacente le Mar Caribe.
geographical-object;['cascadas de niagara'];Le Cascadas de Niagara, locate in le Fluvio Niagara disaquate Laco Erie a in Laco Ontario, es le nomine collective pro le Ferro de Cavallo e le adjacente Cascadas American conjunctemente con le comparativemente parve Velo de Sponsa que combinate forma le rata de fluxo le plus alte de omne cascada mundial e ha un cadita vertical de plus que 50 metros.
geographical-object;['fluvio nilo', 'nilo'];Le Nilo es un major fluvio fluente al nord in Africa del nord-est, generalmente reguardate como le plus longe fluvio in le mundo, con un longitude de 6650 kilometros.
gestalt;['quadrato'];Un quadrato es un caso special del rectangulo e un caso special del rhombo.
gestalt;['trapezio', 'trapezoide'];Un trapezio o trapezoide es un quadrilatero plan con duo lateres parallel.
gestalt;['ellipse', 'elliptic'];Un ellipse es le curva geometric generate per le section de un cono con un plano oblique al axe del cono mesme.
gestalt;['quadrilatero', 'quadrangulo', 'tetragono'];Un quadrilatero o quadrangulo o tetragono es un polygono con quatro lateres e quatro angulos.
gestalt;['statua del libertate', 'le libertate illuminante le mundo', 'libertate illuminante le mundo', 'liberty enlightening the world', 'statue of liberty', 'the statue of liberty'];Le Statua del Libertate es un monumento neoclassic in New York, SUA. Le inauguration habeva loco le 28 de octobre 1886 e le statua esseva classificate como Patrimonio Mundial in 1984.
gestalt;['rhomboido', 'rhomboide'];Un rhomboido es un parallelogramma, que non es un rhombo ni un rectangulo.
gestalt;['rhombo'];Un rhombo es un quadrilatero equilateral e per consequente un caso special del parallelogramma.
gestalt;['rectangulo'];Un rectangulo es un polygono de quatro lateres e quatro angulos recte.
gestalt;['parallelogramma'];Un parallelogramma es un quadrilatero, cuje lateres es parallel per pares.
gestalt;['sculptura'];Un sculptura es un corpore modellate, formate o sculptate con argilla, petra, ligno o un altere material.
information-encoding-system;['oxymoro'];Le oxymoro es un figura rhetoric que combina duo terminos que normalmente se contradice.
information-encoding-system;['poesia', 'alphabetica', 'anatomia', 'poesia in interlingua'];Poesia es un forma de litteratura lo qual usa esthetic et sovente rhythmic qualitates de linguage.
information-encoding-system;['reticentia', 'apophasis'];Le reticentia o apophasis refere, in general, a "mentionar sin mentionar".
information-encoding-system;['epiphora'];Epiphora es le repetition de un o varie parolas al final del versos de un strophe.
information-encoding-system;['archaismo'];Archaismo es le empleo de vocabulos o phrases antiquate.
information-encoding-system;['onomatopeia', 'onomatopeia de colpos', 'onomatopeia de esseres human', 'onomatopeia de foco', 'onomatopeia de instrumentos musical', 'onomatopeia de liquidos', 'onomatopeia de machineria'];onomato·peia = Parolas de un lingua que proba representar le sonos de cosas real.
information-object;['file'];In informatica, un fila
information-object;['icone'];Un icone es un elemento de un interfacie graphic consistente de un micre imagine que representa alcun objecto physic o logic.
information-object;['articulo', 'le', 'un'];Un articulo es un parola que combina con un substantivo pro indicar le typo de refentia facite pro le substantivo.
information-object;['phone', 'phono'];Phone esse un concepto del linguistica.
information-object;['phonema', 'phonemo'];Le phonemas son le articulation minime de un sono vocalic e consonantic.
information-object;['autobiographia'];Un Autobiographia es un scripto ubi le autor relata su proprie vita.
information-object;['hagiographia'];Hagiographia, de grec ağios e graphēin, es un tipo de biographia que describe le vita de alcun sancto, beato o servo de Deo, declarado per una ecclesia christiana, o persona de interesse super culto o fide in buddhismo e islamismo.
information-object;['consonante alveolar'];Consonante alveolar, p.e.: t, d, n, r, z
information-object;['consonante bilabial'];Consonante bilabial, p.e.: m, p, b
information-object;['consonante nasal'];Consonante nasal - consonante con articulation de maniera nasal.
information-object;['chronica', 'historia', 'chronista'];Generalmente un chronica es un conto historic de factos e eventos in ordine chronologic.
information-object;['timbro', 'timbro postal'];Un timbro o timbro postal es un pecia de papiro que es collate sur un angulo de un inveloppe pro pagar le porto del transporto.
information-object;['alphabeto latin'];Alphabeto latin o le "Alphabeto roman" es le alphabeto le plus utilisate de le mundo.
information-object;['allegoria'];== Etymologia ==
information-object;['portmanteau', 'parola portmanteau', 'parola valise'];Un portmanteau o parola valise es un parola construite de un combination de altere parolas.
information-object;['acronymo'];Un acronymo es un nomine formate con le litteras o le syllabas initial de un denomination o un phrase.
information-object;['palindromo'];Un palindromo es un parola o phrase que es le mesme quando legite in reverso.
information-object;['adverbio'];Le adverbio es un categoria grammatic que functiona como nucleo del syntagma adverbial.
information-object;['biographia'];Le biographia es le genere non-fictic que se tracta con describer le vita de un persona, usualmente in le forma de un libro, essayo, o film.
information-object;['tetragrammaton', 'jehovah', 'yhwh'];Tetragrammaton es un termino grec que significa "quatro litteras".
information-object;['morphema'];In linguistica, se appella morphema le plus parve unitate portator de significato.
information-object;['prova mathematic'];Un prova mathematic es un deduction del veritate o del falsitate de un proposition logic per medio de axiomas supponite como ver e de altere propositiones jam provate.
information-object;['numero telephonic', 'numero de telephono'];Un numero de telephono es le numero que on formula in le telephono pro contactar un altere telephono specific.
information-object;['subtitulo'];Le subtitulation es un technica ligate al contento audiovisual, notabilemente cinematographic, consistente in le monstra de texto al basso del imagine, durante le diffusion de un programma, como un film.
information-object;['synonymo'];Un synonymo es un parola semanticamente proxime ad un altere parola in le mesme lingua, ergo duo o plure parolas differente ha le mesme o quasi le mesme signification.
information-realization;['compilator'];Un compilator es un programma de computator que prende codice fontal e traduce lo a in un linguage de programmation plus fundamental.
information-realization;['ascii'];ASCII es un collection de characteres e un codification de characteres basate super le alphabeto roman secundo le uso del anglese moderne.
information-realization;['microprogrammatura'];Le microprogrammatura, programmatura firme, o firmware es un programma informatic que establi le logica del plus basse nivello, que controla le circuitos electronic de un apparato o dispositivo de qualcunque typo.
information-realization;['systema de operation', 'memoria operative', 'so', 'systema operative'];Un systema de operation, aut systema operative, es le systema de software qui provide al functiones essential pro le operation de un computator.
information-realization;['programmatura', 'software'];Le programmatura, o software es le material logic, non tangibile, de un computator, i.e.
information-realization;['actos del apostolos', 'apostolos'];Libro del Nove Testamento concernente le eventos in le vitas del Apostolos de Christo in circa le trenta annos depois le morte e resurrection de lor Senior.
information-realization;['libro de ester', 'libro de esther'];Le Libro de Ester es un parte del Tanakh judee e del Vetere Testamento christian.
information-realization;['judices'];Judices es le septime libro del Biblia, originalmente scribite in hebreo, e parte del Vetere Testamento del christianos e del Tanakh del judeos.
information-realization;['argot'];Le argot
information-realization;['canon', 'kanon'];Un canon es un typo de composition musical, in le qual le voces entra le un post le altere con le mesme melodia.
information-realization;['libro'];Libro es, secundo le comprehension traditional, un collection de folios a papiro stampate, describite, depingite o etiam blanc o de altere materiales apte, que son allegate e communmente etiam cartonate in un copertura o un altere material durabile.
information-realization;['opera'];Le Opera es un forma de theatro que combina drama con musica.
information-realization;['motto'];Un motto es un phrase que representa e summarisa le proposito, le primari objectivo de un nation, interprisa, gruppo, religion o persona.
information-realization;['bonhomo de nive'];Un bonhomo de nive es un sculptura de nive compacte, de apparentia human e de dimensiones multo variabile.
information-realization;['signo del cruce'];Le signo del cruce es un movimento ritual executate con le manos per le majoritate, ma non tote, le brancas del Christianismo.
information-realization;['odyssea'];Le Odyssea es un poema epic grec composite de 24 cantos, attribuite al poeta grec Homero.
information-realization;['iliade'];Le Iliade es un epopeia grec e le poema le plus antique del litteratura occidental.
information-realization;['limerick'];Un limerick es un genere de poema breve e comic in anglese, un verso de cinque lineas anapestic cuje patrono de rimas es A,A,B,B,A e ubi le prime, secunde, e quinte lineas son in trimetro anapestic, dum le secunde e tertie son in dimetro anapestic. ergo le patrono de stresso syllabic in general es: .. .. .. .. .. .. .. .. .. .. .. .. .. .
information-realization;['cavallo de troia', 'cavallo de troja'];Le cavallo de Troia es un dispositivo que appare in le Guerra de Troia.
information-realization;['statua del libertate', 'le libertate illuminante le mundo', 'libertate illuminante le mundo', 'liberty enlightening the world', 'statue of liberty', 'the statue of liberty'];Le Statua del Libertate es un monumento neoclassic in New York, SUA. Le inauguration habeva loco le 28 de octobre 1886 e le statua esseva classificate como Patrimonio Mundial in 1984.
information-realization;['symphonia'];Le symphonia es un composition musical pro orchestra, typicamente in tres o quatro partes, cata uno con un tempo e structura differente.
information-realization;['ode', 'oda'];Un ode es un poema o canto scribite pro honorar o adorar alcuno o alco.
information-realization;['orthographia'];Le orthographia de un lingua es un insimul de symbolos utilisate per scriber un lingua, assi como le insimul del regulas que describe como scriber iste glyphos.
