abstract-quality;['индивидуалдық'];Индивидуалдық - 1.
agentive-physical-object;['зебу', 'bos indicus', 'bos primigenius indicus'];Зебу (лат.
agentive-physical-object;['асыранды кептер'];Асыранды кептер, немесе кәдімгі көгершін – кептер тұқымдасына жататын қолға үйретілген құс.
agentive-physical-object;['қылтықсыз арпабас'];Қылтықсыз арпабас
agentive-physical-object;['маймақ үйректер', 'маймақ үйрек', 'somateria'];Маймақ үйректер
agentive-physical-object;['эдмонтозаврлар', 'edmontosaurus', 'эдмонтозавр'];Эдмонтозавр динозавры
agentive-physical-object;['коритозавр', 'corythosaurus'];Коритозавр — тоқылдақ тұмсықты, сүйегі ірі, шөппен қоректенетін динозавр.
agentive-physical-object;['зира', 'cuminum cyminum'];Зира — үнді зересі.
agentive-physical-object;['теңіз мысығы', 'итбалықтар'];Теңіз мысығы
agentive-physical-object;['бластула', 'blástula'];Бластула — бөлшектену процесі нәтижесінде пайда болған қуысты ұрық.
agentive-physical-object;['джекфрут'];Джекфрут — Оңтүстік Азия мен Бразилияда өсірілетін тропикалық жеміс.Джекфрут Могасеае тұқымдасына жатады, отаны Үндістан мен Бангладеш.
agentive-physical-object;['жұпар ағашы'];Жұпар ағашы
agentive-physical-object;['голотурийлер'];Голотурийлер - теңіз қияры, тікенденелілер класы.
agentive-physical-object;['теңіз жұлдыздары', 'asteroidea', 'теңіз жұлдыздар', 'теңіз жұлдызы'];Басқа мағыналар үшін Жұлдыз деген бетті қараңыз.
agentive-physical-object;['устрицалық вешенка', 'pleurotus ostreatus'];Үлгі:Mycomorphbox Устрицалық вешенканың бір үлкен артықшылығы бар – оны бозарыңқы ұлы саңырауқұлагімен шаталыстыруға болмайды.
agentive-physical-object;['электірлі жыланбалық'];Электірлі жыланбалық,
agentive-physical-object;['миксиналар', 'миксиндер'];Миксиналар
agentive-physical-object;['теңіз пілдері', 'mirounga', 'теңіз пілі'];Теңіз пілдері
agentive-physical-object;['морж', 'odobenus rosmarus'];Морж (лат.
agentive-physical-object;['куду'];Куду — орман киігінің екі түрі. кейде оларды жеке Strepsiceros туысына жатқызады.
agentive-physical-object;['нәлім', 'lota lota'];Нәлім (лат.
agentive-physical-object;['түйежоңышқа', 'түйебұршақ'];Түйежоңышқа – бұршақ тұқымдасына жататын екі жылдық сирек бір жылдық өсімдіктер тегi.
agentive-physical-object;['қытайбұршақ', 'соя', 'glycine max'];Қытайбұршақ – жан-жақты пайдаланатын дақыл ретінде ерекшелінеді.
agentive-physical-object;['егістік қышатүс'];Егістік қышатүс
agentive-physical-object;['орман құлқайыры'];Орман құлқайыры
agentive-physical-object;['кіші сепкілгүл'];Кіші сепкілгүл
agentive-physical-object;['қасқалдақ', 'fulica atra'];Қасқалдақ
agentive-physical-object;['кезеген торғай'];Кезеген торғай
agentive-physical-object;['еркек шөп'];Еркек шөп, еркек бидайық
agentive-physical-object;['бояулық риян'];Бояулық риян
agentive-physical-object;['қара алқа', 'қараалқа'];Қара алқа
agentive-physical-object;['шатырша қысшылшөп', 'chimaphila umbellata'];Шатырша қысшылшөп
agentive-physical-object;['тас сусары', 'орта азия тас сусары', 'martes foina'];Тас сусары
agentive-physical-object;['алтын тамыр', 'hylotelephium telephium', 'sedum carpaticum', 'sedum fabaria', 'sedum telephium', 'қызғылт семізот'];Алтын тамыр немесе Қызғылт семізот
agentive-physical-object;['еңкіш түйетікен'];Еңкіш түйетікен
agentive-physical-object;['дыркептер', 'дыркеп', 'columba palumbus'];Дыркептер
agentive-physical-object;['шомыр'];Шомыр – орамжапырақ тұқымдасына жататын екі жылдық өсімдік. крестгүлділер тұқымдасына жататын, суыққа төзімді өсімдік.
agentive-physical-object;['тартар', 'тартарлар', 'porzana porzana'];ТАРТАР - қараторғайдан сәл үлкенірек, шағын денелі құс.
agentive-physical-object;['жауторғай'];Жауторғай
agentive-physical-object;['жасыл құрбақа', 'bufo viridis'];Жасыл құрбақа
agentive-physical-object;['кәдімгі шетен'];Кәдімгі шетен
agentive-physical-object;['жабайы шомыр'];Жабайы шомыр
agentive-physical-object;['қылқұйрық бұлдырық', 'қылаңтөс', 'syrrhaptes paradoxus', 'убақтар туысы'];Қылқұйрық бұлдырық, қылаңтөс
agentive-physical-object;['егістік қарамықшасы'];Егістік қарамықшасы
agentive-physical-object;['бояулы исат', 'бояулы шытыршық'];Бояулы шытыршық
agentive-physical-object;['қотыр қайың', 'ақ қайың'];Қотыр қайың немесе Сүйелді қайың
agentive-physical-object;['зубр', 'bison bonasus'];Зубр (лат.
agentive-physical-object;['қамыс сарыторғайы', 'emberiza schoeniclus'];Қамыс сарыторғай-жағасында өсімдігі бар жазықтық су қоймаларында кең таралған құс.
agentive-physical-object;['кәдімгі сұлыкеш'];Кәдімгі сұлыкеш
agentive-physical-object;['мөңке балық', 'carassius carassius', 'мөңке'];Мөңке (лат.
agentive-physical-object;['ақ тауқалақай'];Ақ тауқалақай
agentive-physical-object;['солнечник', 'cолнечник'];Солнечник — теңіз балығы, ол Батыс Африка жағалауы мен Шығыс-Қытай теңізін мекендейді.
agentive-physical-object;['табан балық'];Табан балықтар — тұқы балықтар тұқымдастарына жатады.
agentive-physical-object;['торта балық'];Торта – тұқытәрізділерге жататын жартылай өткінші балықтар.
agentive-physical-object;['құсбас', 'голавль'];Құсбас - шыршалы балықтар туысы.
agentive-physical-object;['жатаған бидайық'];Жатаған бидайық
agentive-physical-object;['өлі бас', 'acherontia atropos'];Өлі бас - жынды көбелектер тұқымдасы.
agentive-physical-object;['кәдімгі қарғакөз'];Кәдімгі қарғакөз – Melanthiaceae тұқымдасы, қарғакөз туысына жататын көп жылдық өсімдік.
agentive-physical-object;['сарыбас шөже'];Сарыбас ШӨЖЕ - шөжелер туысының танымал өкілі.
agentive-physical-object;['дербесжұп', 'дара жібек көбелегі'];Дербесжұп
agentive-physical-object;['фукса саусақтамыры', 'фукс бармақтамыры'];Фукса саусақтамыры
agentive-physical-object;['маубас жапалақша'];Маубас жапалақша
agentive-physical-object;['оңтүстік бұлбұлы', 'оңтүстік бұлбұл'];Оңтүстік бұлбұл - кәдімгі бұлбұлға өте ұқсас құс.
agentive-physical-object;['ақжемсаулы сайрақ', 'turdus torquatus'];Ақжемсаулы сайрақ – қара түсті болғандықтан, қара сайраққа ұқсастау болғанымен, ерекшеленетін құс.
agentive-physical-object;['қойбүлдірген'];Қойбүлдірген
agentive-physical-object;['қараермен'];Қараермен
agentive-physical-object;['құлмақ'];Құлмақ – кенепшөп тұқымдасына жататын шырмалып өсетін қос үйлі өсімдік.
agentive-physical-object;['хош иісті шегіргүл'];Хош иісті шегіргүл
agentive-physical-object;['тарпаң', 'tarpan', 'тарпан'];Тарпаң – жойылып кеткен жабайы жылқы.
agentive-physical-object;['иланг-иланг'];Иланг-иланг - кейде "орхидея майы" немесе "орхидея өтірі" деп аталатын анон тұқым- дасына жататын тропикалық өсімдіктің гүлдері мен майы.
agentive-physical-object;['мимоза', 'acacia dealbata'];Мимоза – Бұршақ тұқымдасына жататын жапырақ тастайтын мәңгі жасыл бұталар.
agentive-physical-object;['аспидистра'];Аспидистра
agentive-physical-object;['жапон мушмуласы'];Жапон мушмуласы - раушангүлділер тұқымдас ағаштар мен бұталар.
agentive-physical-object;['шай бұтағы', 'camellia sinensis'];Шай бұтағы
agentive-physical-object;['остракодермалар'];Остракодермалар — палеонтологияда: денесі бүркеме сүйекшелерден тұратын қатты сауытшамен көмкерілген қарапайым жақсыз омыртқалы жәндіктердің жалпылама атауы. бұрын бұлар балықтар класына жатқызылатын, сондықтан да күні бүгінге шейін остракодермаларды кейде сауытты балықтар деп атайды. соңғы ордовик — девон аралығында тіршілік еткен.
agentive-physical-object;['моатәрізділер'];Моатәрізділер – қырсыз төсті құстардың жойылып кеткен отряды.
agentive-physical-object;['дронт', 'raphus cucullatus'];Дронт - 400-ден астам жыл бұрын, 1598 жылы қанатсыз құс туралы алғашқы зерттелмеген деректер пайда болды.
agentive-physical-object;['стеллер сиыры', 'hydrodamalis gigas', 'теңіз сиыры'];Стеллер сиыры, теңіз сиыры
agentive-physical-object;['археоптерикс', 'archaeopteryx lithographica'];Археоптерикс
agentive-physical-object;['аңтәрізділер', 'synapsida', 'синапсидтер'];Аңтәрізділер немесе Тероморфтар
agentive-physical-object;['архозаврлар', 'archosauria', 'архозавр'];Архозаврлар
agentive-physical-object;['неандерталдықтар', 'һомо неандертал'];Һомо неандертал
agentive-physical-object;['һомо еректус', 'homo erectus', 'һомо эректус'];Һомо Еректус — плейстоценнің алғашқы және орта мезгілінде жасаған Ежелгі адам түрі болып, 2 миллион жыл бұрын алғаш Африкада, сосын басқа өңірлерде тіршілік кеше бастаған.
agentive-physical-object;['жүндес мүйізтұмсық', 'coelodonta antiquitatis', 'rhinoceros antiquitatis', 'түкті мүйізтұмсық', 'coelodonta'];Жүндес мүйізтұмсық
agentive-physical-object;['сагуаро'];Сагуаро – дүниежүзіндегі ең үлкен кактус.
agentive-physical-object;['мурен'];Мурен - жыланбалық тұқымдасы, 80-ге жуық түрі бар..
agentive-physical-object;['мысық', 'felis silvestris catus', 'мысықтар'];Мысық немесе үй мысығы
agentive-physical-object;['сиыр', 'bos primigenius taurus', 'баспақ', 'бұзау', 'ірі қара', 'құнажын'];Сиыр, ірі қара, мүйізді ірі қара — сүтқоректілер класына жататын аша тұяқты, қуыс мүйізді, күйіс қайыратын жануарлар.
agentive-physical-object;['усасыр'];Усасыр - папортник тұқымдасына жататын көп жылдық шөптесін өсімдік.
agentive-physical-object;['еркекқырыққұлақ', 'орляк', 'pteridium'];Еркекқырыққұлақ – кәдімгі қырыққұлақ тұқымдасына жататын көп жылдық шөптесін өсімдіктер туысы.
agentive-physical-object;['қызыл қасқыр', 'cuon alpinus'];Қызыл қасқыр -
agentive-physical-object;['шыршашыл қайшыауыз', 'қайшыауыздар', 'loxia', 'loxia curvirostra'];Қайшыауыздар
agentive-physical-object;['шыршашыл қайшыауыз', 'қайшыауыздар', 'loxia', 'loxia curvirostra'];== Жалпылама ұғым ==
agentive-physical-object;['латимерия', 'ескекқанаттылар'];Латимерия
agentive-physical-object;['аяққанаттылар', 'теңіз шайтаны'];Теңіз шайтандары - қармақшы тәрізділер отрядының тұқымдасы.
agentive-physical-object;['аяққанаттылар', 'теңіз шайтаны'];Аяққанаттылар.
agentive-physical-object;['бас желілілер', 'бас желілер'];Бас желілілер, бас хордалылар – желілілер типі бассүйексіздер тармағының жалғыз класы.
agentive-physical-object;['пілдер', 'піл', 'elephantidae'];Пілдер (лат.
agentive-physical-object;['бауыр сорғышы', 'бауырсорғыш'];Бауыр сорғышы
agentive-physical-object;['ашамүйізді киік', 'antilocapra americana', 'аша мүйізді киік', 'antilocapra', 'айыр мүйіз', 'айырмүйіз'];Ашамүйізді киік немесе Айырмүйіз
agentive-physical-object;['бізбелдік', 'crithmum maritimum'];Бізбелдік
agentive-physical-object;['шыршашөп', 'monotropa hypopitys', 'hypopitys'];Шыршашөп – өзі аттас тұқымдасқа жататын хлорофилсіз, сапрофитті қоректенетін көп жылдық шөптесін өсімдік.
agentive-physical-object;['түйеқұстәрізділер', 'struthioniformes'];Түйеқұстәрізділер – қырсыз төсті құстар тобының бір отряды.
agentive-physical-object;['қант қызылшасы'];Қант қызылшасы — қызылша туысына жататын екі жылдық бағалы техникалық дақыл.
agentive-physical-object;['құбылмалы бахтах'];Құбылмалы форель немесе бахтах – бұл балықтың Отаны – Солтүстік пен Орталық Америка.
agentive-physical-object;['споралылар'];Споралылар — буылтық құрттардың, моллюскалардың, буынаяқтылардың, омыртқалы жануарлардың және адамдардың ішегінде, дене қуысында, қан клеткаларында паразиттік тіршілік ететін бір клеткалы қарапайым жәндіктер.
agentive-physical-object;['оңғақ'];Оңғақ (лат.
agentive-physical-object;['сарыайдар үйрек'];Сарыайдар үйрек
agentive-physical-object;['жалпақтұмсық үйрек', 'жалпақтұмсықты үйрек', 'anas clypeata', 'spatula clypeata'];Жалпақтұмсық үйрек
agentive-physical-object;['ұлулар', 'бауыраяқты ұлу', 'бауыраяқты ұлулар', 'құрсақаяқты ұлу', 'құрсақаяқты ұлулар'];Ұлулар — жұмсақ тәнді жәндіктердің — моллюскалардың бір класы.
agentive-physical-object;['фитофтороз'];Фитофтороз — Phytophthora туысына жататын саңырауқұлақтар қоздыратын өсімдік ауруы.
agentive-physical-object;['жылқышылар туысы'];Жылқышылар туысы
agentive-physical-object;['ақбөкен', 'saiga tatarica', 'ақ бөкен', 'киік'];Ақбөкен, киік
agentive-physical-object;['бөкендер', 'бөкен', 'антилопа'];Бөкендер — қуысмүйізділер тұқымдастарының ішіндегі, күйіс қайыратын сүтқоректілердің көптеген жабайы түрлері.
agentive-physical-object;['дәнді дақылдар', 'астық тұқымдасы'];‎ Дәнді дақылдар – дәні үшін өсірілетін аса маңызды өсімдіктер тобы.
agentive-physical-object;['шабындық бетеге', 'шабыңдық бетеге'];Шабыңдық бетеге
agentive-physical-object;['қаршығарең жапалақ'];Қаршығарең жапалақ
agentive-physical-object;['сұр сандуғаш', 'sylvia communis'];Сұр сандуғаш
agentive-physical-object;['алагүлік'];Алагүлік (лат.
agentive-physical-object;['кәдімгі қараторғай'];Кәдімгі қараторғай
agentive-physical-object;['қараторғай тұқымдастар', 'sturnus vulgaris'];Қараторғай тұқымдастар - сайрағыш торғайлар отряд тармағының торғайтәріздестер отрядына жататын 73 тұқымдастардың біреуі.Олардың атамекені - Африка және тропиктік Азия.Еуропаның Қоңыржай ендігінде бірнеше түрлер ғана кездесед.Бұлар - өте ширақ және қауымдасып өмір сүретін құрлықтық-ағашшыл құстар.Дене мөлшері торғайлардан шауқарға дейінгі шамада.Олар ашық табиғи көріністерде - дала және шөлден тауларға дейін қоныстанады.Сондай-ақ орманды дала және игерілген аудандарда, мәдени көріністі ортада орнығуды ұнатады.Тек қана тұтасқан қалың тоғайларда бұл тұқымдасқа жататын құстардың өкілдері өмір сүрмейді.
agentive-physical-object;['вискаша', 'lagostomus maximus'];Вискаша- салмағы 7 кг тартатын ірі кеміргіш.Пампаста 20-30-дан үрейленіп тіршілік етеді.Інінің аузын кең қылып 200 м-ге дейін ұзындықта қазады.Вискашаның әр ұрпағы оны тереңдетіп,кеңейтіп не ұзартып отырады.Мұндай кезде кіре берісте далаға лақтырылған топырақ үйінділері жатады.Кешқұрым далаға,кәрі еркегі шығып,жүрелеп отырып алып айналасын шола қарайды.Содан кейін ғана калонияның басқа мүшелері шығып,жайылуға кетеді.Олар шөпті,басқа да өсімдіктртерді жейді.Олар жылына бір рет 2-3 баладан табады.
agentive-physical-object;['кезеген кептер', 'ectopistes migratorius'];Кезеген кептер
agentive-physical-object;['кофеұсатқыш'];Кофеұстатқыш.
agentive-physical-object;['қасқыр-өрмекші'];Қасқыр-өрмекші
agentive-physical-object;['құр', 'lyrurus tetrix', 'tetrao tetrix', 'құрлар'];Құр (лат.
agentive-physical-object;['үй қоянқұлағы', 'sansevieria'];Үй қоянқұлағы әрбір мектеп пен балабақшада және жеке үйде де көп өсірілетін гүлдің бірі.
agentive-physical-object;['құрақтұмсықтар', 'құрақтұмсық тұқымдас'];Құрақтұмсық тұқымдасы
agentive-physical-object;['жібеккөбелек', 'жібек көбелегі'];Жібеккөбелек
agentive-physical-object;['қала гравилаты', 'қала шыршайы'];Қала гравилаты
agentive-physical-object;['кеңтанаулы маймылдар'];Кеңтанаулы маймылдар, Америка маймылдары – адам тәрізді маймылдардың жеке бір тобы.
agentive-physical-object;['жазатын машина'];Жазатын машина — мәліметтерді компьютерге енгізу мен оларды қағаз таспаға шығаруға абоненттік бөлімдерде компьютер операторының консолы ретінде пайдаланылатын сыртқы құрылғы.
agentive-physical-object;['мәдени қарабидай', 'secale cereale'];Мәдени қарабидай
agentive-physical-object;['айршир сиыры'];Айршир сиыры – сиырдың сүтті тұқымы.
agentive-physical-object;['қаракөл қойы'];Қаракөл қойы – қозысының елтірісі өте бағалы болатын қой тұқымы.
agentive-physical-object;['герефорд сиыры', 'hereford'];Герефорд сиыры — етті сиырдың бір тұқымы.
agentive-physical-object;['рамбулье'];Рамбулье — етті, биязы жүнді қой тұқымының бір тобы.
agentive-physical-object;['кәдімгі сарыбас жылан', 'natrix natrix'];Кәдімгі сарыбас жылан
agentive-physical-object;['бу машинасы'];Бу машинасы — сығылған су буының потенциалдық энергиясын механикалық жұмысқа түрлендіретін алғашқы поршеньдік қозғалтқыш.
agentive-physical-object;['көк сүңгуір'];Көк сүңгуір
agentive-physical-object;['қара зере'];Қара зере
agentive-physical-object;['бұрышты жалбыз', 'mentha x piperita'];Бұрышты жалбыз немесе кермек жалбыз
agentive-physical-object;['егістік көздәрі', 'anagallis arvensis'];Егістік көздәрі
agentive-physical-object;['стегозаврал'];Стегозаврал – құсжамбасты динозаврлар отрядына жататын, жойылып кеткен бауырымен жорғалаушылар.
agentive-physical-object;['жүк жылқысы'];Жүк жылқысы – жүк тасымалдау үшін арнайы өсірілетін жылқы тұқымы.
agentive-physical-object;['трицератопс', 'triceratops'];Трицераптор — бұдан 72—65 миллион жыл бұрын Бор дәуірінде тіршілік еткен ірі денелі, шөппен қоректенетін динозавр.
agentive-physical-object;['диплодокус', 'diplodocus'];Диплодокус — мойнының ұзындығы 8 метрге жететін шөппен қоректенетін динозавр.
agentive-physical-object;['апатозавр'];Апатозавр — ең ірі жануарлардың бірі.
agentive-physical-object;['люцерн', 'ақсары жоңышқа', 'medicago sativa'];Люцерн (нем.
agentive-physical-object;['люцерн', 'ақсары жоңышқа', 'medicago sativa'];Ақсары жоңышқасы – бұршақ тұқымдасына жататын жоңышқа туысының бір түрі, көп жылдық өсімдік.
agentive-physical-object;['скумбрия'];Скумбрия
agentive-physical-object;['қытай тарысы'];Қытай тарысы
agentive-physical-object;['белдікгүлділер тұқымдасы', 'loranthaceae', 'белдік гүлділер тұқымдасы'];Белдікгүлділер тұқымдасы – қос үйлі, көп жылдық өсімдіктер.
agentive-physical-object;['сүйекті торсылдақтар', 'ostariophysi'];Сүйекті торсылдақтар немесе карп тәрізділер — майшабақтар сияқты карп тәрізділерде қарапайым құрылысты сүйекті балықтар тобы болып есептеледі.
agentive-physical-object;['люси', 'lucy'];Люси – афар австролопитек ұрғашысының қанқасы.
agentive-physical-object;['бабируссалар', 'babyrousa', 'babyrousinae', 'бабирусса'];Бабируссалар
agentive-physical-object;['қоңыз', 'қатты қанаттылар', 'қаттықанаттылар', 'қоңыздар', 'coleoptera'];Қатты қанаттылар, қоңыздар
agentive-physical-object;['мүйізді кесіртке', 'phrynosoma'];Мүйізді кесіртке
agentive-physical-object;['нағыз бақалар', 'құйрықсыз қосмекенділер', 'бақа', 'бақалар'];Нағыз бақалар — қосмекенділер класы құйрықсыздар отрядына жататын тұқымдастар тобы.
agentive-physical-object;['буынаяқтылар', 'arthropoda'];Буынаяқтылар — омыртқасыз жануарлар типі.
agentive-physical-object;['қылша'];Қылша(лат.
agentive-physical-object;['гнулар', 'connochaetes', 'гну'];Гнулар (лат.
agentive-physical-object;['үлкен ақ акула'];Үлкен ақ акула- теңіз бен мұхит жағалауын мекендейтін су жануарларының бірі.
agentive-physical-object;['ақ сұңқар', 'falco rusticolus', 'ақсұңқар'];Ақ сұңқар
agentive-physical-object;['аддакс', 'addax nasomaculatus', 'addax'];Аддакс, ақбөкен-мендес
agentive-physical-object;['су айдаһары'];Су айдаһары
agentive-physical-object;['оңтүстік кит', 'eubalaena'];Оңтүстік кит
agentive-physical-object;['қытайлы шаған жібек құрты', 'samia cynthia'];Қытайлы шаған жібек құрты
agentive-physical-object;['эму', 'dromaius novaehollandiae'];Эму (лат.
agentive-physical-object;['америкалық құмайлар', 'американ құмайлары', 'cathartidae', 'американдық құмай'];Американ құмайлары
agentive-physical-object;['құзғын', 'corvus corax', 'құзғын қарға'];Құзғын (лат.
agentive-physical-object;['казуарлар'];Казуарлар - ірі, үш саусақты, сыртынан қарағанда байқалмайтын шамалы қанаты бар құстар.
agentive-physical-object;['меңіреу құр', 'саңырау құр', 'tetrao urogallus'];Меңіреу құр
agentive-physical-object;['гарпия'];Гарпия- бойы 90 см,салмағы 8 кг болатын ірі құс.
agentive-physical-object;['үлкен панда', 'ailuropoda melanoleuca', 'бамбук аюы'];Үлкен панда, бамбук аюы
agentive-physical-object;['убалдырған', 'conium maculatum'];Убалдырған
agentive-physical-object;['патша кеңалқым жылан', 'кеңалқым патша жылан', 'ophiophagus hannah'];Патша кеңалқым жылан
agentive-physical-object;['қызғыш', 'vanellus vanellus'];Қызғыш (лат.
agentive-physical-object;['ысылдақ үйрек'];Ысылдақ үйрек - Оңтүстік АҚШ-та орманда жабайы үйректерден өсірілген.
agentive-physical-object;['жолбарыс акула', 'жобарыс акула'];Жолбарыс акуласының үстінде жолбарыстың мойндағы қатпары сияқты қатпарлары және жолақтары бар.
agentive-physical-object;['ұзын жүзбеқанатты акула', 'carcharhinus longimanus', 'ақ ұшты мұхит акуласы'];Ұзын жүзбеқанатты акула
agentive-physical-object;['бүркіт', 'aquila chrysaetos'];Бүркіт (лат.
agentive-physical-object;['жайын'];Жайын – жайынтәрізділер отрядына жататын жыртқыш балық.
agentive-physical-object;['мойыл', 'prunus avium'];Мойыл (лат.
agentive-physical-object;['камбала', 'pleuronectes platessa'];Камбала, камбалатәрізділер – сүйекті балықтардың бір отряды.
agentive-physical-object;['ізетші', 'tringa nebularia'];Үлкен Балшықшы немесе Ізетші
agentive-physical-object;['қылғытпа сайрақ', 'turdus viscivorus'];Қылғытпа сайрақ
agentive-physical-object;['камфора ағашы', 'cinnamomum camphora'];Камфора ағашы, камфора лавры – лавр тұқымдасына жататын мәңгі жасыл ағаш.
agentive-physical-object;['манго', 'mangifera indica'];Манго, сумах
agentive-physical-object;['алып қалқаншалылар'];Алып қалқаншалылар
agentive-physical-object;['метасеквойя'];Метасеквойя – Орталық Қытайдың жазық аудандарынан шыққан таксодивтер тұқымдас қылқанды ағаштың сақталынған жалғыз түрі.
agentive-physical-object;['леопард', 'felis pardus', 'panthera pardus'];Леопард (лат.
agentive-physical-object;['жолбарыс', 'panthera tigris'];Жолбарыс (лат.
agentive-physical-object;['барыс', 'алан', 'таутан', 'ілбіс', 'uncia uncia', 'ірбіс'];Басқа мағыналар үшін Барыс деген бетті қараңыз.
agentive-physical-object;['қоңыр аю', 'ursus arctos'];Қоңыр аю (лат.
agentive-physical-object;['финвал киті', 'финвал'];Финвал «майшабақ кит» немесе «жолақ бауыр» деп аталатын, мұртты кит түріне жататын, теңізсүтқоректісі.
agentive-physical-object;['бонго', 'tragelaphus eurycerus'];Бонго (лат.
agentive-physical-object;['арыстан', 'panthera leo', 'арыстандар'];Арыстан (лат.
agentive-physical-object;['орманқунақ'];Орманқунақ - қампайған жуан тұмсықты және құйрығы ұзын, дене мөлшері қараторғайдай ірілеу қунақтың бір түрі.
agentive-physical-object;['балықшы тұйғын', 'pandion haliaetus', 'pandionidae', 'балықшы', 'pandion'];Балықшы тұйғын
agentive-physical-object;['аса ірі акула'];Аса ірі акула
agentive-physical-object;['қаршыға', 'accipiter gentilis'];Қаршыға (лат.
agentive-physical-object;['такин', 'budorcas taxicolor'];Такин- бұқаға ұқсас аң.
agentive-physical-object;['дуадақтар тұқымдасы'];Дуадақтар тұқымдасы
agentive-physical-object;['тайпандар'];Тайпан жыланы
agentive-physical-object;['бұрандамүйізді теке', 'capra falconeri', 'иір мүйіз ешкі'];Бұрандамүйізді теке кейде Мархур
agentive-physical-object;['салпыерін', 'тапир'];Тапир - тақтұяқтылар отрядының бір тұқымдасы.
agentive-physical-object;['қанатсыз маймақ қом'];Қанатсыз маймақ қом
agentive-physical-object;['орангутандар', 'pongo', 'орангутан'];Орангутандар
agentive-physical-object;['бірқазандар', 'бірқазан', 'pelecanus'];Бірқазандар
agentive-physical-object;['семсер құйрық'];Семсер құйрық – теңіз буын аяқтыларының меростома класының бір отряды.
agentive-physical-object;['калан', 'теңіз кәмшаты', 'enhydra lutris', 'enhydra'];Калан, Камчатка құндызы, теңіз құндызы
agentive-physical-object;['шалшықшылар', 'numenius', 'шалшықшы'];Шалшықшылар
agentive-physical-object;['дегелек', 'дегелек тұқымдастар', 'дегелектер', 'ләйлек', 'ciconia'];Дегелек тұқымдастар
agentive-physical-object;['вапити'];Вапити — бұл ақмаралдың бір түрі.
agentive-physical-object;['бұлан', 'бұғы', 'alces alces'];Басқа мағыналар үшін Бұлан деген бетті қараңыз.
agentive-physical-object;['африкалық бизон'];Африка бизоны - қуыс мүйізділер тұқымдасының зубр туысына жататын жабайы сиыр.
agentive-physical-object;['сазан', 'cyprinus carpio'];Басқа мағыналар үшін Сазан деген бетті қараңыз.
agentive-physical-object;['үлкен сұқсыр', 'podiceps cristatus'];Үлкен сұқсыр - Қазақстандағы сұқсыр үйрек туысының 5 өкілінің ішіндегі ең ірісі.
agentive-physical-object;['утіс', 'heloderma suspectum'];Утіс немесе Гиламонстр
agentive-physical-object;['корольдік пингвин', 'aptenodytes patagonicus', 'патшалық пингвин'];Корольдік пингвин —
agentive-physical-object;['бекіре балықтар', 'бекірелер', 'бекіре'];Бекіре балықтар
agentive-physical-object;['алты желбезекті акула'];Алты желбезекті акула
agentive-physical-object;['жабайы өгіз'];† Жабайы өгіз немесе Тур -
agentive-physical-object;['теңіз сүңгуір', 'aythya marila'];Теңіз сүңгуір - айдарлы сүңгуірге ұқсас едәуір ірі денелі сүңгуір үйректердің бірі.
agentive-physical-object;['құндыздар', 'қамшат', 'құндыз', 'castor', 'castoridae'];Құндыздар
agentive-physical-object;['америкалық бизон', 'американ бизоны', 'бизон', 'bison bison', 'жабайы сиыр'];Бизон (лат.
agentive-physical-object;['алып құмырсқажегіш'];Алып құмырсқажегіш
agentive-physical-object;['май балық'];Май балық — теңізде өседі.
agentive-physical-object;['маймаққаздар', 'gavia', 'gaviidae', 'gaviiformes', 'гагара тұқымдастар', 'маймаққазтәрізділер'];Маймаққаздар немесе Гагаралар
agentive-physical-object;['ала бүйі', 'түкті мигаломорф'];Ала бүйі – өрмекшітәрізділер отрядына жататын буынаяқты жәндік.
agentive-physical-object;['сары қараған'];Сары қараған
agentive-physical-object;['кит тәрізді акула', 'нахан акуласы'];Кит тәрізді акула
agentive-physical-object;['өзекті жөке'];Өзекті жөке немесе Ұсақ жапырақты жөке
agentive-physical-object;['наханбастылар'];Наханбастылар - дегелектәрізділер тұқымдасы.
agentive-physical-object;['сона', 'tabanidae'];Сона (лат.
agentive-physical-object;['павиандар', 'павиан'];Павиан (лат.
agentive-physical-object;['семсер балық'];Семсер балық
agentive-physical-object;['суқұзғындар', 'phalacrocorax carbo', 'суқұзғын', 'суқұзғындары', 'қарақаз', 'қарақаздар', 'phalacrocoracidae', 'су құзғындары'];Суқұзғындар, қарақаздар
agentive-physical-object;['ақбас құмай', 'gyps fulvus'];Ақбас құмай
agentive-physical-object;['шырғалақтар туысы'];Шырғалақтар туысы
agentive-physical-object;['самыр', 'bombycilla garrulus'];Самыр (лат.
agentive-physical-object;['альбатростылар'];Альбатростылар дауылпаз тұқымдастары.
agentive-physical-object;['кашалот', 'physeter catodon', 'physeter macrocephalus', 'physeteridae', 'кашалоттар', 'physeter'];Кашалот (лат.
agentive-physical-object;['өркешті кит'];Өркешті кит
agentive-physical-object;['қызыл тал'];Қызыл тал – талдар тұқымдасына жататын ұзындығы 15—20 м үлкен ағаш.
agentive-physical-object;['үлкенаяқты тауықтар', 'megapodiidae', 'қоқсық тауықтары', 'қоқыс тауықтары'];Үлкенаяқты тауықтар, қоқсық тауықтары
agentive-physical-object;['тырду', 'авдоткалылар', 'тырдулар', 'burhinidae', 'burhinus oedicnemus'];Тырду (лат.
