abstract-quality;['personalidade', 'personalidades', 'pessoa', 'temperamento'];Sentir e agir
amount-of-matter;['cádmio', 'cadmio', 'cd', 'elemento 48', 'número atômico 48'];Elemento químico cujo símbolo é Cd
amount-of-matter;['túlio', 'tm', 'elemento 69', 'tulio', 'número atômico 69'];Elemento químico de símbolo Tm.
amount-of-matter;['vanádio', 'v', 'elemento 23', 'vanadio', 'número atômico 23'];Elemento químico cujo símbolo é V
amount-of-matter;['ouro', 'oiro', 'aurífero', 'au', 'elemento 79', 'aurífico', 'aurígero', 'número atômico 79', 'ouro filão', 'ouro nativo'];Um elemento químico
amount-of-matter;['cerume', 'cerúmen', 'cera de ouvido', 'cera do ouvido', 'cera dos ouvidos', 'cera'];A cera do ouvido
amount-of-matter;['hidróxido de sódio', 'soda cáustica', 'naoh', 'naho', 'soda caustica', 'de hidróxido de sódio'];Conhecido por soda cáustica.
amount-of-matter;['cofator', 'co-fator', 'cofactor', 'cofactor enzimático', 'cofactores enzimáticos', 'cofatores', 'co-enzima', 'coenzimas', 'grupo prostético'];Um composto químico de uma enzima.
amount-of-matter;['acrílico', 'poli metacrilato de metilo', 'polimetil metacrilato', 'polimetilmetacrilato', 'vidro acrílico'];Material termoplástico rígido e transparente, também conhecido como "vidro acrílico"
amount-of-matter;['dúbnio', 'dubnium', 'elemento 105', 'dubnio', 'db', 'hálmio', 'hâhnio', 'hahnium', 'número atômico 105'];Um símbolo químico.
amount-of-matter;['érbio', 'erbio', 'elemento 68', 'er', 'número atômico 68'];Um símbolo químico
amount-of-matter;['boro', 'b', 'elemento 5', 'boro-10', 'número atômico 5'];Elemento número 5
amount-of-matter;['óleo essencial', 'óleos essenciais', 'óleos etéreos', 'óleos voláteis', 'óleo volátil', 'erva aromática', 'planta aromática'];Composto aromático extraído de plantas.
amount-of-matter;['cal', 'óxido de cálcio', 'cal viva', 'cal virgem', 'caiação', 'cal calcinado', 'cal queimado', 'fundentes cal', 'resíduo de minerais'];Uma substância branca, pulverizada
amount-of-matter;['cálcio', 'calcio', 'ca', 'elemento 20', 'ciclo do cálcio', 'número atômico 20', 'os iões de cálcio'];Elemento químico
amount-of-matter;['leite', 'leite de vaca', 'proteína do leite', 'sólidos de leite'];O alimento básico produzido pelas fêmeas de mamíferos para alimentar suas crias
amount-of-matter;['bicarbonato de sódio', 'hidrogenocarbonato de sódio', 'saleratus'];Usado como fermento
amount-of-matter;['amálgama de prata', 'amálgama', 'amálgama dental', 'amálgamas dentárias'];Material utilizado pela odontologia em obturações.
amount-of-matter;['histidina', 'histidinas', 'l-histidina'];Um aminoácido
amount-of-matter;['adenosina difosfato', 'difosfato de adenosina'];Um composto químico.
amount-of-matter;['ácido acrílico', 'ácido propenóico', 'propenóico'];Insaturado, de cadeia normal.
amount-of-matter;['álcool', 'álcoois', 'álcool em gel', 'álcool gel', 'álcool primário', 'alcool', 'álcool industrial', 'álcool secundário', 'álcool terciário'];Uma classe de compostos orgânicos
amount-of-matter;['metal', 'metálico', 'propriedades dos metais', 'metais', 'elemento metálico', 'iões metálicos'];Um elemento químico
amount-of-matter;['poliuretano', 'pue', 'poliuretanos'];Um polímero
amount-of-matter;['amida', 'amidas', 'amidação'];Compostos orgânicos com o radical-C (=O) NH 2, mas também pode se referir a derivados de oxiácidos em que o grupo hidroxila-OH é substituído por um grupo amina-NH 2 ou compostos inorgânicos do anião NH 2 -
amount-of-matter;['cloreto de sódio', 'nacl', 'sal da estrada'];O termo químico que define a substância conhecida como "sal".
amount-of-matter;['coca-cola', 'coca cola', 'coca-cola light', 'coca-cola light lemon', 'cocacola', 'diet coke', 'garrafa de coca'];Refresco gaseificado.
amount-of-matter;['propano', 'c3h8', 'gás propano'];Incolor, inodoro e inflamável, é o gás utilizado na cozinha.
amount-of-matter;['bourbon', 'uísque bourbon', 'bourbon whiskey', 'uísque burbom'];Bebida alcoólica estadunidense
amount-of-matter;['armagnacs', 'armagnac', 'facção dos armagnacs', 'partido armagnac', 'partido dos armagnacs'];Partido durante a guerra civil entre Armagnacs e Borguinhões
amount-of-matter;['vinho', 'vinhos', 'zurrapa', 'vino'];Em inglês
amount-of-matter;['tokaji', 'tokaj', 'tokay'];O tipo de vinho produzido nessa região
amount-of-matter;['leite', 'leite de vaca', 'proteína do leite', 'sólidos de leite'];O alimento básico produzido pelas fêmeas de mamíferos para alimentar suas crias
amount-of-matter;['azeite de dendê', 'óleo de palma', 'azeite-de-dendém', 'azeite-de-dendê', 'azeite de dendé', 'azeite-de-palma', 'azeite de palma', 'epô', 'epô pupá', 'óleo de dendê', 'azeite de dende'];No Brasil.
amount-of-matter;['azeite', 'óleo de oliva', 'azeite de oliva', 'oleicultura', 'azeite branco', 'azeite de oliva extra-virgem', 'azeite doce'];Donde originalmente deriva o nome.
amount-of-matter;['matéria', 'substância', 'propriedades da matéria', 'propriedade gerais da materia', 'materia'];Conceito físico.
amount-of-matter;['bloody mary', 'blood mary'];Um coquetel feito com vodca e suco de tomate.
biological-object;['hilo'];Uma fissura ou depressão numa víscera, pela qual entram e saem os elementos vasculares, nervosos e linfáticos.
biological-object;['ponte', 'ponte de valório', 'protuberância', 'pons varolii'];Uma estrutura do tronco encefálico
biological-object;['pata', 'pé', 'patas'];Os membros ou apêndices usados na locomoção dos animais
biological-object;['hipocampo', 'do hipocampo'];Região do cérebro
biological-object;['dedo', 'dígito', 'dedos', 'digíto', 'quirodactilo', 'dedo da mão'];As extremidades dos membros dos mamíferos.
biological-object;['língua', 'lingua', 'porção dorsal', 'porção ventral', 'glossa'];Situado na boca e na faringe.
biological-object;['antagonista', 'músculo antagonista', 'antagonismo muscular', 'inserção'];Músculo necessário para a ação contrária ao movimento provocado pelo músculo agonista.
biological-object;['plexo cervical'];Conjunto de nervos localizados na região cervical.
biological-object;['vaso sanguíneo', 'vaso sangüíneo', 'vascular', 'vasos sanguíneos', 'vasos sangüíneo', 'vasos sangüíneos', 'avascular', 'intravascular'];Respectivamente o sangue e a linfa
biological-object;['mácula lútea', 'mácula', 'mancha', 'macula lutea', 'área macular'];Uma região da retina humana
biological-object;['amígdala', 'amígdala cerebelosa', 'corpo amigdaloide', 'corpo amigdalóide', 'amígdala cerebelar', 'tonsila cerebelar', 'tonsila do cerebelo', 'amygdaloideum corpus'];Localizada no cérebro, faz parte do sistema límbico.
biological-object;['sutura', 'articulação fibrosa', 'ponto', 'sutura craniana', 'suturas cranianas'];Um tipo de articulação rígida entre ossos do crânio.
biological-object;['citrino', 'citrus', 'fruta cítrica', 'citrinos', 'frutas cítricas', 'citrico', 'cítrico', 'cítricos', 'cítrus', 'frutas citrous'];Ordem Sapindales
biological-object;['capilar', 'capilar sanguíneo', 'vaso capilar', 'leito capilar', 'capilares', 'capilar pulmonar', 'capilares pulmonares', 'capilares sanguíneos', 'capilares sangüíneos', 'vasos capilares'];Vaso sanguíneo de pequeníssimo calibre
biological-object;['lamela', 'lâmina', 'brânquias', 'brânquia'];Estrutura presente nos fungos.
biological-object;['bico', 'cúlmen', 'ranfoteca', 'boca', 'culmen', 'gape'];Região das maxilas das aves
biological-object;['noz-de-cola', 'noz de cola'];O fruto das plantas pertencentes ao género Cola
biological-object;['ilhotas de langerhans', 'ilhota de langerhans', 'pâncreas endócrino', 'ilhas pancreáticas', 'ilhéus de langerhans', 'ilhéus pancreáticos', 'ilha pancreática', 'ilhas de langerhans', 'ilhotas pancreáticas'];Grupo de células do pâncreas.
biological-object;['soro', 'sorus'];Algas e fungos, que agrega esporângios
biological-object;['mcintosh'];Uma variedade de maçãs
biological-object;['vulva', 'chavasca', 'chibiu', 'crica', 'pudendo', 'xavasca', 'cona'];Nome popular (palavrão particularmente indecoroso) para designar a vulva.
biological-object;['vigna unguiculata', 'feijão maçácar', 'feijão-careta', 'feijão-chícharo', 'feijão-de-corda', 'feijão-de-frade', 'feijão-frade', 'feijão-macúndi', 'feijão-mancanha', 'feijão-miúdo da china', 'feijão boca preta', 'feijão careta', 'feijão carita', 'feijão corda', 'feijão de macáçar', 'feijão mineiro', 'macunde', 'feijão-fradinho', 'boca-preta', 'boca preta', 'ervilha-de-vaca', 'ervilha de vaca', 'favalinha', 'feijão-alfanje', 'feijão-besugo', 'feijão-carita', 'feijão-carito', 'feijão-caupi', 'feijão-chinês', 'feijão-congo', 'feijão-corda', 'feijão-de-boi', 'feijão-de-macáçar', 'feijão-de-olho-preto', 'feijão-de-vaca', 'feijão-de-vara', 'feijão-frade-comprido', 'feijão-gurutuba', 'feijão-kongo', 'feijão-lagartixa', 'feijão-macáçar', 'feijão-maçácar', 'feijão-mineiro', 'feijão-miúdo', 'feijão-miúdo-da-china', 'feijão-vinha', 'feijão alfanje', 'feijão besugo', 'feijão carito', 'feijão caupi', 'feijão chinês', 'feijão chícharo', 'feijão congo', 'feijão de boi', 'feijão de corda', 'feijão de frade', 'feijão de olho preto', 'feijão de vaca', 'feijão de vara', 'feijão frade', 'feijão frade comprido', 'feijão fradinho', 'feijão gurutuba', 'feijão kongo', 'feijão lagartixa', 'feijão macáçar', 'feijão macúndi', 'feijão mancanha', 'feijão massaca', 'feijão mebauene', 'feijão miúdo', 'feijão miúdo da china', 'feijão mucunha', 'feijão mulato gelato', 'feijão vinha', 'feijãozinho-da-índia', 'feijãozinho da índia', 'macassa', 'macúndi', 'massaca', 'mebauene', 'mucunha', 'mulato-gelato', 'mulato gelato', 'namerrua', 'caupi', 'caupi planta', 'de olhos negros feijão', 'vigna sinensis'];Um tipo de feijão, mais conhecido como feijão-fradinho
biological-object;['maçã', 'quadra', 'maçãs', 'maçã reineta', 'macieira', 'madeira de macieira', 'green apple', 'malus domestica'];A árvore que produz a maçã
biological-object;['cotovelo', 'articulatio cubiti', 'articulação cotovelo', 'articulação cubital', 'articulação do cotovelo', 'cotovelo humano', 'cotovelos', 'cubitus'];Na extremidade superior dos primatas
biological-object;['vértebra cervical', 'vértebras cervicais', 'coluna cervical', 'osso do pescoço'];Vértebra localizada nesta região.
biological-object;['corno', 'chifre'];Parte da anatomia dos animais
biological-object;['dente de leite', 'dente decíduo', 'dentes de leite', 'dente mole', 'dentição de leite', 'dentição decídua', 'molar decíduo', 'dentes decíduos'];Dente que integra a primeira série da dentição humana.
biological-object;['célula-flama', 'solenócito', 'células-flama', 'célula chama'];Tipo de célula excretora
biological-object;['noz de areca', 'noz de betel', 'noz de bétele', 'arecanut', 'noz', 'nozes de betel'];Noz da palmeira de betel.
biological-object;['cérebro', 'encéfalo', 'cérebro dos mamíferos', 'função cerebral'];O centro do sistema nervoso
biological-object;['órbita', 'orbita', 'órbita ocular', 'órbita inferior', 'órbita lateral', 'órbita medial', 'órbita superior', 'cavidade orbital', 'órbita craniana'];Cavidade onde está inserido o olho e outras estruturas
biological-object;['pele', 'pelo', 'tosão', 'pêlos', 'pelagem', 'pelos', 'piliforme', 'pêlo', 'peles'];Grandes. juba.
biological-object;['pé', 'pes', 'pé humano'];Estrutura anatómica humana.
biological-object;['face', 'rosto', 'cara', 'feição', 'fisionomia', 'semblante', 'ária', 'vulto', 'faces', 'rosto humano'];A parte frontal da cabeça
biological-object;['coração', 'coração humano', 'cor', 'cardíaca', 'cardíaco', 'sistema de condução elétrica do coração', 'coraçao', 'coração direito', 'coração esquerdo'];Na expressão "de cor". (Pronúncia: cór)
biological-object;['tíbia', 'antebraço'];Osso da perna nos vertebrados
biological-object;['articulação temporomandibular', 'atm', 'articulação têmporo-mandibular', 'articulatio temporomandibularis', 'mandibular', 'temporomandibular'];Articulação têmporo-mandibular.
biological-object;['folhagem', 'folha', 'folhas', 'folhado', 'folhame', 'folhedo', 'frondosidade', 'ramagem', 'laphi', 'acícula', 'afilo', 'morfologia foliar', 'obovado', 'palmatilobadas', 'tipos de folhas', 'abaxial', 'adaxial', 'cordiforme', 'espatulada', 'folha carnuda', 'folha composta', 'folha inteira', 'folha pinada', 'folha simples', 'forma foliar', 'lanceolada', 'lobada', 'morfologia da folha', 'obovada', 'palmadas', 'palmatilobada', 'palmiformes', 'axila', 'axila foliar', 'axilas', 'bainha da folha', 'crenate', 'folha basal', 'folhas compostas', 'foliar', 'margem da folha', 'nervura central', 'púberes'];Os órgãos das plantas especializados na captação de luz e trocas gasosas com a atmosfera
biological-object;['pénis', 'pênis', 'membro', 'falo', 'penis', 'pene', 'membro viril masculino', 'piça', 'órgão copulador', 'órgão genital masculino', 'caralho', 'penís', 'pinto', 'verga', 'peniana', 'vagina pênis'];Um calão para o pênis.
biological-object;['área de broca', 'giro de broca', 'a área de broca', 'centro de broca', 'convolução de broca'];Parte do cérebro humano.
biological-object;['sistema circulatório', 'sistema cardiovascular', 'corrente sangüínea', 'cardiovascular', 'hemocele', 'sistema circulatorio', 'aparelho circulatório', 'cardiovação', 'hemocélio', 'sistema vascular', 'circulação do sangue', 'cardiopulmonar', 'circulatório', 'hemocelo', 'sistema circulatório aberto', 'sistema sanguíneo', 'vasculatura'];O curso do sangue no corpo dos animais.
biological-object;['fíbula', 'perónio', 'perôneo', 'perônio', 'bezerro osso'];Osso do corpo humano também conhecido como perónio pt ou perônio br
biological-object;['tarso', 'ossos do tarso'];Parte do pé
biological-object;['barrete', 'retículo', 'segundo estômago'];Segunda cavidade do estômago dos ruminantes.
biological-object;['visão', 'visual', 'a olho nu', 'olhar', 'olho nu', 'visão humana', 'sistema visual', 'via visual'];Um dos cinco sentidos dos seres vivos
biological-object;['cálice'];Parte de uma flor
biological-object;['cóclea', 'caracol', 'bula timpânica'];Porção do ouvido interno dos mamíferos também chamado caracol
biological-object;['cabeça', 'céfalo', 'cefálico', 'cabeça e pescoço', 'pescoço', 'cefálica'];Parte do corpo dos animais
biological-object;['siringe', 'syrinx'];A faringe inferior.
biological-object;['cone', 'cones', 'células-cones', 'célula cone', 'cone da retina', 'células cone'];Uma célula do olho humano.
causal-role;['risco', 'perigo', 'cálculo de risco', 'riscos', 'aperto', 'cachopo', 'contratempo', 'debuxo', 'defeito', 'desenho', 'desvantagem', 'esboço', 'estorvo', 'facada', 'inconveniente', 'incómodo', 'lance', 'mal', 'navalhada', 'novidade', 'prejuízo', 'problema', 'raio', 'revés', 'risca', 'transtorno', 'traça', 'traçado', 'ameaça', 'endangerment', 'perigosos', 'risco de segurança'];Um quantificador de factores que se opõem à realização de um objectivo com segurança.
classification-system;['calendário', 'calendários', 'origem do calendário', 'registo cronológico', 'registro cronológico'];Forma de medir o tempo
cognitive-event;['ente federativo', 'estado', 'estado federado', 'unidade federativa', 'ente federado', 'entidade federada', 'entidade federativa', 'estado federativo', 'unidade da federação', 'unidade federada', 'estado federal', 'unidades federativas', 'estaduais', 'estadual', 'unidades da federação'];Uma parte de uma federação
cognitive-event;['complexo de electra'];Cujo nome deriva desta Electra (filha de Agamemnon e Clitemnestra)
cognitive-event;['ciúme', 'ciúmes', 'monstro de olhos verdes'];O sentimento
cognitive-event;['medo', 'receio', 'temor', 'susto', 'pavor', 'terror', 'duna', 'horror', 'miúfa', 'médão', 'espanto', 'temeroso', 'consternação', 'medos'];Sentimento que proporciona um estado de alerta demonstrado pelo receio de alguma coisa
cognitive-event;['educação especial', 'ensino especial', 'escola especial', 'necessidades educativas especiais'];Que ocupa-se do atendimento e da educação de pessoas com deficiência.
cognitive-event;['desprezo', 'desdém', 'escárnio', 'contempto', 'menosprezo'];O sentimento
cognitive-event;['consciência', 'consciência social', 'foro íntimo', 'escrúpulos', 'senso de certo e errado', 'senso moral', 'sentimentalismo', 'teoria do senso moral'];Como a capacidade de reflexão moral do indivíduo.
cognitive-event;['arrependimento', 'mágoa', 'pesar', 'remorso', 'terpena', 'tristeza', 'lamentar', 'ruefulness'];Pela pessoa ter feito uma "burrada".
cognitive-event;['solidão', 'solidao', 'desamparo'];O sentimento
cognitive-event;['sadomasoquismo', 'sadomasoquista', 'masoquista'];Forma de tendência sexual.
cognitive-event;['crédito', 'credor'];Transação financeira com saldo positivo imediato
cognitive-event;['tomada de decisão', 'decisão', 'tomada de decisões', 'processo de tomada de decisão', 'processo de tomada de decisões', 'tomada de resolução', 'processo de decisão', 'decidir', 'processo decisão', 'processo tomada de decisão'];Um processo de administração
cognitive-event;['memória', 'neurofisiologia da memória', 'lembrando', 'memória humana', 'memórias'];Capacidade de mental
cognitive-event;['tédio', 'aborrecimento', 'enfado', 'fastio', 'monotonia', 'apatia', 'tedio', 'chato'];Um sentimento humano descrito como um estado de falta de estímulo, ou do presenciamento de uma ação ou estado repetitivo.
cognitive-event;['empatia', 'empático', 'empatheia', 'empata', 'empática'];A interação entre duas personalidades
cognitive-state;['amnésia', 'amnesia', 'amnésia anterógrada', 'amnésia retrógrada', 'défice de memória', 'hipomnesia', 'síndrome amnésica', 'perda de memória', 'curto prazo perda de memória'];Perda de memória
commerce-role;['bem', 'bens', 'mercadoria', 'artigo', 'commodity', 'género', 'gênero', 'commodities', 'produto de base', 'bem móvel', 'bens de consumo de intermediário', 'bens materiais', 'bens móveis', 'fazenda', 'objecto posto à venda', 'produto', 'bem econômico', 'bom comércio'];Que pode ser movido ou cuja natureza não se altera quando deslocado, como veículos, animais e obras de arte, entre outros, e em oposição aos bens imóveis.
communication-method;['telecinesia', 'telecinésia', 'psicocinese', 'telecinese', 'psicocinesia', 'telecinética', 'telequinesia', 'psi-kappa', 'psicocinética', 'telecinético', 'telecinêse', 'psicocinéticos', 'telecinéticos', 'telekenesis'];Sigla para Telecinésia.
course;['capítulo', 'capítulo geral', 'capítulo provincial', 'capítulo de faltas'];Reunião de membros de uma ordem religiosa
course;['renascimento'];Menos corretamente, reencarnação.
course;['apagão', 'apagão eléctrico', 'apagao', 'blackout', 'corte de energia eléctrica', 'blecaute', 'blecautes', 'apagão de energia', 'corte de energia', 'falha de energia', 'falta de energia', 'queda de energia'];Corte do suprimento de energia elétrica numa região.
course;['maré', 'marés', 'onda', 'água-morta', 'maré alta', 'baixa-mar', 'baixamar', 'efeitos da maré', 'linha de baixa-mar', 'maré-baixa', 'maré baixa', 'o fenómeno das máres', 'preia-mar', 'ciclo das marés', 'de maré'];Em inglês, que remete à idéia de algo relacionado às marés
course;['mimetismo', 'coloração protetora', 'imitação', 'mimético', 'automimicry'];Uma forma de camuflagem
course;['independência', 'estatisticamente independentes', 'independência estatística', 'dependência estatística', 'independente', 'independentes', 'variáveis aleatórias independentes'];Conceito importantíssimo em probabilidade e estatística
dependent-place;['declinação', 'sistema eclíptico de coordenadas', 'lua', 'declinação solar', 'declinação do sol', 'latitude celeste', 'longitude eclíptica', 'sistema coordenadas da eclíptica'];O ângulo que a posição de um astro forma com o plano do equador celeste.
dependent-place;['falha', 'falha geológica', 'fractura', 'fenda', 'fresta', 'quebra', 'fratura', 'falha normal', 'falha tectónica', 'falhas geológicas', 'rima', 'deformação frágil', 'falha deslizamento greve', 'falha do terremoto', 'falha sísmica', 'faultline', 'plano falha', 'transcorrente', 'zona falha'];Uma superfície num volume de rocha onde não se observa deslocamento relativo entre blocos.
dependent-place;['falha', 'falha geológica', 'fractura', 'fenda', 'fresta', 'quebra', 'fratura', 'falha normal', 'falha tectónica', 'falhas geológicas', 'rima', 'deformação frágil', 'falha deslizamento greve', 'falha do terremoto', 'falha sísmica', 'faultline', 'plano falha', 'transcorrente', 'zona falha'];Diz-se da superfície de uma estrutura rochosa em que se observa a ocorrência de uma fratura, com deslocamento relativo do (s) bloco (s) ali formado (s).
dependent-place;['manto', 'páleo', 'cavidade do manto', 'cavidade pallial', 'comprimento manto'];Parte do corpo de alguns moluscos
dependent-place;['falha de santo andré', 'falha de san andreas', 'falha de san andrés'];Falha geológica localizada na Califórnia
dependent-place;['foco', 'focalizar', 'focos'];Ponto de convergência
dependent-place;['nicho'];Em arquitetura, ou
dependent-place;['curral', 'cercado', 'aprisco', 'redil', 'caneta'];Local onde se guardam animais
dependent-place;['declinação magnética', 'variação magnética'];O desvio angular local entre o norte magnético e o norte verdadeiro.
dependent-place;['passo', 'porto', 'passo de montanha', 'desfiladeiro', 'garganta', 'passagem', 'passos de montanha', 'colo', 'passo montanhoso', 'portela', 'colo de montanha', 'porto de montanha', 'bealach', 'passagem de montanha'];Uma depressão entre cumes de montanhas.
dependent-place;['epiderme', 'cume rete', 'eponíquio'];Camada exterior da pele em humanos e outros vertebrados
dependent-place;['cilindro', 'cilindro motor', 'câmara do êmbolo', 'forro molhado'];O local por onde se desloca um pistão
ecological-collective;['mundo', 'humanidade', 'homem', 'altruísmo', 'filantropia', 'humanos', 'raça humana', 'seres humanos', 'espécie humana', 'geração', 'povo', 'no mundo'];Incluindo a Terra
ecological-collective;['fauna', 'fauna bravia'];Subconjunto de animais de um bioma, ou de toda a biota
ecological-collective;['planta', 'flora', 'plantae', 'espécies vegetais', 'vida das plantas', 'floras', 'classificação das plantas', 'plantas', 'reino plantae', 'vegetal', 'controle das plantas', 'metaphita', 'metaphyta', 'metáfita', 'reino metaphyta', 'reino vegetal', 'vegetais', 'vegetais verdes', 'vida vegetal', 'espécies de plantas'];Conjunto das espécies de plantas
ecological-collective;['floresta', 'bosque', 'madeira', 'wälder', 'florestas', 'arvoredo silvestre', 'canópia', 'copa', 'dossel', 'dossel florestal', 'estrato arbóreo', 'mata', 'floresta natural', 'madeiras', 'matas', 'selva', 'arborizada', 'floresta de coníferas', 'florestas de coníferas'];Tipo de vegetação
event;['bocca chiusa', 'boca chiusa', 'zumbido', 'hum'];Técnica vocal
event;['campanha eleitoral', 'campanha', 'campanha política', 'campanhas eleitorais', 'a campanha política', 'campanha presidencial', 'campanhas políticas'];Série de ações que têm por objetivo obter votos para um determinado candidato a um cargo político
event;['coquetel', 'cocktail'];Um evento social
event;['golpe de aríete', 'golpe de ariete', 'martelo de água'];Conceito de mecânica de fluidos
event;['diaspora', 'diaspora*'];Dan Grippi, Max Salzberg e Raphael Sofaer.
event;['noé', 'dilúvio bíblico', 'nooh', 'nu', 'nuh'];Heroi bíblico responsável pela construção da Arca de Noé, segundo passagens da Bíblia.
event;['jogos olímpicos', 'olimpíadas', 'olimpíada', 'parque olímpico', 'categoria:jogos olímpicos', 'anos que já ocorreram jogos olímpicos', 'historia das olimpiadas', 'jogos olimpicos', 'jogos olímpicos de', 'jogos olímpicos de verão', 'modalidades olímpicas', 'olímpicos', 'símbolos olímpicos', 'jogos olímpicos modernos', 'os jogos olímpicos'];Em geral, a qualquer tipo de olimpíada, como por exemplo, as Olimpíadas Portuguesas de Matemática ou a Olimpíada Brasileira de Informática
functional-matter;['éter', 'quintessencia', 'quintessência'];O suposto quinto elemento, existente entre a Terra e o Sol.
functional-matter;['pita', 'pitídeos', 'pão pita', 'pão sírio', 'pão de bolso'];Tipo de pão muito utilizado na culinária do Médio Oriente
functional-matter;['banana split'];Tipo de sobremesa
functional-matter;['veronal', 'barbital', 'barbitona', 'derivado do ácido barbitúrico', 'diethylmalonylurea', 'ácido diethylbarbituric'];Sedativo e sonífero do grupo dos barbitúricos
functional-matter;['anil', 'índigo', 'indigotina', 'indigo', 'corante índigo'];Corante de fórmula C 16 H 10 O 2 N 2
functional-matter;['turquesa'];Um mineral de cor azul
functional-matter;['carvão vegetal', 'carvão', 'queima de carvão'];Como madeira.
functional-matter;['anfetamina', 'meta', 'anfetaminas', 'efeitos adversos da anfetamina', 'pílula pep', 'velocidade'];Nome popular da droga Anfetamina
functional-matter;['saliva', 'cuspe', 'cuspo'];Secreção expelida pelas glândulas salivares.
functional-matter;['tartan', 'tartã', 'tartan do clã', 'tartans', 'xadrez'];Tipo de tecido com padrão quadriculado, também conhecido por xadrez
functional-matter;['agar-agar', 'ágar-ágar', 'agar agar', 'agarose', 'agarófita', 'agár', 'ágar', 'agar'];Substância extraída de algas marinhas.
functional-matter;['éter etílico', 'éter', 'éter dietílico', 'dietil éter', 'etóxietano', 'etoxietano', 'éter divinílico', 'éter vinílico'];Um substância química.
functional-matter;['giz', 'cré', 'greda', 'greda branca'];Uma rocha sedimentar constituída essencialmente por carbonato de cálcio
functional-matter;['fenciclidina', 'fenilciclidina', 'pó de anjo', 'cicloexilpiperidina', 'drogas pcp', 'fenilciclo-hexilpiperidina', 'fenilcicloexilpiperidina', 'fenilciclohexilpiperidina', 'hog', 'pcp', 'peace pill', 'cloridrato de fenciclidina'];Substância anestésica
functional-matter;['massa', 'pasta', 'massa de pão'];A exemplo o macarrão
functional-matter;['âmbar', 'alambre', 'karabe', 'ambar'];Uma resina fóssil
functional-matter;['agente laranja', 'agent orange'];Herbicida desfolhante usado pelo exército norte-americano na Guerra do Vietnã
functional-matter;['vela', 'pano latino', 'pano redondo', 'superfície vélica', 'força vélica', 'área vélica', 'velas'];As velas de uma embarcação são chamadas pano
functional-matter;['lã de aço', 'palha de aço', 'esponja de aço', 'bombril'];Utensílio para limpeza doméstica
functional-matter;['topázio', 'topazio'];Empresa industrial Portuguesa de produção e comércio de objectos decorativos em prata. -LSB- http://www.Topazio.pt Topazio.pt -RSB-
functional-matter;['charuto', 'cigarro', 'puro', 'tabaco', 'charuto cubano', 'charutos', 'charutos cubanos', 'fabricante de charutos'];Um rolo alongado de folhas de tabaco para se fumar.
functional-matter;['jade', 'jade nephrite', 'jadestone'];Compactos e esverdeados.
functional-matter;['coquetel', 'cocktail', 'drink', 'livro de receitas/bebidas com álcool', 'coquetéis'];Usualmente alcoólicas
functional-matter;['palito', 'palito de dentes', 'palito de dente', 'palitos'];Usualmente de madeira, que são utilizadas para os mais diversos fins, como palitar os dentes, por exempo
functional-matter;['leite', 'leite de vaca', 'proteína do leite', 'sólidos de leite'];O alimento básico produzido pelas fêmeas de mamíferos para alimentar suas crias
functional-matter;['metanfetamina', 'metanfetaminas', 'c10h15n', 'crystal meth', 'ice', 'metamfetamina', 'n-metil-anfetamina', 'methedrina', 'cloridrato de metanfetamina', 'deoxyephedrine', 'desoxyn', 'dextromethamphetamine', 'metanfetamina cristal', 'meth', 'pervitin', 'shabu'];Droga também conhecida como "cristal"
functional-matter;['piquenique', 'pique-nique', 'convescote', 'pic-nic', 'pick-nick', 'picnic', 'piqueniques', 'picnicing', 'picnicing e', 'picnick'];Como um lanche ou almoço.
functional-matter;['citrino', 'citrus', 'fruta cítrica', 'citrinos', 'frutas cítricas', 'citrico', 'cítrico', 'cítricos', 'cítrus', 'frutas citrous'];Ordem Sapindales
functional-matter;['ocre', 'ocra', 'ocre vermelho', 'ochraceous'];A cor
functional-matter;['bolacha', 'biscoito', 'cookie', 'biscoitos'];Usualmente feitos de de farinha de trigo ou maisena, podendo ser doces ou salgados
functional-matter;['cloreto de sódio', 'nacl', 'sal da estrada'];O termo químico que define a substância conhecida como "sal".
functional-matter;['omelete', 'fritada', 'omeleta', 'omoleta', 'omolete', 'omeletes'];Alimento feito com ovos batidos.
functional-matter;['coca-cola', 'coca cola', 'coca-cola light', 'coca-cola light lemon', 'cocacola', 'diet coke', 'garrafa de coca'];Refresco gaseificado.
functional-matter;['propano', 'c3h8', 'gás propano'];Incolor, inodoro e inflamável, é o gás utilizado na cozinha.
functional-matter;['lepidium sativum', 'mastruço', 'agrião-da-índia', 'agrião-de-jardim', 'agrião-mouro', 'agrião de jardim', 'mastruço-ordinário', 'mastruço ordinário', 'agrião', 'jardim agrião'];Também designado de mastruço.
functional-matter;['bourbon', 'uísque bourbon', 'bourbon whiskey', 'uísque burbom'];Bebida alcoólica estadunidense
functional-matter;['armagnacs', 'armagnac', 'facção dos armagnacs', 'partido armagnac', 'partido dos armagnacs'];Partido durante a guerra civil entre Armagnacs e Borguinhões
functional-matter;['mcintosh'];Uma variedade de maçãs
