abstract-region;['бином'];Бином, эки мүчө — алгебралык эки туюнтманын суммасы же айырмасы.
amount-of-matter;['лоуренсий'];Лоуренсий (лат.
amount-of-matter;['плутоний', 'pu'];Плутоний, Pu – элементтердин мезгилдик системасынын III тобундагы радиоактивдүү химиялык элемент.
amount-of-matter;['резерфордий'];Резерфордий
amount-of-matter;['берклий', 'bk'];Берклий, (лат.
amount-of-matter;['калифорний'];Калифорний (лат.
amount-of-matter;['фермий'];Фермий, – Д.И.Менделеев мезгилдик системасы 7-мезгилинин IIIВ группа элементи.
amount-of-matter;['америций', 'am'];Америций
amount-of-matter;['нептуний'];Нептуний
amount-of-matter;['кюрий', 'cm'];Кюрий (лат.
amount-of-matter;['рений', 're'];Рений, Re – элементтердин.
amount-of-matter;['рутений', 'ru'];Рутений, Ru – элементтердин мезгилдик системасынын VIII тобундагы химиялык элемент, платина металлдарына кирет.
amount-of-matter;['галлий', 'ga'];Галлий
amount-of-matter;['индий', 'in'];Индий
amount-of-matter;['камфора'];Камфора, С10Н16О – терпендер катарындагы кетон.
amount-of-matter;['кальций карбонаты'];Кальций карбонаты, СаСО3 – көмүр к-тасынын кальций тузу, кристалдык зат, кристаллогидратты пайда кылат.
amount-of-matter;['магний сульфаты'];Магний сульфаты, MgSO4 – түссүз кристалл, 1010оС чейин кристаллдык торчосу ромб түрүндөгү, тыгызд.
amount-of-matter;['карбонаттар', 'карбонаттар —'];Карбонаттар — көмүр к-тасынын туздары.
amount-of-matter;['изоцианаттар'];Изоцианаттар, жалпы формуласы RN=C=O болгон бирикмелер.
amount-of-matter;['нитраттар'];Нитраттар – азот кислотасынын туздары, түссүз кристалл заттар.
amount-of-matter;['пальмитин кислотасы'];Пальмитин кислотасы С15Н31СООН, мол.
amount-of-matter;['протактиний'];Протактиний
amount-of-matter;['алюминий', 'al'];Алюминий (лат.
amount-of-matter;['калай', 'sn'];Калай (лат.
amount-of-matter;['иттрий', 'y'];Иттрий (лат.
amount-of-matter;['натрий', 'na'];Натрий, Na,– Д.И.Менделеев мезгилдик системасы IА группа элементи. к.н.
amount-of-matter;['мономерлер'];Мономерлер (моно жана гр.
amount-of-matter;['моносахариддер'];Моносахариддер — гидролиз реакциясына кирүүгө жөндөмсүз болгон углеводдор негизги тобун түзгөн органикалык бирикмелер.
amount-of-matter;['альбуминдер'];Альбуминдер – жаратылышта кенен тараган, сууда жакшы эрүүчү, глобулалуу белоктор.
amount-of-matter;['палладий', 'pd'];Палладий,– Д.И.Менделеев мезгилдик системасы 5-мезгилинин VIIIВ группа элементи, платина металлдары тобуна кирет, к.н.
amount-of-matter;['кадмий', 'cd'];Кадмий (лат.
amount-of-matter;['ниобий', 'cb', 'nb'];Ниобий
amount-of-matter;['таллий'];Таллий,– Д.И.Менделеев мезгилдик системасы IIIА группа элементи, к.н.
amount-of-matter;['коргошун', 'pb'];Коргошун, РЬ — элементтердин мезгилдик системасынын IV тобунан орун алган химиялык элемент, атомдук номери 82, атомдук массасы 207,19.
amount-of-matter;['цезий', 'cs'];Цезий,– Д.И.Менделеев.
amount-of-matter;['литий', 'li'];Литий (лат.
amount-of-matter;['барий', 'ba'];Барий (лат.
amount-of-matter;['рубидий', 'rb'];Рубидий, Д.И.Менделеев мезгилдик системасы IА группа элементи. к.н.
amount-of-matter;['прометий', 'pm'];Прометий,– Д.И.Менделеев мезгилдик системасы 6-мезгилинин IIIВ группа элементи.
amount-of-matter;['тулий', 'tm'];Тулий, – Д.И.Менделеев мезгилдик системасы 6-мезгилинин IIIВ группа элементи.
amount-of-matter;['иттербий', 'yb'];Иттербий (лат.
amount-of-matter;['ванадий', 'v'];Ванадий - V элементтердин мезгилдик системасынын V тобундагы химиялык элемент. ат. н.
amount-of-matter;['торий'];Торий, – Д.И.Менделеев мезгилдик системасы 7-мезгилинин IIIВ группа элементи.
amount-of-matter;['күмүш', 'ag', 'аg'];Күмүш (лат.
amount-of-matter;['алтын'];Алтын (лат.
amount-of-matter;['кулку'];Кулку — теринин май бездери бөлүп чыгарган заттан жана теринин өлүк клеткаларынан турган өзгөчө кошулма.
amount-of-matter;['празеодим', 'pr'];Празеодим, – Д.И.Менделеев мезгилдик системасы 6-мезгилинин 8-катарынын IIIB группа элементи.
amount-of-matter;['натрий гидроксиди'];Натрий гидроксиди, щелочтуу натрий, NaOH – бөлмө темп-расында туруктуу түссүз кристалл, тыгызд.
amount-of-matter;['күкүрттүү суутек'];Күкүрттүү суутек, Н2S — күкүрт менен суутек бкрикмсси. түссүз, сасыган жумуртка жыттанган уулуу газ.
amount-of-matter;['пластилин'];Пластилин – скульптуралык жабыштырып жасоо үчүн пайдаланылуучу материал, ажайып кошундудагы жумшак ийкемдүү масса.
amount-of-matter;['кремний', 'si'];Кремний,– Д.И.Менделеев мезгилдик системасы IVА группа элементи, к.н.
amount-of-matter;['күкүрттүү көмүртек'];Күкүрттүү көмүртек CS2 – түссүз, учма суюктук.
amount-of-matter;['күкүрттүү ангидрид', 'so2'];Күкүрттүү ангидрид, күкүрт оксиди, SО2 — 4 валенттүү күкүрт менен кычкылтек бирикмеси. күкүрттү абада же кычкылтекте күйгүзгөндө пайда болот.
amount-of-matter;['селен', 'se'];Селен,– Д.И.Менделеев мезгилдик системасы VIА группа элементи. к.н.
amount-of-matter;['иприт'];Иприт, S2, алифаттык тиоэфир, сарымсак жыттуу, түссүз, май сымал суюктук . мол.
amount-of-matter;['фенол'];Фенол C6H5OH — антисептикалык каражаттардын бири.
amount-of-matter;['гликол кислотасы'];Гликол кислотасы, оксиуксус к-тасы, НО-СН2-СООН – эң жөнөкөй алифаттык оксик-та.
amount-of-matter;['сиборгий'];Сиборгий– Д.И.Менделеев мезгилдик системасы 7-мезгилинин VIВ группа элементи. к.н.
amount-of-matter;['дубний'];Дубний (лат.
amount-of-matter;['диспрозий', 'dy'];Диспрозий
amount-of-matter;['гольмий', 'ho'];Гольмий (лат.
amount-of-matter;['эрбий', 'er'];Эрбий,– Д.И.Менделеев мезгилдик системасы 6-мезгилинин IIIВ группа элементи.
amount-of-matter;['лютеций', 'lu'];Лютеций
amount-of-matter;['бор', 'b'];Бор чөкмө тоотек. акиташ тегинин бир түрү.
amount-of-matter;['мышьяк', 'as'];Мышьяк
amount-of-matter;['суутек өтө кычкылы'];Суутек өтө кычкылы — антисептикалык каражаттардын бири.
amount-of-matter;['пантотен кычкылы', 'витамин в5'];Пантотен кислотасы зат алмашуу процессинде маанилүү роль ойнойт.
amount-of-matter;['синил кислотасы'];Синил кислотасы, суутек цианиди к-тасы, НСN ачуу бадам жыттанган түссүз суюктук. кайноо t 25,7°С, балкып эрүү t 13,3°С, тыгызд.
amount-of-matter;['меламин'];Меламин, 3540С ажыроо менен эрийт. сууда жана орг.
amount-of-matter;['кальций оксиди', 'акиташ'];Кальций оксиди, өчүрүлбөгөн акиташ, СаО- кальций менен кычкылтек бирикмеси, тыгызд 3,4 г/см3, ак түстөгү зат.
amount-of-matter;['калий бромиди'];Калий бромиди, КВг — түссүз кристалл, эрүү t 730°С, 100 г сууда 0°С 54,0 г эрийт.
amount-of-matter;['бензой кислотасы'];Бензой кислотасы, С6Н5СООН – эң жөнөкөй ароматтык к-та, түссүз, жалтырак кристаллдар, мол.
amount-of-matter;['нафталин'];Нафталин (гр.
amount-of-matter;['мальтоза'];Мальтоза [4--D-глюкоза, угут канты], С 12Н22О11 . мол.
amount-of-matter;['родий', 'rh'];Родий,– Д.И.Менделеев мезгилдик системасы 5-мезгилинин VIIIВ группа элементи, платин а металлдар тобуна кирет, к.н.
amount-of-matter;['кальций', 'ca'];Кальций
amount-of-matter;['сүт', 'сүт,'];Сүт — бул сиңимдүү суусундук.
amount-of-matter;['бор кислотасы'];Бор кислотасы – орто бор к-тасы, Н3ВО3 күчсүз к-та.
amount-of-matter;['кремний кош оксиди'];Кремний кош оксиди, кремнезём, кремний ангидриди, SiO2 — кремний менен кычкылтек бирикмеси.
amount-of-matter;['натрий цианиди'];Натрий цианиди, NaCN – балкып эрүү t 563оС, кайноо t 1497оС, сууда эрийт, спиртте начар эрийт.
amount-of-matter;['литий карбонаты'];Литий карбонаты, Li2СО3 - түссүз кристалл, балкып эрүү t 732°С,, тыгызд.
amount-of-matter;['титан оксиддери'];Титан оксиддери – титан менен кычкылтек бирикмелери.
amount-of-matter;['кальций сульфаты'];Кальций сульфаты, СаSO4.
amount-of-matter;['калий карбонаты'];Калий карбонаты, шакар, К2СО, — түссүз кристалл, балкып эрүү t891°С. Салыштырмалуу тыгызд.
amount-of-matter;['аммоний хлориди'];Аммоний хлориди нашатырь, NH4СI – түссүз кристалл.
amount-of-matter;['лантан', 'la'];Лантан
amount-of-matter;['скандий', 'sc'];Скандий,– Д.И.Менделеевдин мезгилдик системасы IIIВ группа элементи.
amount-of-matter;['неодим', 'nd'];Неодим, Д.И.Менделеев мезгилдик системасы 6-мезгилинин IIIВ группа элементи.
amount-of-matter;['көмүртек', 'углерод', 'c'];Көмүртек (лат.
amount-of-matter;['күкүрт', 's'];Күкүрт
amount-of-matter;['ортофосфор кислотасы'];Ортофосфор кислотасы, Н3PO4 – өң-түссүз кристаллдар, эрүү температурасы – 42о.
amount-of-matter;['кымыз'];Кымыз
amount-of-matter;['никотин'];Никотин – тамекинин жалбырагы менен уругунда таанылган жана башка өсүмдүктөрдө кездешүүчү уу алкалоиддердин бири.
amount-of-matter;['коло'];Коло — негизинен жезден турган 12% калай кошулган эритме.
amount-of-matter;['чоюн'];Чоюн — көмүртек кошундусу бар темирдин эритмеси, ушундай кошундусу бар катуу, ийилчээк эмес оор темир.
amount-of-matter;['валин'];Валин, 2СНСНNH2СООН – мол.
amount-of-matter;['глутамин кислотасы'];Глутамин кислотасы – дикарбон аминк-тасы НООС-СН2-СН2-СН-COOH. мол.
amount-of-matter;['холестерин'];Холестерин — сероид тобундагы түссүз, жакшы кристаллдашуучу зат.
amount-of-matter;['антитоксиндер'];Антитоксиндер — микроорганизмдердин, өсүмдүктөрдүн жана жаныбарлардын ууларын зыянсыздандыруучу өзгөчө заттар.
amount-of-matter;['мастика'];Мастика
amount-of-matter;['изолейцин'];Изолейцин (2-амин-3-метилпентан к-тасы, 2-амин-3-метилвалериан к-тасы,
amount-of-matter;['углеводдор', 'көмүрсуу'];Көмүрсуулар, Углеводдор — табиятта кеңири тараган, бардык тирүү организмдердин түзүлүшүнө кирип, алардын жашоосуна өтө керектүү органикалык кошулмалар.
amount-of-matter;['глицериддер'];Глицериддер – глицерин жана орг.
amount-of-matter;['кремний карбиди'];Кремний карбиди, карборунд, SiС —кремний менен көмүртек бирикмеси, техникада колдонулган эң керектүү карбиддин бири.
amount-of-matter;['пероксиддер'];Пероксиддер – өз ара түздөн-түз байланышкан кычкылтек атому бар химимялык бирикмелер.
amount-of-matter;['радий'];Радий, – Д.И.Менделеев мезгилдик системасы IIА группа элементи. к.н.
amount-of-matter;['ис газы', 'co'];Ис газы түрдүү күйүүчү заттардын толук эмес күйүүсүнөн бөлүнүп чыгат. түссүз, жытсыз, ууктуруучу касиетке ээ.
amount-of-matter;['нитробензол'];Нитробензол, С6Н5NО2 – ароматтык нитробирикмелер эң жөнөкөй өкүлү.
amount-of-matter;['карбон кислоталары'];Карбон кислоталары – мол-сында карбоксил – СООН топтору бар бирикмелер.
amount-of-matter;['вольфрам кислоталары'];Вольфрам кислоталары – вольфрам үч оксидинен алынуучу к-талар.
amount-of-matter;['май кислотасы'];Май кислотасы CH3CH2CH2COOH – түссүз суюктук, эрүү t -5,26о . кайноо t 163,2 о . d 204 0,9577. n20Д 1,398. суу орг.
amount-of-matter;['терпендер'];Терпендер — молекулалары изопрендик звенодон түзүлгөн, жалпы формуласы 2+n болгон углеводород.
amount-of-matter;['акрил кислотасы'];Акрил кислотасы – пропен к-тасы, түссүз кескин жыттуу суюктук, мол.
amount-of-matter;['бром кислотасы'];Бром кислотасы, HBrO3 - бир негиздүү орг.
amount-of-matter;['оксикислоталар'];Оксикислоталар – молекула курамында гидроксил жана карбоксил топторун кармап жүргөн органикалык бирикмелер.
amount-of-matter;['хлориддер'];Хлориддер — хлор кычкылтек, фтордон башка бардык металлдар жана металл эместер менен бирикмлери.
amount-of-matter;['оксимдер', 'оксим'];Оксимдер – альдегид жана кетон менен гидроксиламин аракеттенишүүсүнөн пайда болгон бирикмелер.
amount-of-matter;['лантаноиддер'];Лантаноиддер
amount-of-matter;['кальций гипохлорити'];Кальций гипохлорити, Ca2 – түссүз кристаллдык зат.
amount-of-matter;['асыл металлдар'];Асыл металлдар - дат баспаган, жаратылышта сейрек кездешүүчү металлдар.
amount-of-matter;['пентозалар'];Пентозалар – мол-сында беш көмүртек жана беш кычкылтек атомдору бар моносахариддер.
amount-of-matter;['май кислоталары', 'май кислоталары -'];Май кислоталары - каныккан жана каныкпаган болуп өз ара бөлүнүшөт.
amount-of-matter;['полисахариддер'];Полисахариддер – гидролиз реакциясына кирип, олигосахариддерди жана моносахариддерди пайда кылуучу ири мол.
amount-of-matter;['альдегиддер'];Альдегиддер [(лат.
amount-of-matter;['кетондор'];Кетондор — углеводороддун эки радикалы, менен байланышкан карбонил Радикал жаратылышына жараша алифаттык.
amount-of-matter;['канифоль'];Канифоль – ачык сары түстөн кочкул күрөң түскө чейинки айнек сымал морт зат.
amount-of-matter;['өсүмдүк майлары', 'өсүмдүк майы'];Өсүмдүк майлары — өсүмдүктөр уругунан же мөмөсүнөн сыгып же экстракция ыкмасы менен алынган майлар, табигый продукт.
amount-of-matter;['белок'];Белок — организмдин түзүлүшүндө жана тиричилигинде негизги роль ойноочу биологиялык полимер.
amount-of-matter;['алкоголяттар'];Алкоголяттар — спирттер гидроксил тобундагы суутек атому металлдар менен орун алмашуусунан пайда болгон туз сыяктуу орг.
amount-of-matter;['дисахариддер'];Дисахариддер – гликозиддик байланыш менен байланышкан 2 моносахариддин калдыгынан турган олигосахариддер.
amount-of-matter;['металлдар'];Металлдар (гр.
amount-of-matter;['олигосахариддер'];Олигосахариддер - мол.
amount-of-matter;['галогендер'];Галогендер (гр.
amount-of-matter;['инерттүү газдар', 'асыл газ'];Инерттүү газдар - мезгилдик системанын VIII группа хим.
amount-of-matter;['химиялык элемент'];Химиялык элемент — ядро заряды жана электрондук катмарлары бирдей атомдор тобу.
amount-of-matter;['крезол'];Крезол, метилфенол, гидроокси-толуол, СН5-С6Н4-ОН — жагымсыз жыттуу суюктук.
amount-of-matter;['нуклеин кислоталары', 'aaуклеин кислоталары'];Нуклеин кислоталары, полинуклеотиддер – табиятта кеңири таралып, нуклеотиддерден турган биологиялык активдүү биополимерлер.
amount-of-matter;['сапониндер'];Сапониндер
amount-of-matter;['арак', 'arak'];Арак — ачыган сүттөн же кымыздан тартылган алкогол ичимдиги.
amount-of-matter;['пектиндер'];Пектиндер (гр.
amount-of-matter;['щелочтор', 'негиздер'];Щелочтор — сууда жакшы эрий турган негиздер.
amount-of-matter;['липид', 'липиддер'];Липиддер — бардык тирүү клетканын составына кирип, тиричиликте маанилүү роль ойногон май сыяктуу заттар.
amount-of-matter;['натрий хлориди'];Натрий хлориди, кайнатма туз, NaCl – түссүз кристалл, тыгызд.
amount-of-matter;['амин кычкылдыктары', 'амин кислоталары', 'аминокислоталар'];Аминокислоталар — курамында карбоксиль жана амин топтору бар органикалык кислоталар.
amount-of-matter;['хлоропрен'];Хлоропрен — 2-хлорбутадиен-1,3, СН,=СН-СС1=СН2 — кескин жыттуу түс-сүз суюктук: эрүү t -130°С. кайноо 159,4°С. тыгызд.
amount-of-matter;['пиво', 'сыра'];Э́дсон Ара́нтес до Насиме́нто (порт.
amount-of-matter;['көп жылдык тоң', 'permafrost', 'түбөлүк тоң'];Көп жылдык тоң – жер бетинин үстүнкү борпоң же жаракалуу чулу тоо тектеринин туруктуу терс температуранын таасири астында пайда болгон тоң кыртышы.
amount-of-matter;['сүт', 'сүт,'];Сүт — бул сиңимдүү суусундук.
amount-of-matter;['алкалоиддер'];Ак шишик — организмдин тканы менен көңдөйүнө суюктуктун ашыкча чогулушу.
amount-of-matter;['майлар'];Майлар – бир негиздүү ири молекулалык май кислоталары менен глицериндин татаал эфирлери.
amount-of-matter;['полимерлер'];Полимерлер (гр.
amount-of-matter;['анилин'];Анилин, аминбензол, фениламин, – эң жөнөкөй арил амини.
amount-of-matter;['нитриттер'];Нитриттер – азоттуу – нитрит к-танын НNО2 туздары, түссүз кристаллдар, нитраттарга караганда жогорку темп-рага туруксузураак.
amount-of-matter;['материя'];Материя – адамдын аң-сезимине жана эркине көз карандысыз жашап турган объективдүү дүйнө, болмуштун негизи.
amount-of-matter;['гликоген'];Гликоген, жаныбар крахмалы n – киши жана жаныбарлар организминдеги запастык полисахарид, ал крахмалдуу өсүмдүктө запастык азык зат ролун ойнойт.
amount-of-matter;['ионосфера'];Ионосфера – 75 кмден 1000 кмге чейинки Жер атмосферасынын иондошкон калың катмары.
amount-of-matter;['графит'];Графит
amount-of-matter;['азот кислотасы'];Азот кислотасы HNO3 – бир негиздүү күчтүү к-та.
amount-of-matter;['натрий нитрити'];Натрий нитрити, NaNO2 – саргыч же ак түстөгү кристалл, тыгызд.
amount-of-matter;['минералдуу суулар', 'минерал суу'];Минералдуу суулар — составында тузу, газы, органикалык заттары көп жана өзгөчө касиеттерге ээ болгондуктан дарылык максатта пайдаланылуучу жаратылыш суулары.
amount-of-matter;['жер', 'топурак'];′′′Жекшемби′′′ - аптанын акыркы, жетинчи күнү.
amount-of-matter;['барий гидроксиди'];Барий гидроксиди щелочь, Ва2 – кадимки абалда эрийт.
biological-object;['диафрагма'];Диафрагма (биологияда) (гр.
biological-object;['муун'];Муун — сөөктөрдүн бири-бири менен кыймылдуу биригиши.
biological-object;['перистом'];Перистом (гр.
biological-object;['вена системасы', 'кан тамыр', 'веналар'];Вена системасы - дененин ар кайсы бөлүктөрүнөн жана өпкөдөн жүрөккө кан алып келүүчү кан түтүкчөлөрү.
biological-object;['артериялар', 'артерия'];Артериялар —
biological-object;['нейрон'];Нейрон, — нерв тканынын негизин түзүүчү бөлүкчө.
biological-object;['гипокамп'];Гипокамп же алгачкы кыртыш — омурткалуулардын мээсиндеги жуптуу нерселер, алар арка кортекстин негизги бөлүгүн түзөт.
biological-object;['тарамыш', 'сиңир'];Тарамыш — туура ала же скелет булчуңдарынын бир бөлүгү.
biological-object;['өт жолдору'];Өт жолдору — боордон жана өт баштыгынан өттү он эки эли ичегиге жеткирүүчү өткөөл.
biological-object;['богок бези'];Богок бези - ички секреция бездерине кирет.
biological-object;['архегоний'];Архегоний – мамык чөп, плаун, кырк муун, папоротник жана жылаңач уруктуу өсүмдүктөрдүн энелик жыныс органы.
biological-object;['простата бези'];Простата бези - сүт эмүүчүлөрдүн эркегинин жыныс системасына кирүүчү жупсуз без.
biological-object;['жалпак тамандуулук'];Жалпак тамандуулук — бир же эки буттун тең таманынын жалпак болушу.
biological-object;['жатын'];Жатын — аялдын жамбаш чарасында табарсык менен көтөн чучуктун ортосунда жайгашкан көңдөй, булчуңдуу, түгөйсүз орган. анда кош бойлуу мезгилде түйүлдүк жетилет.
biological-object;['тамыр-сабак'];Тамыр-сабак – көп жылдык чөп өсүмдүктөрүнүн жер алдындагы сабагы.
biological-object;['жүлүн'];Жүлүн
biological-object;['аденоиддер'];Аденоиддер — мурун-кулкун бездеринин өтө чоңоюп кетиши.
biological-object;['гамета'];Гамета -
biological-object;['мээ кабыктары'];Мээ кабыктары - мээ жана жүлүндү сыртынан каптап турган тутумдаштыргыч ткандуу катмар.
biological-object;['табарсык'];Табарсык — бөйрөктөн келген заараны топтоп чыгаруучу булчуңдуу көңдөй орган.
biological-object;['тил'];Тил — ооз көңдөйүндө жайгашкан булчуңдуу орган.
biological-object;['тери'];Тери денени сыртынан каптап, организмди тышкы таасирлерден сактайт.
biological-object;['гольжи комплекси'];Гольжи комплекси, Гольжи аппараты – клетканын ар түрдүү функция аткаруучу органоиди.
biological-object;['клетка мембранасы', 'клетка кабыгы'];Клетка мембранасы - клетканын цитоплазмасын сырткы чөйрөдөн же клетка кабыгынан бөлүп турган мембрана.
biological-object;['вакуолдор'];Вакуолдор - жаныбар жана өсүмдүк клеткасынын цитоплазмасындагы же бир клеткалуу организмдердеги суюктук же туздардын кристаллдары, эрибеген белоктор толгон көңдөйчөлөр.
biological-object;['альвеолалык өпкөлөр'];Альвеолалык өпкөлөр (pulmones - өпкө, лат.
biological-object;['лимфа тамырлары'];Лимфа тамырлары - организмдин орган менен тканынан вена системасына лимфа агуучу тамырлар.
biological-object;['галлдар'];Галлдар -
biological-object;['тешик', 'фистула'];Тешик — ткандарда, органдарда жана сөөктөрдө пайда болгон өткөөл.
biological-object;['хиазма'];Хиазма — мейоздун диплотена стадиясы, гомологдордун өз ара түртүшүүсү жана хиазмалардын пайда болуусу менен башталат.
biological-object;['ички органдар'];Ички органдар негизинен көкүрөк жана ич көңдөйүндө жайгашат.
biological-object;['рецепторлор'];Рецепторлор — организмдин ички чөйрөсүнүн же сырттан таасир этүүчү дүүлүгүүлөрдү нерв козголуусуна айлантып, аларды борбордук нерв системасына берүүчү сезгич нерв талчаларынын учтары же атайын клеткалар.
biological-object;['митохондриялар', 'митохондрийлер'];Митохондриялар, хондриосомалар– өсүмдүк менен жаныбар клеткасында дайыма кездешүүчү органоид.
biological-object;['нерв', 'нервдер'];I. Моюн нервдери.
biological-object;['бластомерлер'];Бластомерлер - көп клеткалуу жаныбарлардын жумурткасы бөлүнүп бөлчөктөнгөндө жаралган клеткалар.
biological-object;['шилекей бездери'];Шилекей бездери — шилекей бөлүп чыгаруучу орган.
biological-object;['мейиз'];Мейиз – кургатылган жүзүм.
biological-object;['сийдик түтүкчөлөрү'];Сийдик түтүкчөлөрү – омуртаклуулардын бөйрөктөрүнөн чыккан С. т., алар сийдикти табарсыка же клоакага алып барат.
biological-object;['бронхтор'];Бронтор ( байыр.-грек.
biological-object;['купер бездери'];Купер бездери - сүт эмүүчүлөрдүн эркегинин жыныс системасындагы жуптуу бездер.
biological-object;['өпкө'];Өпкө — дем алуу органы.
biological-object;['эмчек', 'көкүрөк'];Эмчек — сүт бөлүп чыгаруучу без.
biological-object;['бет'];Лиссабон, Лисабон (порт.
biological-object;['алма'];Алма - роза гүлдүүлөр тукумундагы көп жылдык, күбүлмө жалбырактуу мөмөлүү дарак.
biological-object;['тиш'];Тиш тамакты тиштөө жана майдалоо кызматын аткарат.
biological-object;['карапакс'];Карапакс - таш бакалардын үстүнкү дөмпөктүү калканы.
biological-object;['тырмак'];Тырмак — кол жана буттун манжаларынын сырт жагынын учунда жайгашып, тегерете тери менен курчалган мүйүз сымал пластинка.
biological-object;['калкан сымал без'];Калкан сымал без (лат.
biological-object;['чычаң без'];Чычаң бези – канаттуулардын жуптуу тери бездеринен.
biological-object;['омуртка'];Омуртка — омурткалуу жаныбарлардын жанa кишинин омуртка тутумун түзүүчү скелеттин элементи.
biological-object;['тетраспора'];Тетраспора
biological-object;['рибосомалар', 'рибосома'];Рибосомалар - белокту биосинтездөөчү клетка органоиддери.
biological-object;['жыныс органы', 'жыныс органдары'];Жыныс органдары - организмдин тукумдоо милдетин аткаруучу мүчөлөрү.
biological-object;['гүл'];Математика — кандайдыр бир ааламдын сандык катнаштары менен кеңиштиктик формалары, анын ичинде — структуралар, өзгөрүштөр, белгисиздик жөнүндөгү илим.
biological-object;['бөйрөк'];Бөйрөк (лат.
biological-object;['споралар'];Споралар
biological-object;['баш мээ нервдери', 'мээ'];I. Моюн нервдери.
biological-object;['клетка'];Клетка - Өсүүгө, өнүгүүгө, азыктанууга, өрчүүгө, дем алууга жөндөмдүү болгон тирүү организмдердин элементардык бирдиги.
biological-object;['көкүрөк клеткасы'];Көкүрөк клеткасы - амниоттордун скелетинин бир бөлүгү, омурткалуулардын арка омурткалары, кабыргалары, сүбөлөрү жана төш сөөгү бирине-бири бекишип турган көңдөйлүү бекем бөлүгү, буга кийин курчоосу бекийт.
biological-object;['гинецей'];Гинецей - – гүлдөгү бир же көп энеликти пайда кылуучу мөмө жалбыракчалар.
biological-object;['энелик клетка', 'урук клеткасы'];Энелик клетка — аялдардын жыныс клеткасы.Энелик безде өөрчүйт.
biological-object;['төш сөөк'];Төш сөөк - кургакта жашоочу омурткалуу жаныбарлардын ийин курчоосу таянып туруучу скелеттин бир бөлүгү.
biological-object;['жүрөк', 'жүрөк физиологиясы'];Адамдын жүрөгү 4 камерадан, магистралдык тамырлардан жана клапандардан турат.
biological-object;['жүрөк', 'жүрөк физиологиясы'];Жүрөк – жаныбар жанаадамдын жүрөк-кан тамыр системасынын борбордук органы.
biological-object;['лимфа системасы'];Лимфа системасы — лимфа түйүндөрү жана капиллярлары менен тамырларынын жыйындысы.
biological-object;['толто'];Толто — жүрөктүн сол карынчасынан чыккан эң чоң кан тамыр.
biological-object;['диафиз'];Диафиз - жиликтердин эки башынын ортоңку жумуру жери.
biological-object;['жалбырак'];Жалбырак (латынча folium, гр.
biological-object;['төштүн кыры'];Төштүн кыры - омурткалуулардын айрым түрлөрүнө мүнөздүү.
biological-object;['миокард'];Миокард
biological-object;['булчуң системасы'];Булчуң системасы.
biological-object;['көз'];Көз (лат.
biological-object;['мурун', 'мурун, мурун көңдөйү', 'ринит'];Мурун - кишилерде беттин бөлүгү, айбанттарда тумшугунун бөлүгү.
biological-object;['заара бөлүп чыгаруу системасы'];Зара бөлүп чыгаруу системасы — заара пайда кылып жана аны бөлүп чыгаруучу органдар.
biological-object;['моюн'];Моюн — кишинин көкүрөк клеткасын баш менен кошуп турган дене бөлүгү.
biological-object;['артериялдык доголор'];Артериялдык доголор, толтонун доголору - курсак толтодон чыгып жон аортага куюлган омурткалуулардын кан тамырлары.
biological-object;['көкүрөк', 'көкүрөк клеткасы', 'төш'];Көкүрөк (көөдөн) (лат.
biological-object;['вегетатив нерв системасы'];Вегетатив нерв системасы — жалпы нерв системасынын бир бөлүгү.
biological-object;['он эки эли ичеги'];Он эки эли ичеги аттын такасына окшоп, уйку безинин баш жагын тегерете курчап жатат.
biological-object;['кызыл өңгөч'];Кызыл өңгөч — тамак сиңирүү системасынын бир бөлүгү.
biological-object;['борбордук нерв системасы'];I. Моюн эшектери.
biological-object;['плевра'];Плевра — өпкөнү сыртынан жана көкүрөк көңдөйүн ичинен каптап туруучу жалтырак чел кабык.
biological-object;['абдомен', 'ич', 'курсак'];Абдомен (лат.
biological-object;['кулак'];Кулак — уктуруучу жана тең салмактуулукту сактоочу орган.
biological-object;['нерв системасы'];Нерв системасы — эң эле ар түрдүү милдеттерди аткаруучу татаал системалардын тобунан турган организмди башкарып, аны тартипке салуучу татаал түзүлүштөгү система.
biological-object;['көрүү'];Көрүү — көрүү органынын жана анализаторлорунун объектилерден чагылган жарыкты, шоолаларды баамдоо менен сырткы чөйрөнү кабыл алуусу, башкача айтканда тышкы дүйнө жөнүндө информация алуу.
biological-object;['эндокрин системасы', 'ички секреция бездери'];Эндокрин системасы.
biological-object;['көтөн чучук'];Көтөн чучук — тамак сиңирүү системасынын акыркы бөлүгү.
biological-object;['баш'];Баш — кишинин денесинин жогорку бөлүгү.
biological-object;['тамыр'];Тамыр – сабак-жалбырактуу өсүмдүктөрдүн негизги вегетация органдарынын бири.
biological-object;['баланын тону'];Баланын тону — түйүлдүктүн өөрчүү мезгилинде эне менен баланын организмдеринин ортосундагы байланышты жана зат алмашууну ишке ашыра турган орган.
biological-object;['ксилема'];Ксилема — өсүмдүктөрдүн негизги өткөргүч ткандарынын бири болуп саналат.
biological-object;['нерв тканы'];Нерв тканы — дүүлүгүүлөрдү кабыл алып, аны импульс түрүндө башка ткандарга өткөрүүчү ткандар. нерв системасынын негизги структуралык бөлүгүн түзөт.
